keyword,deepl
Immigrants,Immigrants
Bleiberecht,Right to stay
Flüchtlingsjunge,Refugee Boy
eingewanderter,immigrant
Asylforderer,asylum seeker
Flüchtlingsgegner,Refugee opponent
Asylsituation,asylum situation
Asylbewerberin,asylum seeker
Einwandererland,immigrant country
Asylbegehren,asylum seeker
Zuflucht,refuge
Gastarbeiter,guest worker
Asylzentren,Asylum centers
Immigrantinnen,Immigrant
Wirtschaftsflüchtling,Economic refugee
Asylanten,Asylum seeker
Asylverfahren,Asylum procedure
Flüchtlingsschutz,Refugee protection
Asylbetrüger,Asylum fraud
Bürgerkriegsflüchtling,Civil war refugee
Flüchtlingsbetreuer,Refugee caregiver
Arbeitsmigrant,Migrant worker
Asylgrund,Reason for asylum
Asylberechtigter,Asylum beneficiary
Asylbewerber,asylum seeker
Flüchtlingsstatus,Refugee status
Familiennachzug,Family reunion
Zuwanderer,immigrant
Flüchtlingsfamilie,refugee family
Geflüchteter,refugee
Schutzsuchender,Protection seeker
Flüchtlingsmädchen,refugee girl
Flüchtlingsfrau,Refugee girl
Asylentscheid,asylum decision
ProAsyl,ProAsyl
Einwanderin,immigrant
Einwanderer,immigrant
Einwandererkind,Immigrant child
Asylwerber,asylum seeker
Immigrantenfamilien,Immigrant families
Migrantin,immigrant
Asylgewährung,granting asylum
flüchtling,refugee
Flüchtlingsanerkennung,refugee recognition
Abschiebungsschutz,protection against deportation
Asylland,asylum country
Geflüchteten,refugee
Bootsflüchtling,boat refugee
Migrantenkind,Migrant child
Asylpraxis,Asylum practice
Aufenthaltserlaubnis,Residence permit
Asylsuchende,Asylum seeker
Asylangebot,Asylum offer
Flüchtlingshelfer,Refugeeshelpers
Geflüchtete,Refugees
Migranten,Migrants
Fremdenwesen,Immigration
Asylzentrum,Asylum Center
Immigration,Immigration
Gastarbeiterkind,Gastarbeiter child
Gastarbeiterkinder,Gastarbeiter children
Flüchtling,refugee
Einwandererfamilie,immigrant family
Tourist,Tourist
Migrante,Migrante
Flüchtlings,Refugee
Asylmißbrauch,asylum abuse
Immigrantin,Immigrant
Flüchtlingsgruppe,refugee group
Kirchenasyl,church asylum
Asylothek,asylum center
Flüchtlingen,refugees
Abschiebeschutz,protection against deportation
Kriegsflüchtling,war refugee
Asylantragstellung,Asylum application
Flüchtlingskind,refugee child
Asylsuchenden,Asylum seeker
Asylant,asylum seeker
Immigranten,Immigrant
EinwanderInnen,immigrants
Flüchtlingsjungen,refugee boy
Fluchtgründen,reasons for escape
Einwandererkinder,Immigrant children
AsylbewerberInnen,Asylum seekers
Asylbewerbern,Asylum seekers
Asylantragsteller,Asylum applicants
Asylanerkennung,asylum recognition
Immigrantenfamilie,immigrant family
Flüchtlingshelferin,Refugee aid worker
Flüchtender,Refugee
Migrant,migrant
Asylrecht,Asylum law
Auswanderer,Emigrant
Zufluchtsland,Country of refuge
Einwanderers,Immigrant
Einwander,Immigrants
Einwanderinnen,Immigrants
ImmigrantInnen,Immigrants
Asylantrag,asylum application
Flüchtlinge,Refugees
Arbeitsimmigranten,Immigrant Workers
Flüchtlingsbereich,Refugee
Aufenthaltsrecht,Right of residence
Flüchtlingsrechte,Refugee rights
Schutzsuchende,Protection seekers
Asylanspruch,asylum claim
immigrant,immigrant
Asylstatus,asylum status
Emigrant,Emigrant
Asylberechtigte,asylum claimant
Syrien-Flüchtlinge,Syria refugees
Ausländer,Alien
Asylgesuch,Application for asylum
Flüchtlingsbegriff,Refugee term
Asyls,Asyls
Migrants,Migrants
Asylsuchender,Asylum seeker
Kriegsflüchtlinge,War refugees
Imigranten,Imigrants
