keyword,deepl
immigrati,immigrants
Profuga,Refugee
rimpatriato,repatriated
deporta,deport
rifugiatosi,refugee
immigrazionista,immigrant
sfollato,displaced person
Emigrato,emigrant
immigrato,immigrant
espatriato,expatriate
immigrate,immigrant
rimpatria,repatriate
emigranti,emigrants
migrante,migrant
profughe,refugees
indigente,indigent
Emigrata,migrant
profugopoli,refugee
forestiera,outsider
rifugiatasi,refugee
rifugiato,refugee
emigratoria,emigrant
sfollata,displaced
immigra,immigrant
rimpatrio,repatriation
Profugo,refugee
immigranti,immigrant
emigrata,emigrant
deportato,deported
fuggito,escaped
immigratoria,immigrant
emigra,emigrate
asilo,asylum
immigratorie,immigration
Profughi,Refugees
deportata,deported
emigrante,emigrant
profugo,refugee
Migrante,Migrant
immigrazione,immigration
limmigrazione,limmigration
Immigrati,Immigrant
dellimmigrazione,immigration
immigrante,immigrant
profughi,refugee
straniera,foreigner
Rifugiato,Refugee
emigrate,emigrant
straniero,foreigner
emigrati,emigrant
espatriata,expatriate
fuggita,escaped
Immigrato,Immigrant
emigrazione,emigration
migranti,migrants
Immigrata,Immigrant
immigrare,immigrant
immigrata,immigrant
rifugiata,refugee
sfolla,displaced
profugato,refugee
rifugiati,refugee
sfollati,displaced
immigrant,immigrant
apolide,stateless person
forestiero,foreigner
profuga,refugee
