keyword,deepl
statushouder,status holder
vluchtelingenbeleid,refugee policy
oorlogsvluchteling,war refugee
Vluchteling,Refugee
migrantenstroom,migrant flow
vluchtelingenopvang,refugee shelter
vluchtelingetje,refugee
vluchtelingenkind,refugee child
vluchtelingkinderen,refugee children
kettingmigratie,chain migration
klimaatvluchteling,climate refugee
uitwijkeling,defector
staatlozen,stateless
vluchtelinge,refugee
vluchtelingenkamp,refugee camp
asiel,asylum
vluchtelingenvrouwen,refugee women
migrantengemeenschap,migrant community
asielzoekende,asylum seeker
vluchtelingensituatie,refugee situation
migranten,migrants
vluchtelingenboot,refugee boat
vluchtelingschap,refugee
vluchtelingenstatus,refugee status
vluchtelingenpaspoort,refugee passport
migrant,migrant
vluchtelingengroep,refugee group
inwijkelingen,immigrants
asielzoekers,asylum seekers
vreemdeling,foreigner
inwijking,emigration
vluchtelingenverdrag,refugee convention
asielzoeksters,asylum seekers
bootvluchteling,boat refugee
uitwijkelingen,refugees
Vluchtelingen,Refugees
verblijfsvergunning,residence permit
vluchtelingenrecht,refugee law
vluchtelingstatus,refugee status
vluchtelingencentrum,refugee center
kostganger,boarder
vluchtelingen,refugees
vluchtelingenorganisatie,refugee agency
moslimmigranten,muslim migrants
oorlogsvluchtelingen,war refugees
vluchtelingenwerk,refugee work
asielmigranten,migrants
immigrant,immigrant
asielaanvraag,asylum
asielzoekster,asylum seeker
arbeidsmigrant,migrant worker
asielzoeker,asylum seeker
Asielzoeker,Asylum seeker
