keyword,deepl
uchodźcy,refugees
imigranci,immigrants
azylowy,asylum
imigrancie,immigrant
imigrantów,immigrants
uchodźcach,refugees
przesiedleniec,displaced person
imigracyjny,immigrant
obcokrajowiec,foreigner
napływowy,immigrant
emigrantem,expat
emigrant,emigrant
azylanta,asylum seeker
bezpaństwowca,stateless person
uchodźczą,refugee
osadnikiem,settler
Uchodźca,Refugee
imigrancki,immigrant
imigranta,immigrant
Imigrant,Immigrant
uchodźczy,refugee
emigranci,emigrants
repatriant,returnee
uchodźcę,refugee
imigrantow,immigrant
bezpaństwowiec,stateless person
azylanci,asylum seeker
repatrianta,repatriate
reemigrant,re-emigrant
uchodźca,refugee
cudzoziemiec,foreigner
Uchodźcy,Refugees
migranta,migrant
migrant,migrant
dżihadysta,jihadist
refugee,refugee
azylant,asylum seeker
imigrantem,immigrant
uchodźcą,refugee
uchodźctwa,refugees
imigrantek,immigrant women
imigrant,immigrant
azyl,asylum
imigrantka,immigrant
uchodźców,refugees
immigrant,immigrant
Emigrant,emigrant
