keyword;deepl;google;deepl==google;Annotation
Immigrants;Immigrants;Immigrants;TRUE;1
Bleiberecht;Right to stay;Right to stay;TRUE;1
Flüchtlingsjunge;Refugee Boy;Refugee boy;FALSE;1
Jude;Jew;Jew;TRUE;0
eingewanderter;immigrant;immigrant;TRUE;1
Asylforderer;asylum seeker;Asylum seekers;FALSE;1
Flüchtlingsgegner;Refugee opponent;Refugee opponents;FALSE;1
Asylsituation;asylum situation;Asylum situation;FALSE;1
Asylbewerberin;asylum seeker;Asylum seeker;FALSE;1
Einwandererland;immigrant country;Immigration country;FALSE;1
Asylbegehren;asylum seeker;Asylum seekers;FALSE;1
Zuflucht;refuge;refuge;TRUE;1
Gastarbeiter;guest worker;Guest workers;FALSE;1
Sextourist;Sex tourist;Sex tourist;TRUE;0
Asylzentren;Asylum centers;Asylum centers;TRUE;1
Immigrantinnen;Immigrant;Immigrants;FALSE;1
Wirtschaftsflüchtling;Economic refugee;Economic refugee;TRUE;1
Asylanten;Asylum seeker;Asylum seekers;FALSE;1
Asylverfahren;Asylum procedure;Asylum procedure;TRUE;1
Flüchtlingsschutz;Refugee protection;Refugee protection;TRUE;1
Asylbetrüger;Asylum fraud;Asylum fraudsters;FALSE;1
Syrer;Syrian;Syrians;FALSE;0
Bürgerkriegsflüchtling;Civil war refugee;Civil war refugee;TRUE;1
Flüchtlingsbetreuer;Refugee caregiver;Refugee supervisor;FALSE;1
Arbeitsmigrant;Migrant worker;Migrant worker;TRUE;1
Asylgrund;Reason for asylum;Reason for asylum;TRUE;1
Asylberechtigter;Asylum beneficiary;Asylum seeker;FALSE;1
Asylbewerber;asylum seeker;Asylum seekers;FALSE;1
immigrants;immigrants;immigrants;TRUE;0
Flüchtlingsstatus;Refugee status;Refugee status;TRUE;1
Familiennachzug;Family reunion;Family reunification;FALSE;1
Zuwanderer;immigrant;immigrant;TRUE;1
Flüchtlingsfamilie;refugee family;Refugee family;FALSE;1
Geflüchteter;refugee;Refugee;FALSE;1
Schutzsuchender;Protection seeker;Asylum seeker;FALSE;1
Moslem;Muslim;Muslim;TRUE;0
Terrorist;Terrorist;terrorist;FALSE;0
Flüchtlingsmädchen;refugee girl;Refugee girl;FALSE;1
asyl;asylum;asylum;TRUE;0
Flüchtlingsfrau;Refugee girl;Refugee woman;FALSE;1
Asylentscheid;asylum decision;Asylum decision;FALSE;1
ProAsyl;ProAsyl;ProAsyl;TRUE;1
Einwanderin;immigrant;Immigrant;FALSE;1
Einwanderer;immigrant;immigrant;TRUE;1
Einwandererkind;Immigrant child;Immigrant child;TRUE;1
Asylwerber;asylum seeker;Asylum seekers;FALSE;1
Immigrantenfamilien;Immigrant families;Immigrant families;TRUE;1
Migrantin;immigrant;Migrant;FALSE;1
Asylgewährung;granting asylum;Granting of asylum;FALSE;1
flüchtling;refugee;refugee;TRUE;1
Flüchtlingsanerkennung;refugee recognition;Refugee recognition;FALSE;1
Abschiebungsschutz;protection against deportation;Protection against deportation;FALSE;1
Asylland;asylum country;Asylum land;FALSE;1
Geflüchteten;refugee;Refugees;FALSE;1
Bootsflüchtling;boat refugee;Boat refugee;FALSE;1
Migrantenkind;Migrant child;Migrant child;TRUE;1
Asylpraxis;Asylum practice;Asylum practice;TRUE;1
Aufenthaltserlaubnis;Residence permit;residence permit;FALSE;1
Asylsuchende;Asylum seeker;Asylum seekers;FALSE;1
Asylangebot;Asylum offer;Asylum offer;TRUE;1
FlüchtlingeFlüchtlinge;RefugeesRefugees;RefugeesFugees;FALSE;0
Flüchtlingshelfer;Refugeeshelpers;Refugee workers;FALSE;1
Geflüchtete;Refugees;Refugees;TRUE;1
Migranten;Migrants;Migrants;TRUE;1
Fremdenwesen;Immigration;Aliens;FALSE;1
Asylzentrum;Asylum Center;Asylum center;FALSE;1
Immigration;Immigration;immigration;FALSE;1
Gastarbeiterkind;Gastarbeiter child;Guest worker child;FALSE;1
Gastarbeiterkinder;Gastarbeiter children;Guest worker children;FALSE;1
Flüchtling;refugee;refugee;TRUE;1
Einwandererfamilie;immigrant family;Immigrant family;FALSE;1
Tourist;Tourist;tourist;FALSE;1
Migrante;Migrante;Migrants;FALSE;1
Flüchtlings;Refugee;Refugee;TRUE;1
Asylmißbrauch;asylum abuse;Asylum abuse;FALSE;1
Immigrantin;Immigrant;immigrant;FALSE;1
Asylbewerbers;Asylum seekers;Asylum seeker;FALSE;0
Emigrants;Emigrants;Emigrants;TRUE;0
Flüchtlingsgruppe;refugee group;Refugee group;FALSE;1
migrant;migrant;migrant;TRUE;0
Kirchenasyl;church asylum;Church asylum;FALSE;1
Asylothek;asylum center;Asylum library;FALSE;1
Flüchtlingen;refugees;Refugees;FALSE;1
Abschiebeschutz;protection against deportation;Deportation protection;FALSE;1
Kriegsflüchtling;war refugee;War refugee;FALSE;1
Asylantragstellung;Asylum application;Application for asylum;FALSE;1
Flüchtlingskind;refugee child;Refugee child;FALSE;1
Asylsuchenden;Asylum seeker;Asylum seekers;FALSE;1
Asylant;asylum seeker;Asylum seeker;FALSE;1
Immigranten;Immigrant;Immigrants;FALSE;1
EinwanderInnen;immigrants;Immigrants;FALSE;1
Flüchtlingsjungen;refugee boy;Refugee boys;FALSE;1
Fluchtgründen;reasons for escape;Reasons to flee;FALSE;1
Einwandererkinder;Immigrant children;Immigrant children;TRUE;1
AsylbewerberInnen;Asylum seekers;Asylum seekers;TRUE;1
Asylbewerbern;Asylum seekers;Asylum seekers;TRUE;1
Asylantragsteller;Asylum applicants;Asylum seekers;FALSE;1
Asylanerkennung;asylum recognition;Recognition of asylum;FALSE;1
Immigrantenfamilie;immigrant family;Immigrant family;FALSE;1
Flüchtlingshelferin;Refugee aid worker;Refugee helper;FALSE;1
Flüchtender;Refugee;Fugitive;FALSE;1
Migrant;migrant;Migrant;FALSE;1
Asylrecht;Asylum law;Asylum law;TRUE;1
Auswanderer;Emigrant;Emigrants;FALSE;1
Muslim;Muslim;Muslim;TRUE;0
Zufluchtsland;Country of refuge;Refuge;FALSE;1
Einwanderers;Immigrant;Immigrant;TRUE;1
Einwander;Immigrants;Immigrants;TRUE;1
Einwanderinnen;Immigrants;Immigrants;TRUE;1
ImmigrantInnen;Immigrants;Immigrants;TRUE;1
Asylantrag;asylum application;application for asylum;FALSE;1
Flüchtlinge;Refugees;refugees;FALSE;1
Arbeitsimmigranten;Immigrant Workers;Immigrant workers;FALSE;1
Flüchtlingsbereich;Refugee;Refugee area;FALSE;1
Staatsbürger;Citizens;citizen;FALSE;0
Aufenthaltsrecht;Right of residence;Right of residence;TRUE;1
Flüchtlingsrechte;Refugee rights;Refugee rights;TRUE;1
Schutzsuchende;Protection seekers;Asylum seekers;FALSE;1
Asylanspruch;asylum claim;Asylum claim;FALSE;1
immigrant;immigrant;Immigrant;FALSE;1
Asylstatus;asylum status;Asylum status;FALSE;1
Emigrant;Emigrant;emigrant;FALSE;1
Asylberechtigte;asylum claimant;asylum family;FALSE;1
Syrien-Flüchtlinge;Syria refugees;Syria refugees;TRUE;1
Ausländer;Alien;Foreigners;FALSE;1
Asylgesuch;Application for asylum;Asylum application;FALSE;1
Flüchtlingsbegriff;Refugee term;Refugee term;TRUE;1
Asyls;Asyls;Asylum;FALSE;1
Migrants;Migrants;Migrants;TRUE;1
Asylsuchender;Asylum seeker;Asylum seeker;TRUE;1
Kriegsflüchtlinge;War refugees;War refugees;TRUE;1
Imigranten;Imigrants;Immigrants;FALSE;1
