keyword;deepl;google;deepl==google;Annotation
παραβατικός;delinquent;delinquent;TRUE;0
μεσοαστός;middle-class;middle-aged;FALSE;0
λαθρομετανάστη;illegal immigrant;illegal immigrant;TRUE;1
Κούρδος;Kurd;Kurd;TRUE;0
Αφγανός;Afghan;Afghan;TRUE;0
εκπατρισμένος;expatriate;expatriate;TRUE;1
ελληναράς;Greek;Greek;TRUE;0
λαθρομετανάστης;illegal immigrant;illegal immigrant;TRUE;1
πρόσφυγας;refugee;refugee;TRUE;1
Μετανάστρια;immigrant;Immigrant;FALSE;1
μετανάστεψε;emigrated;emigrated;TRUE;1
αλβανός;Albanian;Albanian;TRUE;0
ξενιτεμένος;alien;expatriate;FALSE;1
προσφυγοπούλα;refugee girl;refugee girl;TRUE;1
τουρίστας;tourist;tourist;TRUE;0
ξένος;foreigner;foreign;FALSE;1
Μπαγκλαντεσιανός;Bangladeshi;Bangladeshi;TRUE;0
Παλαιστίνιος;Palestinian;Palestinian;TRUE;0
προσφυγομάνα;refugee;refugee;TRUE;1
Σαχραουί;Sahrawi;Σαχραουί;FALSE;0
προσφυγόπουλο;refugee;refugee;TRUE;1
λαθρομετανάστρια;illegal immigrant;illegal immigrant;TRUE;1
υπήκοος;national;national;TRUE;0
ρατσιστής;racist;racist;TRUE;0
μετανάστρια;immigrant;immigrant;TRUE;1
έποικος;settler;settler;TRUE;1
μεταναστης;immigrant;migrant;FALSE;1
μουσουλμάνος;muslim;Muslim;FALSE;0
Σύριος;Syrian;Syrian;TRUE;0
μετανάστις;immigrant;immigrant;TRUE;1
προσφυγας;refugee;refugee;TRUE;1
μεταναστευτικός;migrant;migratory;FALSE;1
προσφυγάκι;refugee;refugee;TRUE;1
πρόσφυξ;refugee;refugee;TRUE;1
μετανάστη;migrant;immigrant;FALSE;1
πρόσφυγες-μετανάστες;refugees-migrants;refugees immigrants;FALSE;1
μετανάστριας;migrant;immigrant;FALSE;1
πρόσφυγες-;refugees-;refugees-;TRUE;1
Πρόσφυγας;Refugee;Refugee;TRUE;1
αφγανός;Afghan;Afghan;TRUE;0
άπατρις;stateless;stateless;TRUE;1
προσφυγοπούλας;refugee girl;refugee;FALSE;1
πρόσφυγος;refugee;refugee;TRUE;1
Ρατσιστής;Racist;Racist;TRUE;0
Πακιστανός;Pakistani;Pakistani;TRUE;0
σύριος;Syrian;Syrian;TRUE;0
διωγμένος;persecuted;persecuted;TRUE;0
εκτοπισμένος;displaced;displaced;TRUE;1
άστεγος;homeless;homeless;TRUE;0
κούρδος;Kurdish;Kurd;FALSE;0
ασυνόδευτος;unaccompanied;unaccompanied;TRUE;0
αλλοδαπός;alien;foreign;FALSE;1
πακιστανός;Pakistani;Pakistani;TRUE;0
πολιτογραφημένος;naturalized;naturalized;TRUE;1
Αλλοδαπός;Alien;Foreign;FALSE;1
πρόσφυγα;refugee;refugee;TRUE;1
βιοπαλαιστής;breadwinner;breadwinner;TRUE;0
διωκόμενος;persecuted;persecuted;TRUE;0
προσφυγα;refugee;refugee;TRUE;1
ξεριζωμένος;uprooted;uprooted;TRUE;1
μετανάστες;migrants;Immigrants;FALSE;1
δουλέμπορος;slave trader;slaver;FALSE;0
εργαζόμενος;worker;employee;FALSE;0
µετανάστης;immigrant;Immigrant;FALSE;1
λαθρεπιβάτης;stowaway;stowaway;TRUE;0
κατατρεγμένος;persecuted;persecuted;TRUE;0
λαθραίος;stowaway;stealthy;FALSE;0
αντιρατσιστής;anti-racist;anti-racist;TRUE;0
προσφύγων;refugee;refugees;FALSE;1
μεροκαματιάρης;day laborer;jobber;FALSE;0
συνοριοφύλακας;border guard;border guard;TRUE;1
Σουδανός;Sudanese;Sudan;FALSE;0
Μετανάστης;Immigrant;Migrant;FALSE;1
πρόσφυγες;refugees;refugees;TRUE;1
μετανάστης;migrant;migrant;TRUE;1
Λαθρομετανάστης;illegal immigrant;Illegal immigrant;FALSE;1
Πρόσφυγα;Refugee;Refugee;TRUE;1
ανιθαγενής;stateless;stateless;TRUE;1
