keyword;Annotation
Immigrants;1
asylum-seeking;1
statelessness;1
detention;1
Atmeh;0
resettlements;1
refugeesThe;0
non-citizen;1
Darfurian;0
migrants.The;0
asylees;1
non-immigrant;1
asylum-seekers;1
immigrants.The;0
evacuee;0
imigrants;1
native-born;1
immigrate;1
immigrants;1
emigrant;1
resettling;1
emmigrants;1
guest-workers;1
Domiz;0
refugee-hosting;1
U.S.-born;0
immig;0
humanitarian;1
foreign-born;1
migrants;1
pro-immigrant;1
refoulement;1
homeless;0
asylee;1
immigrations;1
pro-refugee;1
immigra;0
non-refugee;1
resettles;1
Dadaab;0
resettled;1
immigrant-owned;0
working-class;0
resettle;1
deportees;1
deported;1
Asylee;1
immigran;1
refugee-like;1
non-refugees;1
IMMIGRANT;0
emigree;1
refugees;1
Refugee;1
deportee;1
internally-displaced;1
refugees.The;0
migrant;1
non-immigrants;1
re-settlement;1
asylum-seeker;1
illegal-alien;1
deportation;1
refugee;1
immigrants.;1
non-migrant;1
undocumented;1
UNHCR;1
immigrant-heavy;1
immigrating;1
immigration;1
resettlement;1
American-born;0
imigrant;1
asylum;1
noncitizen;1
immigrant-friendly;1
non-camp;0
U.S.-citizen;0
asylum.The;0
guestworkers;0
emigrants;1
Russian-Jewish;0
US-born;0
Immigrant;1
immigrant;1
immigrates;1
immigrants.In;0
Refugees;1
illegal-immigrant;1
Hagadera;0
refugees.;0
immigrated;1
