keyword;deepl;google;deepl==google;Annotation
prisionera;prisoner;prisoner;TRUE;0
pro-inmigrante;pro-immigrant;pro-immigrant;TRUE;1
adoptiva;adoptive;adoptive;TRUE;0
refugiados.El;refugees.;refugees.;TRUE;0
fugitiva;fugitive;runaway;FALSE;0
no-inmigrantes;non-immigrant;non-immigrants;FALSE;0
asilados;asylum seekers;asylees;FALSE;1
repatriado;repatriated;repatriate;FALSE;1
exilada;exiled;exiled;TRUE;1
hispano;Hispanic;Hispanic;TRUE;0
exilado;exiled;exiled;TRUE;1
refugiar;refugee;shelter;FALSE;1
inmigrado;immigrated;immigrant;FALSE;1
recluída;refugee;secluded;FALSE;0
humanitaria;humanitarian;humanitarian;TRUE;0
asiladas;asylum;isolated;FALSE;0
Refugiado;refugee;Refugee;FALSE;1
huído;refugee;fled;FALSE;1
inmigrantes.En;immigrants.in;immigrants.;FALSE;0
deportada;deported;deported;TRUE;1
exiliadas;exiled;exiles;FALSE;1
inmigra;immigrants;immigration;FALSE;1
inmigrantes.;immigrants.;immigrants.;TRUE;0
inmigracion;immigration;immigration;TRUE;1
refugiadas;refugees;refugee;FALSE;1
inmigrada;immigrant;immigrant;TRUE;1
siria;syria;Syria;FALSE;0
asilada;asylum;isolated;FALSE;0
REFUGIADO;REFUGEE;REFUGEE;TRUE;0
refugiarse;refugee;take refuge;FALSE;1
antinmigrante;anti-immigrant;anti-immigrant;TRUE;1
migrantes;migrants;migrants;TRUE;1
reasentada;resettled;resettled;TRUE;1
inmigrante;migrant;immigrant;FALSE;1
refugiadxs;refugee;refugees;FALSE;1
migrante;migrant;migrant;TRUE;1
desahuciada;evicted;evicted;TRUE;0
enclaustrada;cloistered;cloistered;TRUE;0
atrapada;trapped;trapped;TRUE;0
inmigratorio;immigrant;immigration;FALSE;1
reclusa;inmate;recluse;FALSE;0
prisionero;prisoner;prisoner;TRUE;0
antimigrante;anti-immigrant;anti-migrant;FALSE;1
marginada;outcast;outcast;TRUE;0
Inmigración;Immigration;Immigration;TRUE;1
indocumentado;undocumented;undocumented;TRUE;1
refugió;refugee;refuge;FALSE;1
expatriada;expatriate;expat;FALSE;1
acogido;hosted;welcomed;FALSE;1
deportado;deported;deportee;FALSE;1
refugiada;refugee;refugee;TRUE;1
indocumentada;undocumented;undocumented;TRUE;1
refugiados-;refugee-;refugees-;FALSE;1
fugitivo;fugitive;fugitive;TRUE;0
imigrantes;migrants;immigrants;FALSE;1
emigrada;emigrated;emigrated;TRUE;1
inmigradas;immigrated;immigrants;FALSE;1
autoexiliado;self-exiled;self-exiled;TRUE;0
refugia;refugee;shelter;FALSE;1
Inmigrantes;Immigrants;Immigrants;TRUE;1
Refugiados;Refugees;Refugees;TRUE;1
recluida;refugee;secluded;FALSE;0
criada;maid;maid;TRUE;0
desamparada;homeless;helpless;FALSE;0
no-inmigrante;non-immigrant;non-immigrant;TRUE;1
desplazada;displaced;displaced;TRUE;1
inmigrar;immigrate;immigrate;TRUE;1
encarcelada;incarcerated;imprisoned;FALSE;0
anciana;elderly;old woman;FALSE;0
inmigrantes.La;immigrants.The;immigrants.;FALSE;0
emigrantes;migrants;emigrants;FALSE;1
asilo;asylum;asylum;TRUE;1
refugiados;refugees;refugees;TRUE;1
recluido;interned;secluded;FALSE;0
refugio;refuge;refuge;TRUE;1
inmigrantes;immigrants;immigrants;TRUE;1
pied-noir;pied-noir;pied-noir;TRUE;0
immigrantes;immigrants;immigrants;TRUE;1
emigrado;migrant;emigrated;FALSE;1
INMIGRANTE;IMMIGRANT;IMMIGRANT;TRUE;0
inmigracionista;immigrant;immigrationist;FALSE;1
emigrante;emigrant;emigrant;TRUE;1
hacinada;overcrowded;crowded;FALSE;0
huérfana;orphan;orphan;TRUE;0
niña;child;girl;FALSE;0
residente;resident;resident;TRUE;1
imigrante;immigrant;immigrant;TRUE;1
inmigratoria;immigrant;immigration;FALSE;1
exilio;exile;exile;TRUE;1
asilarse;asylum;to isolate;FALSE;0
expatriado;expatriate;expatriate;TRUE;1
immigrante;immigrant;immigrant;TRUE;1
Inmigrante;immigrant;Immigrant;FALSE;1
inmigración;immigration;immigration;TRUE;1
refugiados.La;refugee.;refugees.;FALSE;0
refugee;refugee;refugee;TRUE;1
ciudadano;citizen;citizen;TRUE;0
refugiados.;refugee.;refugees.;FALSE;0
asilado;asylum;asylee;FALSE;1
guarecido;refugee;sheltered;FALSE;1
inmigrantes.El;immigrants.;immigrants.;TRUE;0
proinmigrante;pro-immigrant;pro-immigrant;TRUE;1
huido;refugee;fled;FALSE;1
Refugiadas;refugees;Refugees;FALSE;1
refugiado;refugee;refugee;TRUE;1
gitano;gypsy;Gypsy;FALSE;0
Asilado;Asylum;Asylee;FALSE;1
inmigrados;immigrants;immigrants;TRUE;1
Refugiada;Refugee;Refugee;TRUE;1
reasentado;resettled;resettled;TRUE;1
inmigrantes-;immigrants-;immigrants-;TRUE;1
indocumentados;undocumented;undocumented;TRUE;1
immigración;immigration;immigration;TRUE;1
masacrada;massacred;slaughtered;FALSE;0
exiliado;exiled;exiled;TRUE;1
repatriada;repatriated;repatriated;TRUE;1
exiliada;exiled;exiled;TRUE;1
confinada;confined;confined;TRUE;0
marginalizada;marginalized;marginalized;TRUE;0
refugiad;refugee;refuge;FALSE;1
Acogido;Welcomed;Welcomed;TRUE;0
inmigran;immigrate;they immigrate;FALSE;1
