keyword;deepl;google;deepl==google;Annotation
Kiintiöpakolainen;Quota refugee;Quota refugee;TRUE;1
irakilaissyntyinen;Iraqi-born;Iraqi-born;TRUE;0
turvapaikka;asylum;asylum;TRUE;1
maahanmuuttajia;migrants;immigrants;FALSE;1
paluumuuttaja;returnee;returnee;TRUE;0
maahanmuuttaja;immigrant;immigrant;TRUE;1
pakolais;refugee;refugees;FALSE;1
pakolainen;refugee;refugee;TRUE;1
maahanmuuttajien;migrants;immigrants;FALSE;1
maahantulija;immigrant;immigrant;TRUE;1
maahanmuuttajista;immigrants;immigrants;TRUE;1
ulkomaalaissyntyinen;foreign-born;foreign-born;TRUE;1
maahanmuuttajalapset;children of immigrants;immigrant children;FALSE;1
humanitaarinen;humanitarian;humanitarian;TRUE;1
Syyrialainen;Syrian;Syrian;TRUE;0
kotoutus;integration;integration;TRUE;1
pakolaistilanne;refugee situation;refugee situation;TRUE;1
pakolaisuudessa;refugee situation;refugees;FALSE;1
somalialaissyntyinen;Somali native;Somali-born;FALSE;0
maahanmuuttajan;migrant;immigrant;FALSE;1
turvapaikanhakijana;asylum seeker;as an asylum seeker;FALSE;1
maahanmuuttajille;for migrants;for immigrants;FALSE;1
pakolaisuus;refugee status;refugee;FALSE;1
pakolaissopimus;refugee agreement;refugee agreement;TRUE;1
somalityttö;Somali girl;somali girl;FALSE;0
maahanmuuttajanainen;immigrant woman;immigrant woman;TRUE;1
ulkomaalainen;foreigner;alien;FALSE;1
syyrialainen;Syrian;Syrian;TRUE;0
EU-kansalainen;EU citizen;EU citizen;TRUE;0
Afganistanilainen;Afghan;Afghan;TRUE;1
pakolaispolitiikka;refugee policy;refugee policy;TRUE;1
ulkomaalaistaustainen;foreign background;foreign background;TRUE;1
palestiinalainen;Palestinian;Palestinian;TRUE;0
somalisyntyinen;of Somali origin;Somali-born;FALSE;1
maahanmuuttajanuorille;for young migrants;for immigrant youth;FALSE;1
Irakilainen;Iraqi;Iraqi;TRUE;1
maahanmuuttajanuoret;migrant youth;immigrant youth;FALSE;1
siirtolainen;migrant;immigrant;FALSE;1
romanitaustainen;Roma background;Roma background;TRUE;0
maanpakolainen;exile;refugee;FALSE;1
afganistanilainen;Afghan;Afghan;TRUE;1
maahanmuuttajatyö;migrant work;immigrant work;FALSE;1
turvapaikanhakija;asylum seeker;asylum seeker;TRUE;1
maahanmuuttajaryhmä;migrant group;immigrant group;FALSE;1
maahanmuuttajat;migrants;immigrants;FALSE;1
Pakolainen;Refugee;Refugee;TRUE;1
maahanmuuttajana;as an immigrant;as an immigrant;TRUE;1
kiintiöpakolainen;quota refugee;quota refugee;TRUE;1
elintasopakolainen;subsistence refugee;living refugee;FALSE;1
Maahanmuuttaja;Immigrant;Immigrant;TRUE;1
maahanmuuttajataustainen;with an immigrant background;immigrant background;FALSE;1
pakolaiseksi;refugee;as a refugee;FALSE;1
maahanmuuttajaväestö;immigrant population;immigrant population;TRUE;1
mokuttaja;mokutaja;educator;FALSE;0
pakolaistulva;refugee influx;refugee flood;FALSE;1
maahanmuuttajaperhe;immigrant family;immigrant family;TRUE;1
maahanmuuttajuus;immigration;immigration;TRUE;1
pakolaisjärjestö;refugee organisation;refugee organization;FALSE;1
pakolaisasema;refugee status;refugee status;TRUE;1
pakolaiskysymys;refugee issue;the refugee issue;FALSE;1
Turvapaikanhakija;Asylum seeker;Asylum seeker;TRUE;1
Maahanmuuttajataustainen;Immigrant background;Immigrant background;TRUE;1
pakolaisen;refugee;refugee;TRUE;1
monikulttuuri;multiculturalism;multiculturalism;TRUE;1
maahanmuuttajalla;immigrant;with an immigrant;FALSE;1
pakolaistoimisto;refugee office;refugee office;TRUE;1
somalitaustainen;Somali background;Somali background;TRUE;0
irakilainen;Iraqi;Iraqi;TRUE;1
maahanmuuttajanuoria;migrant youth;immigrant youth;FALSE;1
mamu;mamu;mamu;TRUE;1
pakolaiskeskus;refugee centre;refugee center;FALSE;1
maahanmuuttajalle;for migrants;to the immigrant;FALSE;1
somali;Somali;Somali;TRUE;1
Maanpakolainen;Refugee;Refugee;TRUE;1
ulkosuomalainen;expatriate;expatriate Finn;FALSE;1
maahanmuutto;immigration;immigration;TRUE;1
kantasuomalainen;ethnic Finnish;native Finn;FALSE;0
pakolaisstatuksen;refugee status;refugee status;TRUE;1
pakolaisuuden;refugee status;refugee status;TRUE;1
kotoutuminen;integration;integration;TRUE;1
maastamuuttaja;emigrant;emigrant;TRUE;1
maahanmuuttajaa;immigrant;immigrants;FALSE;1
monikulttuurinen;multicultural;multicultural;TRUE;1
pakolaisryhmä;refugee group;refugee group;TRUE;1
maahanmuuttajaksi;becoming an immigrant;as an immigrant;FALSE;1
maahanmuuttajasta;about immigrant;about the immigrant;FALSE;1
pakolaisstatus;refugee status;refugee status;TRUE;1
pakolaisperhe;refugee family;refugee family;TRUE;1
pakolaisnainen;refugee woman;a refugee woman;FALSE;1
