keyword;deepl;google;deepl==google;Annotation
scolarizzato;schooled;schooled;TRUE;0
tunisino;tunisian;Tunisian;FALSE;0
immigrati;immigrants;immigrants;TRUE;1
Profuga;Refugee;Refugee;TRUE;1
marocchino;moroccan;Moroccan;FALSE;0
rimpatriato;repatriated;repatriated;TRUE;1
deporta;deport;deport;TRUE;1
rifugiatosi;refugee;took refuge;FALSE;1
nomade;nomad;nomadic;FALSE;0
pellegrina;pilgrim;pilgrim;TRUE;0
immigrazionista;immigrant;immigrationist;FALSE;1
operaia;worker;factory Girl;FALSE;0
tassista;taxi driver;taxi driver;TRUE;0
sfollato;displaced person;displaced;FALSE;1
Emigrato;emigrant;Emigrated;FALSE;1
disoccupato;unemployed;unemployed;TRUE;0
ﬁglia;daughter;daughter;TRUE;0
popolazione;population;population;TRUE;0
Limmigrazione;Limmigration;Migration;FALSE;0
immigrato;immigrant;immigrant;TRUE;1
espatriato;expatriate;expatriate;TRUE;1
extra-comunitaria;non-EU;extra-community;FALSE;0
zingarella;gypsy;gypsy;TRUE;0
adottiva;adoptive;adoptive;TRUE;0
clochard;clochard;clochard;TRUE;0
clandestino;clandestine;clandestine;TRUE;0
ebrea;jewish;Jewish;FALSE;0
anziana;elderly;elderly;TRUE;0
musulmana;Muslim;Muslim;TRUE;0
immigrate;immigrant;immigrants;FALSE;1
italo-australiana;Italian-Australian;Italian-Australian;TRUE;0
rimpatria;repatriate;repatriation;FALSE;1
emigranti;emigrants;emigrants;TRUE;1
migrante;migrant;migrant;TRUE;1
clandestina;illegal;clandestine;FALSE;0
profughe;refugees;refugees;TRUE;1
immigrazioni;immigrations;immigrations;TRUE;0
indigente;indigent;destitute;FALSE;1
Emigrata;migrant;Emigrated;FALSE;1
ragazza-madre;mother-girl;single mother;FALSE;0
delinque;delinque;delinque;TRUE;0
profugopoli;refugee;refugee cities;FALSE;1
emigrato;emigrant;emigrated;FALSE;0
forestiera;outsider;stranger;FALSE;1
scappata;escaped;escaped;TRUE;0
donna;woman;woman;TRUE;0
poliziotto;policeman;police officer;FALSE;0
rifugiatasi;refugee;took refuge;FALSE;1
magrebino;maghrebino;Maghrebi;FALSE;0
rifugiato;refugee;refugee;TRUE;1
soldato;soldier;soldier;TRUE;0
emigratoria;emigrant;emigration;FALSE;1
marocchina;moroccan;Moroccan;FALSE;0
sfollata;displaced;displaced;TRUE;1
zingara;gypsy;gypsy;TRUE;0
immigra;immigrant;immigrates;FALSE;1
rimpatrio;repatriation;repatriation;TRUE;1
delinquente;delinquent;delinquent;TRUE;0
Profugo;refugee;Refugee;FALSE;1
immigranti;immigrant;immigrants;FALSE;1
emigrata;emigrant;emigrated;FALSE;1
