keyword;deepl;google;deepl==google;Annotation
statushouder;status holder;status holder;TRUE;1
Ieperling;Ieperling;Ypres;FALSE;0
vluchtelingenbeleid;refugee policy;refugee policy;TRUE;1
contreien;contries;regions;FALSE;0
oorlogsvluchteling;war refugee;war refugee;TRUE;1
wereldwijze;worldly;worldly;TRUE;0
Vluchteling;Refugee;Refugee;TRUE;1
toevalling;coincidence;coincidence;TRUE;0
migrantenstroom;migrant flow;migrant flow;TRUE;1
vluchtelingenopvang;refugee shelter;refugee shelter;TRUE;1
vluchtelingetje;refugee;refugee;TRUE;1
eeuwling;centenarian;centenarian;TRUE;0
moederlijkheid;maternity;motherhood;FALSE;0
vluchtelingenkind;refugee child;refugee child;TRUE;1
vluchtelingkinderen;refugee children;refugee children;TRUE;1
kettingmigratie;chain migration;chain migration;TRUE;1
taalevolutie;language evolution;language evolution;TRUE;0
lentegodin;spring goddess;spring goddess;TRUE;0
taaldood;language death;language death;TRUE;0
kontreien;kontreien;butts;FALSE;0
klimaatvluchteling;climate refugee;climate refugee;TRUE;1
uitwijkeling;defector;evasion;FALSE;1
taalijveraar;language zealot;language enthusiast;FALSE;0
staatlozen;stateless;stateless persons;FALSE;1
snoever;snob;swagger;FALSE;0
vluchtelinge;refugee;refugee;TRUE;1
inwijk;inner-city;move in;FALSE;0
begeestering;zealot;enthusiasm;FALSE;0
wereldwandelaar;world walker;world walker;TRUE;0
vluchtelingenkamp;refugee camp;refugee camp;TRUE;1
asiel;asylum;asylum;TRUE;1
boekenjood;bookJew;book jew;FALSE;0
daarstelling;position;statement;FALSE;0
gelukzoeker;fortune hunter;fortune hunter;TRUE;0
vluchtelingenvrouwen;refugee women;refugee women;TRUE;1
migrantengemeenschap;migrant community;migrant community;TRUE;1
asielzoekende;asylum seeker;asylum seeker;TRUE;1
zegswijze;saying;saying;TRUE;0
predikheer;preacher;preacher;TRUE;0
niet-Fransman;non-French;non-frenchman;FALSE;0
boekentaal;book language;book language;TRUE;0
primitieveling;primitive;primitive;TRUE;0
vluchtelingen.;refugees.;refugees.;TRUE;0
vluchtelingensituatie;refugee situation;refugee situation;TRUE;1
migranten;migrants;migrants;TRUE;1
vluchtelingenboot;refugee boat;refugee boat;TRUE;1
vluchtelingschap;refugee;refugee;TRUE;1
vluchtelingenstatus;refugee status;refugee status;TRUE;1
handelaarster;trader;merchant;FALSE;0
ingeweken;immigrant;soaked;FALSE;0
vluchtelingenpaspoort;refugee passport;refugee passport;TRUE;1
studentenaangelegenheden;student affairs;student affairs;TRUE;0
verbrusseling;verbrusseling;brussels;FALSE;0
Oost-Vlaming;East Fleming;East Flemish;FALSE;0
migrant;migrant;migrant;TRUE;1
vluchtelingengroep;refugee group;refugee group;TRUE;1
inwijkelingen;immigrants;immigrants;TRUE;1
asielzoekers;asylum seekers;asylum seekers;TRUE;1
vreemdeling;foreigner;stranger;FALSE;1
taalhouding;language attitude;language attitude;TRUE;0
onversaagdheid;undaunted;intrepidity;FALSE;0
inwijking;emigration;evasion;FALSE;1
eigenaaren;ownerand;owners;FALSE;0
vluchtelingenverdrag;refugee convention;refugee treaty;FALSE;1
asielzoeksters;asylum seekers;asylum seekers;TRUE;1
bootvluchteling;boat refugee;boat refugee;TRUE;1
uitwijkelingen;refugees;evictions;FALSE;1
taalinvloeden;language influences;language influences;TRUE;0
Vlaming;Fleming;Flemish;FALSE;0
Vluchtelingen;Refugees;Refugees;TRUE;1
verblijfsvergunning;residence permit;residence permit;TRUE;1
vluchtelingenrecht;refugee law;refugee law;TRUE;1
gelukszoeker;fortune hunter;fortune seeker;FALSE;0
vluchtelingen-;refugees-;refugees-;TRUE;0
halfoogst;half-harvest;half harvest;FALSE;0
vluchtelingstatus;refugee status;refugee status;TRUE;1
vluchtelingencentrum;refugee center;refugee center;TRUE;1
kostganger;boarder;boarder;TRUE;1
Brusselaar;Brussels native;Brussels resident;FALSE;0
koppigaard;stubborn;stubborn;TRUE;0
vluchtelingen;refugees;refugees;TRUE;1
vluchtelingenorganisatie;refugee agency;refugee organization;FALSE;1
moslimmigranten;muslim migrants;muslim migrants;TRUE;1
oorlogsvluchtelingen;war refugees;war refugees;TRUE;1
bierhandelaar;beer merchant;beer merchant;TRUE;0
verkoopstertje;salesperson;sales lady;FALSE;0
vluchtelingenwerk;refugee work;refugee work;TRUE;1
taalminnaars;language lovers;language lovers;TRUE;0
asielmigranten;migrants;asylum migrants;FALSE;1
pagadder;pagadder;pagadder;TRUE;0
immigrant;immigrant;immigrant;TRUE;1
asielaanvraag;asylum;asylum application;FALSE;1
federalisatie;federalization;federalization;TRUE;0
verzustering;neglect;twinning;FALSE;0
asielzoekster;asylum seeker;asylum seeker;TRUE;1
arbeidsmigrant;migrant worker;labor migrant;FALSE;1
asielzoeker;asylum seeker;asylum seeker;TRUE;1
Asielzoeker;Asylum seeker;Asylum seeker;TRUE;1
vlaming;Fleming;flaming;FALSE;0
jongeman;young man;young man;TRUE;0
