keyword;deepl;google;deepl==google;Annotation
osadowy;sludge;sedimentary;FALSE;0
uchodźcy;refugees;Refugees;FALSE;1
ogrodnik;gardener;gardener;TRUE;0
budnik;budnik;building;FALSE;0
Afgańczyk;Afghan;Afghan;TRUE;0
uciekinier;refugee;fugitive;FALSE;0
imigranci;immigrants;immigrants;TRUE;1
ranczer;rancher;rancher;TRUE;0
rozsadnik;spreader;seedbed;FALSE;0
azylowy;asylum;asylum;TRUE;1
imigrancie;immigrant;immigrant;TRUE;1
londyńczyk;londoner;Londoner;FALSE;0
imigrantów;immigrants;immigrants;TRUE;1
bimbrownik;moonshiner;moonshine;FALSE;0
uchodźcach;refugees;refugees;TRUE;1
przesiedleniec;displaced person;displaced person;TRUE;1
terrorysta;terrorist;terrorist;TRUE;0
imigracyjny;immigrant;immigration;FALSE;1
obcokrajowiec;foreigner;foreigner;TRUE;1
ciapaty;thug;Ciapaty;FALSE;0
osadnikom;settler;settlers;FALSE;0
ekstremista;extremist;extremist;TRUE;0
osadniczy;settler;settlement;FALSE;0
muzułmanin;muslim;Muslim;FALSE;0
separatysta;separatist;separatist;TRUE;0
najemnik;mercenary;mercenary;TRUE;0
dożywotnik;annuitant;annuitant;TRUE;0
odstojnik;outlier;decanter;FALSE;0
obywatel;citizen;citizen;TRUE;0
napływowy;immigrant;alluvial;FALSE;1
krajowiec;native;native;TRUE;0
Pakistańczyk;Pakistani;Pakistani;TRUE;0
emigrantem;expat;an emigrant;FALSE;1
emigrant;emigrant;emigrant;TRUE;1
rolnik;farmer;farmer;TRUE;0
osadniki;settlers;settlers;TRUE;0
azylanta;asylum seeker;asylum seeker;TRUE;1
podsadnik;podsadnik;feeder;FALSE;0
bezpaństwowca;stateless person;stateless person;TRUE;1
uchodźczą;refugee;refugee;TRUE;1
osadnikiem;settler;settler;TRUE;1
neonazista;neo-Nazi;neo-Nazi;TRUE;0
Uchodźca;Refugee;Refugee;TRUE;1
imigrancki;immigrant;immigrant;TRUE;1
imigranta;immigrant;immigrant;TRUE;1
Żyd;Jew;Jew;TRUE;0
plantator;grower;planter;FALSE;0
Imigrant;Immigrant;Immigrant;TRUE;1
Irańczyk;Iranian;Iranian;TRUE;0
chrześcijanin;Christian;Christian;TRUE;0
uchodźczy;refugee;refugee;TRUE;1
emigranci;emigrants;emigres;FALSE;1
Albańczyk;Albanian;Albanian;TRUE;0
Amerykanin;American;American;TRUE;0
repatriant;returnee;repatriate;FALSE;1
uchodźcę;refugee;refugee;TRUE;1
Somalijczyk;Somali;Somali;TRUE;0
kolonista;colonist;colonist;TRUE;0
imigrantow;immigrant;immigrants;FALSE;1
bezpaństwowiec;stateless person;stateless person;TRUE;1
azylanci;asylum seeker;asylum seekers;FALSE;1
przesiębiorca;entrepreneur;trader;FALSE;0
topograf;topographer;topographer;TRUE;0
gnilny;rot;putrefactive;FALSE;0
biznesmen;businessman;businessman;TRUE;0
repatrianta;repatriate;repatriate;TRUE;1
reemigrant;re-emigrant;re-emigrant;TRUE;1
uchodźca;refugee;refugee;TRUE;1
winogrodnik;winegrower;grower;FALSE;0
amerykanin;american;American;FALSE;0
europejczyk;european;European;FALSE;0
cudzoziemiec;foreigner;foreigner;TRUE;1
Irakijczyk;Iraqi;Iraqi;TRUE;0
Palestyńczyk;Palestinian;Palestinian;TRUE;0
Uchodźcy;Refugees;Refugees;TRUE;1
lejkownik;funnellist;funnel;FALSE;0
migranta;migrant;migrant;TRUE;1
urzędnik;official;clerk;FALSE;0
zagrodnik;homesteader;farmer;FALSE;0
Afrykanin;African;African;TRUE;0
migrant;migrant;migrant;TRUE;1
kolonat;colonate;colonate;TRUE;0
Brytyjczyk;Briton;Briton;TRUE;0
osadniku;settler;settler;TRUE;0
islamista;Islamist;Islamist;TRUE;0
dżihadysta;jihadist;jihadist;TRUE;1
refugee;refugee;refugee;TRUE;1
azylant;asylum seeker;asylum seeker;TRUE;1
imigrantem;immigrant;immigrant;TRUE;1
osadnikowe;settler;settling tanks;FALSE;0
drenażowy;drain;drainage;FALSE;0
Islamista;Islamist;Islamist;TRUE;0
uchodźcą;refugee;refugee;TRUE;1
osadnikow;settler;settlers;FALSE;0
wodnik;waterman;Aquarius;FALSE;0
uchodźctwa;refugees;refugees;TRUE;1
imigrantek;immigrant women;immigrant women;TRUE;1
imigrant;immigrant;immigrant;TRUE;1
parownik;evaporator;evaporator;TRUE;0
osadnika;settler;settler;TRUE;0
osadnikowy;settler;settler;TRUE;0
azyl;asylum;refuge;FALSE;1
ściek;effluent;sewage;FALSE;0
osadnikach;settlers;settlers;TRUE;0
imigrantka;immigrant;immigrant;TRUE;1
uchodźców;refugees;refugees;TRUE;1
immigrant;immigrant;immigrant;TRUE;1
Polak;Pole;pole;FALSE;0
Emigrant;emigrant;Emigrant;FALSE;1
kolonizator;colonizer;colonizer;TRUE;0
obszarnik;territorialist;landowner;FALSE;0
Osadnik;Settler;Settler;TRUE;0
traper;trapper;trapper;TRUE;0
polak;polak;pole;FALSE;0
piaskownik;sandbox;sand trap;FALSE;0
zbiornik;tank;tank;TRUE;0
stawik;pond;pond;TRUE;0
żwirowy;gravel;gravelly;FALSE;0
osadników;settling tanks;settlers;FALSE;0
