keyword;deepl;google;deepl==google;Annotation
Immigrants;Immigrants;Immigrants;TRUE;1
emigranter;emigrate;emigrants;FALSE;1
nyinvandrade;new immigrants;new immigrants;TRUE;1
somalier;Somalis;Somalis;TRUE;0
svenskättling;Swedish descendant;Swedish descendant;TRUE;0
svenskättad;swedish settler;Swedish-born;FALSE;0
invandrar;immigrants;immigrant;FALSE;1
invandrarförfattare;immigrant author;immigrant author;TRUE;1
immigrationen;immigration;immigration;TRUE;1
invandrade;immigrant;immigrants;FALSE;1
invandrarföretagare;immigrant entrepreneur;immigrant entrepreneurs;FALSE;1
flyktingens;refugee;the refugee's;FALSE;1
utvandrad;emigrant;emigrated;FALSE;1
utvandrarland;emigrant country;country of emigration;FALSE;1
invandrat;immigrant;immigrated;FALSE;1
utvandrat;emigrated;emigrated;TRUE;1
flyktingstatus;refugee status;refugee status;TRUE;1
kvotflykting;quota refugee;quota refugee;TRUE;1
invandrarkillar;immigrant guys;immigrant boys;FALSE;1
immigrera;immigrate;immigrate;TRUE;1
nyanländ;newcomer;newly arrived;FALSE;1
invandrarmän;immigrant men;immigrant men;TRUE;1
flyktingdebatten;refugee debate;the refugee debate;FALSE;1
internflykting;internal refugee;internally displaced person;FALSE;0
asylinvandrare;asylum immigrants;asylum seekers;FALSE;1
immigrationslag;immigration law;immigration law;TRUE;1
flyktingars;refugees;refugees;TRUE;1
invandrande;immigrants;immigrant;FALSE;1
flyktinginvandrare;refugee immigrants;refugee immigrants;TRUE;1
invandrarbakgrund;immigrant background;immigrant background;TRUE;1
flyktingpojke;refugee boy;refugee boy;TRUE;1
emigration;emigration;emigration;TRUE;1
flyktingarna;refugees;the refugees;FALSE;1
flyktingströmmar;refugee flows;refugee flows;TRUE;1
invandare;immigrants;immigrants;TRUE;1
invandrargrupp;immigrant group;immigrant group;TRUE;1
immigrationspolitik;immigration policy;immigration policy;TRUE;1
asylinvandring;asylum immigration;asylum immigration;TRUE;1
invandraren;immigrant;the immigrant;FALSE;1
immigrants;immigrants;immigrants;TRUE;1
invandrarföräldrar;immigrant parents;immigrant parents;TRUE;1
immigrans;immigrans;immigrants;FALSE;1
invandrargrupper;immigrant groups;immigrant groups;TRUE;1
immigrationsverket;immigration office;the Swedish Immigration Service;FALSE;1
immigrerad;immigrant;immigrated;FALSE;1
emigrant;emigrant;emigrant;TRUE;1
kärleksinvandrare;love immigrant;love immigrants;FALSE;1
Asylflykting;asylum refugee;Asylum refugee;FALSE;1
landsflykting;exile;refugee;FALSE;1
Immigranter;Immigrants;Immigrants;TRUE;1
immigrerat;immigrant;immigrated;FALSE;1
invandrartjejer;immigrant girls;immigrant girls;TRUE;1
flykting-;refugee-;refugee-;TRUE;0
flyktingärenden;refugee cases;refugee issues;FALSE;1
invandrarkille;immigrant boy;immigrant boy;TRUE;1
asyl;asylum;asylum;TRUE;1
emigrant-;emigrant-;emigrant;FALSE;0
migrants;migrants;migrants;TRUE;1
immigrations;immigration;immigrations;FALSE;1
flyktingkvot;refugee rate;refugee quota;FALSE;1
flyktings;refugees;refugees;TRUE;1
massimmigration;mass immigration;mass immigration;TRUE;1
statslös;stateless;stateless;TRUE;1
EU-migrant;EU migrant;EU migrant;TRUE;0
asylsökande;asylum seeker;asylum seekers;FALSE;1
asylsökare;asylum seeker;asylum seekers;FALSE;1
invandrargruppers;immigrant groups;immigrant groups;TRUE;1
invandrargrupperna;immigrant groups;immigrant groups;TRUE;1
immigranten;immigrant;immigrants;FALSE;1
flyktingström;refugee stream;refugee flow;FALSE;1
Invandrare;Immigrants;Immigrant;FALSE;1
anhöriginvandrare;family migrants;relative immigrants;FALSE;1
immigrationsmyndigheten;immigration authority;immigration authority;TRUE;1
paired;paired;paired;TRUE;0
invandrarna;immigrants;the immigrants;FALSE;1
migranten;migrant;migrants;FALSE;1
krigsflykting;war refugee;war refugee;TRUE;1
invandrarpojkar;immigrant boys;immigrant boys;TRUE;1
flyktingbarn;refugee children;refugee children;TRUE;1
krigsflyktingar;war refugees;war refugees;TRUE;1
invandrarbefolkning;immigrant population;immigrant population;TRUE;1
invandrarfamiljer;immigrant families;immigrant families;TRUE;1
arbetskraftsinvandrare;immigrant workers;labor migrants;FALSE;1
flyktinginvandring;refugee immigration;refugee immigration;TRUE;1
invandra;immigration;immigrate;FALSE;1
flykting;refugee;refugee;TRUE;1
flyktingpaus;refugee break;refugee break;TRUE;1
nyanlända;new arrivals;newly arrived;FALSE;1
flyktingen;refugee;the refugee;FALSE;1
invandrargruppen;immigrant group;the immigrant group;FALSE;1
invandrarkillen;immigrant guy;the immigrant guy;FALSE;1
invandrarområden;immigrant areas;immigrant areas;TRUE;1
immigrantgrupper;immigrant groups;immigrant groups;TRUE;1
migrant;migrant;migrant;TRUE;1
invandrarfamilj;immigrant family;immigrant family;TRUE;1
flyktingfamilj;refugee family;refugee family;TRUE;1
immigrerande;immigrant;immigrant;TRUE;1
invandrare.;immigrant.;immigrant.;TRUE;0
immigranters;immigrants;immigrants;TRUE;1
nysvenskar;newcomers;new Swedes;FALSE;0
arbetskraftinvandrare;labour immigrants;labor migrants;FALSE;1
flyktingsmugglarna;refugee smugglers;the refugee smugglers;FALSE;1
utvandrare;emigrants;emigrant;FALSE;1
flyktingsmugglare;refugee smugglers;refugee smugglers;TRUE;1
emigranten;emigrant;emigrants;FALSE;1
invandrarkulturer;immigrant cultures;immigrant cultures;TRUE;1
Flyktingskap;Refugeeism;Refugee cabinets;FALSE;1
invandrad;immigrant;immigrant;TRUE;1
invandrarbefolkningen;immigrant population;the immigrant population;FALSE;1
Immigranterna;Immigrants;The immigrants;FALSE;1
flyktingvåg;wave of refugees;refugee wave;FALSE;1
immigration;immigration;immigration;TRUE;1
invandrararbetare;immigrant workers;immigrant workers;TRUE;1
Migrant;Migrant;Migrant;TRUE;1
immigrerar;immigrant;immigrates;FALSE;1
Flykting;Refugee;Refugee;TRUE;1
flyktingmottagning;refugee reception;refugee reception;TRUE;1
arbetsinvandrare;migrant worker;migrant workers;FALSE;1
flyktingkvinna;refugee woman;refugee woman;TRUE;1
invandrarflickor;immigrant girl;immigrant girls;FALSE;1
invandrarungdomar;immigrant youths;immigrant youth;FALSE;1
invandrartjej;immigrant girl;immigrant girl;TRUE;1
immigranterna;immigrants;the immigrants;FALSE;1
immigrationsvågen;immigration wave;the wave of immigration;FALSE;1
invandrarelever;immigrant students;immigrant students;TRUE;1
flyktingskäl;refugee reasons;refugee reasons;TRUE;1
Flyktingen;The Refugee;The refugee;FALSE;1
emigrants;emigrants;emigrants;TRUE;1
immigrerade;immigrants;immigrated;FALSE;1
flyktingströmmarna;refugee flows;refugee flows;TRUE;1
immigranternas;immigrants;immigrants;TRUE;1
immigranter;immigrants;immigrants;TRUE;1
Immigrant;Immigrant;Immigrant;TRUE;1
invandrarbarn;immigrant children;immigrant children;TRUE;1
flyktingvågen;refugee wave;the refugee wave;FALSE;1
flyktingar;refugees;refugees;TRUE;1
invandrare;immigrants;immigrant;FALSE;1
Kvotflykting;Quota refugee;Quota refugee;TRUE;1
asylsökanden;asylum seekers;asylum seekers;TRUE;1
flyktingskap;refugeehood;refugee status;FALSE;1
flyktingströmmen;refugee flow;the flow of refugees;FALSE;1
invandrarungdomarna;immigrant youth;the immigrant youth;FALSE;1
flyktingskapet;refugeehood;the refugee cabinet;FALSE;1
