keyword,deepl,google,deepl==google,Annotation
граждани-имигранти,immigrant citizens,immigrant citizens,TRUE,1
конгоанец,Congolese,Congolese,TRUE,0
имигрантско,immigrant,immigrant,TRUE,1
емигрантът,The Immigrant,the emigrant,FALSE,1
алжириец,Algerian,Algerian,TRUE,0
емигрантки,immigrant women,emigrants,FALSE,1
имиграционен,immigration,immigration,TRUE,1
писател-емигрант,immigrant writer,emigrant writer,FALSE,0
пенсионер,retiree,retired,FALSE,0
кандидат-бежанеца,refugee candidate,refugee candidate,TRUE,1
Албанец,Albanian,Albanian,TRUE,0
имигрантския,The Immigrant,immigrant,FALSE,0
художник-емигрант,immigrant artist,emigrant artist,FALSE,0
бежанецът,refugee,the refugee,FALSE,1
имигрантите-работници,immigrant worker,immigrant workers,FALSE,1
бежанци.От,refugees.From,refugees.From,TRUE,0
кюрд,Kurd,Kurdish,FALSE,0
Бежанец,Refugee,Refugee,TRUE,1
имигрантите,The Immigrant,immigrants,FALSE,1
ливанец,Lebanese,Lebanese,TRUE,0
емигрантката,The Immigrant,the emigrant,FALSE,1
писателят-емигрант,the immigrant writer,the emigrant writer,FALSE,0
бежанци-,refugees-,refugees,FALSE,0
белоемигрант,white immigrant,white immigrant,TRUE,0
бежанка,female refugee,refugee,FALSE,1
бежанц,refugee,refugees,FALSE,1
мигрантите,migrants,migrants,TRUE,1
бежанци,refugees,refugees,TRUE,1
имигрански,immigration,immigrant,FALSE,1
имигранти,immigrants,immigrants,TRUE,1
аристократ-емигрант,immigrant aristocrat,emigrant aristocrat,FALSE,1
бежанци.В,refugees.In,refugees.C,FALSE,0
бежанец,refugee,refugee,TRUE,1
емигрант,Immigrant,emigrant,FALSE,1
бежански,refugee,refugee,TRUE,1
имигрантки,immigrant women,immigrant women,TRUE,1
имигранта,immigrant,immigrant,TRUE,1
дете-бежанец,child refugee,refugee child,FALSE,1
Мигрант,Migrant,Migrant,TRUE,1
афганец,Afghan,Afghan,TRUE,0
емигрантка,Immigrant,emigrant,FALSE,1
инженер-емигрант,immigrant engineer,émigré engineer,FALSE,1
емигранти-,immigrants-,emigrants,FALSE,0
емигранти,immigrants,emigrants,FALSE,1
сириецът-християнин,Syrian-Christian,the Syrian Christian,FALSE,0
немец-емигрант,German immigrant,a German emigrant,FALSE,0
бежанците,refugees,refugees,TRUE,1
иранец,Iranian,Iranian,TRUE,0
мигранта,the migrant,migrant,FALSE,1
Политемигрант,Polymigrant,Political immigrant,FALSE,1
бежанците20,refugee20,refugees20,FALSE,0
слуга-емигрант,immigrant servant,emigrant servant,FALSE,1
бежанците09,refugee09,refugees09,FALSE,0
имигрантски,Immigrant,immigrant,FALSE,1
мигранти,migrants,migrants,TRUE,1
политемигрант,polymigrant,political immigrant,FALSE,1
имигрирал,immigrated,immigrated,TRUE,1
мароканец,Moroccan,Moroccan,TRUE,0
бежанци14,refugees14,refugees14,TRUE,0
емигранта,migrant,the emigrant,FALSE,1
иракчанин,Iraqi,Iraqi,TRUE,0
фермер-имигрант,immigrant farmer,immigrant farmer,TRUE,1
имигрантът,the immigrant,the immigrant,TRUE,1
афганистанец,Afghan,Afghan,TRUE,0
гражданин,citizen,citizen,TRUE,1
мигрант,migrant,migrant,TRUE,1
бежанцит,refugee,refugees,FALSE,1
имигрантка,immigrant,immigrant,TRUE,1
Бежанецът,The Refugee,The refugee,FALSE,1
бежанцте,refugee,refugees,FALSE,1
Небрежанец,Careless,The negligent,FALSE,0
политемигранти,polymigrants,political immigrants,FALSE,1
имиграционния,Immigration,immigration,FALSE,1
емигрант-католик,Immigrant Catholic,Catholic immigrant,FALSE,0
имигрант,immigrant,immigrant,TRUE,1
Имигрант,Immigrant,Immigrant,TRUE,1
бежанци13,refugees13,refugees13,TRUE,0
сириец,Syrian,Syrian,TRUE,0
врeмигрант,immigrant,immigrant,TRUE,1
политемигрантите,polymigrants,political immigrants,FALSE,1
имигрант-авиоинженер,immigrant aviation engineer,immigrant aeronautical engineer,FALSE,0
палестинец,Palestinian,Palestinian,TRUE,0
бежанеца,refugee,the refugee,FALSE,1
емигрантъ,immigrant,the emigrant,FALSE,1
