keyword,deepl,google,deepl==google,Annotation
uprchlíka,Refugee,refugee,FALSE,1
uprchlíkům,Refugees,refugees,FALSE,1
Súdánec,Sudanese,Sudanese,TRUE,0
sluníčkář,Sunshine,sunshine,FALSE,0
přistěhovalecké,Immigration,immigrant,FALSE,1
přistěhovalý,Immigrant,immigrant,FALSE,1
přistěhovalci,Immigrants,immigrants,FALSE,1
cikán,Gypsy,Gypsy,TRUE,0
utečenec,refugee,refugee,TRUE,1
zkrachovalec,bankrupt,bankrupt,TRUE,0
imigrantský,immigrant,immigrant,TRUE,1
uprchlíkem,refugee,refugee,TRUE,1
Uprchlíky,Refugees,Refugees,TRUE,1
Kurd,Kurd,Kurd,TRUE,0
migrantem,migrant,migrant,TRUE,1
přistěhuje,immigrate,immigrates,FALSE,1
přistěhoval,Immigrated,immigrated,FALSE,1
emigrant,Emigrant,emigrant,FALSE,1
osadník,settler,settler,TRUE,1
přistěhovalkyně,immigrant,immigrant woman,FALSE,1
uprchlický,refugee,refugee,TRUE,1
uprchlý,refugee,runaway,FALSE,1
utečenecký,refugee,refugee,TRUE,1
imigranta,immigrant,immigrant,TRUE,1
domorodec,Aboriginal,native,FALSE,0
deportovaný,deported,deportee,FALSE,1
přistěhovalec,immigrant,immigrant,TRUE,1
starousedlík,Native American,old settler,FALSE,0
Imigrant,Immigrant,Immigrant,TRUE,1
Uprchlík,Refugee,Refugee,TRUE,1
uprchlíku,Refugee,refugee,FALSE,1
mladík,Young man,young man,FALSE,0
rasista,Racist,racist,FALSE,0
kolonista,colonist,colonist,TRUE,0
terorista,terrorist,terrorist,TRUE,0
vyhoštěný,expelled,deported,FALSE,1
přistěhovaleckého,Immigration,immigrant,FALSE,1
Afrikánec,African,African,TRUE,0
imigranti,immigrants,immigrants,TRUE,1
nacionalista,nationalist,nationalist,TRUE,0
povalec,layabout,loafer,FALSE,0
přistěhovalecká,immigrant,immigrant,TRUE,1
běženec,refugee,refugee,TRUE,1
nezaměstnaný,unemployed,unemployed,TRUE,0
běženci,refugees,refugees,TRUE,1
přistěhovalcem,immigrant,immigrant,TRUE,1
přivandrovalec,immigrant,newcomer,FALSE,1
uprchlíkù,refugees,refugees,TRUE,1
uprchlíci,refugees,refuges,FALSE,1
migranta,migrant,migrant,TRUE,1
migrant,migrant,migrant,TRUE,1
uprchlík,refugee,refugee,TRUE,1
Palestinec,Palestinian,Palestinian,TRUE,0
uprchlící,Refugee,refuges,FALSE,1
cizinec,foreigner,stranger,FALSE,0
islamista,Islamist,Islamist,TRUE,0
přistěhovalců,Immigrants,immigrants,FALSE,1
azylant,asylum seeker,asylum seeker,TRUE,1
imigrantem,immigrant,immigrant,TRUE,1
dobrovolník,volunteer,volunteer,TRUE,0
migranti,migrants,migrants,TRUE,1
přistěhovalce,immigrants,immigrants,TRUE,1
uprchlíky,refugees,refugees,TRUE,1
evropan,european,continental,FALSE,0
Iráčan,Iraqi,Iraqi,TRUE,0
imigrant,Immigrant,immigrant,FALSE,1
přistěhovalecký,Immigrant,immigrant,FALSE,1
Migrant,Migrant,Migrant,TRUE,1
Afghánec,Afghan,Afghan,TRUE,0
zajatec,POW,prisoner,FALSE,0
azyl,asylum,asylum,TRUE,1
uprchlíků,Refugees,refugees,FALSE,1
uprchlíkovi,Refugees,refugee,FALSE,1
imigrantka,immigrant,immigrant,TRUE,1
uprchlice,refugee women,refugees,FALSE,1
občan,citizen,citizen,TRUE,1
Azylant,Asylum,Asylum seeker,FALSE,1
Přistěhovalec,Immigrant,Immigrant,TRUE,1
uprchlíků.,Refugees.,refugees.,FALSE,0
běloch,Caucasian,white,FALSE,0
Somálec,Somali,Somali,TRUE,0
extremista,Extremist,extremist,FALSE,0
vystěhovalec,emigrant,emigrant,TRUE,1
Syřan,Syrian,Syrian,TRUE,0
