keyword,deepl,google,deepl==google,Annotation
flygtning,refugee,refugee,TRUE,1
arbejdsimmigranter,migrant workers,labor immigrants,FALSE,1
emigranter,emigrants,emigrants,TRUE,1
Immigrants,Immigrants,Immigrants,TRUE,1
andengenerationsindvandrer,second generation immigrant,second generation immigrant,TRUE,1
indvandrende,immigrant,immigrant,TRUE,1
Immigranterne,Immigrants,The immigrants,FALSE,1
kvoteflygtning,quota refugee,quota refugee,TRUE,1
integrationsflygtninge,integration refugees,integration refugees,TRUE,1
flygtningefamilier,refugee families,refugee families,TRUE,1
immigrant-,immigrant-,immigrant-,TRUE,0
flygtningen,refugee,the refugee,FALSE,1
indvandrede,immigrants,immigrants,TRUE,1
flygtnige,refugees,refugees,TRUE,1
flygtninge.,refugees.,refugees.,TRUE,0
immigranterne,immigrants,the immigrants,FALSE,1
flygtningejob,refugee jobs,refugee jobs,TRUE,1
indvandrerland,immigrant country,immigrant country,TRUE,1
indvandret,immigrant,immigrant,TRUE,1
immigrantbølger,immigrant waves,immigrant waves,TRUE,1
flygtningesituation,refugee situation,refugee situation,TRUE,1
immigrationsstation,immigration station,immigration station,TRUE,1
flygtninges,refugees,refugees,TRUE,1
immigrantfamilie,immigrant family,immigrant family,TRUE,1
indvandrermænd,immigrant men,immigrant men,TRUE,1
indvandrerghettoerne,immigrant ghettos,the immigrant ghettos,FALSE,1
Kvoteflygtninge,Quota refugees,Quota refugees,TRUE,1
bådflygtning,boat refugee,boat refugee,TRUE,1
skatteflygtning,tax refugee,tax refugee,TRUE,1
indvandrergruppen,immigrant community,the immigrant group,FALSE,1
nydansker,new danish,new Danes,FALSE,0
immigrationskontor,immigration office,immigration office,TRUE,1
flygtningedreng,refugee boy,refugee boy,TRUE,1
flygtninger,refugees,refugees,TRUE,1
indvandrere,immigrants,immigrants,TRUE,1
flygtningenes,refugees,the refugees,FALSE,1
immigrants,immigrants,immigrants,TRUE,1
Flygtning,Refugee,Refugee,TRUE,1
emigrant,emigrant,emigrant,TRUE,1
flygtningestrøm,refugee flow,refugee flow,TRUE,1
asylsøgere,asylum seekers,asylum seekers,TRUE,1
Immigranter,Immigrants,Immigrants,TRUE,1
