keyword,deepl,google,deepl==google,Annotation
Sõjapõgenik,War refugee,War refugee,TRUE,1
pagulaspere,refugee family,refugee family,TRUE,1
pagulastel,refugees,refugees,TRUE,1
pagulasühiskonnas,in refugee society,in a refugee society,FALSE,1
uusasukatel,new settlers,settlers,FALSE,1
pagulasproosa,refugee prose,refugee prose,TRUE,1
Asunik,The Settler,Settler,FALSE,1
uusasunikke,new settlers,new settlers,TRUE,1
pagulaskonnas,in refugee society,in the refugee community,FALSE,1
kõrbeelanik,desert dweller,desert dweller,TRUE,0
sisepagulane,IDP,internally displaced person,FALSE,1
põgenikekriisist,about the refugee crisis,refugee crisis,FALSE,1
põgenikel,refugees,refugees,TRUE,1
põgenikega,with refugees,refugees,FALSE,1
põgenikuga,with a refugee,refugee,FALSE,1
piirkonnakohtunik,district judge,district judge,TRUE,0
põgenikuteele,for refugees,escape route,FALSE,1
uusasundus,new housing,new settlement,FALSE,1
pagulasel,refugee,refugees,FALSE,1
pagulastele,for refugees,refugees,FALSE,1
Nunik,Nunik,Nunik,TRUE,0
põgenikelaine,refugee wave,a wave of refugees,FALSE,1
põgeniknaist,refugee women,a refugee woman,FALSE,1
asunik,settler,settler,TRUE,1
turismitalunik,tourism adviser,tourist farmer,FALSE,0
uusasukaid,newcomers,settlers,FALSE,1
põgenikesse,refugees,refugees,TRUE,1
uusasustused,new settlements,new settlements,TRUE,1
renditalunik,tenant farmer,rental farmer,FALSE,0
uusasum,resettlement,new settlement,FALSE,1
maanöunik,landlord,country man,FALSE,0
uusasunikele,for new settlers,for new settlers,TRUE,1
pagulaselu,refugee life,refugee life,TRUE,1
pagulaseesti,refugee Estonia,Estonian refugees,FALSE,0
põgeniklast,refugee,refugee,TRUE,1
unik,poppy,unique,FALSE,0
uusasundused,new settlements,new settlements,TRUE,1
pagulas-,refugee-,refugee,FALSE,1
põgen,refugees,I'm running away,FALSE,1
pagulaseks,for refugees,as a refugee,FALSE,1
põgenikevood,refugee flows,refugee flows,TRUE,1
pagulase,refugee,refugee,TRUE,1
pagulane,refugee,refugee,TRUE,1
uusasustuse,resettlement,new settlement,FALSE,1
hariahven,redfish,perch,FALSE,0
põgenikena,refugees,as refugees,FALSE,1
pagulast,refugee,refugee,TRUE,1
Syunik,Syunik,Syunik,TRUE,0
Tipparst,Top doctor,Tipparst,FALSE,0
pagulaslaagris,refugee camp,refugee camp,TRUE,1
wc-st,from the toilet,from the toilet,TRUE,0
pagulaspoliitik,refugee politician,refugee policy,FALSE,1
pagulaseaja,refugee time,exile,FALSE,1
põgenikevoo,refugee evacuation,refugee flows,FALSE,1
uusasumit,new housing,new housing,TRUE,0
põgeniketulva,refugee influx,refugee flood,FALSE,1
põgenikul,refugee,refugee,TRUE,1
pagulasstaatus,refugee status,refugee status,TRUE,1
pagulasele,for refugees,refugees,FALSE,1
Põgenik,Refugee,A refugee,FALSE,1
pagulas,refugee,refugees,FALSE,1
pagulaskirjandu,refugee application,refugee literature,FALSE,1
poliitpagulane,political refugee,political refugee,TRUE,1
sõjaväeadvokaat,military lawyer,military lawyer,TRUE,0
põgenikust,refugee,refugee,TRUE,1
sõjapõgenikuga,war refugee,with a war refugee,FALSE,1
pagulasi,refugees,refugees,TRUE,1
uusasustamine,resettlement,resettlement,TRUE,1
pagulasabi,refugee aid,refugees,FALSE,1
paadipõgenik,boat refugee,boat runaway,FALSE,1
põgenikekvoodi,refugee bed,refugee quota,FALSE,1
pagulaseestlasi,refugees,Estonian refugees,FALSE,0
põgenik,refugee,a refugee,FALSE,1
põgenikud,refugees,refugees,TRUE,1
tipparhitekt,top architect,top architect,TRUE,0
Pagulane,Refugee,Refugee,TRUE,1
sõjapõgenik,refugee,war refugee,FALSE,1
filminõunik,film adviser,film counselor,FALSE,0
saunik,sailor,sauna,FALSE,0
pagulased,refugees,refugees,TRUE,1
paunik,boatman,paunik,FALSE,0
suurtalunik,great tuna,great farmer,FALSE,0
