keyword,google,Annotation
Immigrants,Immigrants,1
useljenika,immigrants,1
imigracijski,immigration,1
imigrantskog,immigrant,1
useljeničke,immigrant,1
doseljeničkog,immigrant,1
Doseljenik,Immigrant,1
imigrantom,immigrant,1
Izbjeglica,Refugee,1
Carygrant,Carygrant,0
prognanici,exiles,0
doseljeničke,immigrant,1
useljenje,immigration,1
Raseljenik,Displaced,1
doseljenika.Novozelandski,immigrants.New Zealand,0
imigrantima,immigrants,1
Izbjeglička,Refugee,1
radnika-imigranata,immigrant workers,1
migrantima,migrants,1
izbjeglička,refugee,1
doseljenicu,immigrant,1
imigrantske,immigrant,1
zaijenik,zaijenik,0
kolonist,colonist,0
prebjeglica,defector,0
prognanika,exiles,0
doseljenike,immigrants,1
Izbjeglički,Refugee,1
doseljenička,immigrant,1
Izbjeglice,Refugees,1
izbjeglicu,a refugee,1
doseljena,immigrant,1
BiH-izbjeglice,BiH refugees,0
raseljenih,displaced,1
useljeničkom,immigrant,1
Predbjeglica,Refugee,1
emigranti,emigrants,1
emigrant,emigrant,1
Izbjeglicama,Refugees,1
doseljenik,immigrant,1
izbeglica,refugee,1
novodoseljena,newly arrived,1
azilanata,asylum seekers,1
migrante,migrant,1
Hughgrant,Hughgrant,0
izbjeglicom,a refugee,1
useljeništv,immigration,1
useljene,immigrants,1
Novodoseljenici,New settlers,1
useljen,immigrated,1
doseljeni,immigrants,1
imigranati,immigrants,1
izbjeglicama,refugees,1
doseljenički,immigrant,1
useljenjem,by moving in,1
prognanih,exiles,0
aids-and-grant,aids-and-grant,0
Grougrant,Grougrant,0
useljena,immigrated,1
doseljeneci,immigrants,1
imigranta,immigrant,1
useljenik,immigrant,1
iseljenikа,emigrants,1
Hrvata-emigranata,Croatian emigrants,0
Preseljenik,Immigrant,1
iseljenik,emigrant,1
Naseljenik,Settler,1
doseljenika,immigrants,1
imigrantkinja,immigrant,1
novodoseljeni,newcomers,1
doseljeničkih,immigrant,1
prebjeglih,defectors,0
doseljeno,immigrated,1
doseljenikom,immigrants,1
doseljenog,immigrant,1
doseljenoga,immigrant,1
Emigrantski,Emigrant,1
useljeničko,immigrant,1
izbjeglima,refugees,1
izbjeglički,refugee,1
useljenim,immigrants,1
doseljenica,immigrant,1
Useljenika,Immigrants,1
doseljene,immigrants,1
doseljela,immigrated,1
useljeništva,immigration,1
Jenik,Jenik,0
imigranticu,immigrant,1
izbjeglici,refugees,1
imigrantskim,immigrant,1
imigrantski,immigrant,1
Emigranti,Emigrants,1
naseljeniku,settler,1
useljenička,immigrant,1
migrantskog,migrant,1
migranata,migrants,1
imigranti,immigrants,1
useljenici,immigrants,1
doseljeničkoj,immigrant,1
Imigrantski,Immigrant,1
doseljen,immigrant,1
imigrantu,immigrant,1
Čukljenik,Čukljenik,0
imigrantsko,immigrant,1
useljeno,moved in,1
useljeničkih,immigrant,1
državljan,citizen,1
useljenicom,immigrant,1
nasljenik,heir,0
izbjeglim,I avoided,0
prognaničkih,exiles,0
imigranticom,immigrant,1
migrantskih,migrant,1
useljenikom,immigrant,1
prognanica,exile,0
useljenike,immigrants,1
izbjeglicama.U,refugees.In,0
migranta,migrant,1
useljeničkog,immigrant,1
naseljenik,settler,1
doseljenih,immigrants,1
imigrante,immigrant,1
migrant,migrant,1
doseljeničku,immigrant,1
doseljenom,immigrant,1
imigrantsku,immigrant,1
emigranata,emigrant,1
Imigranti,Immigrants,1
izbjegličke,refugees,1
imigrantskoj,immigrant,1
migrantu,migrant,1
židov,of the Jews,0
useljenicu,immigrant,1
doseljavao,immigrated,1
pobjeglih,escaped,0
Flagrant,Flagrant,0
Useljenik,Immigrant,1
izbjegličkog,refugee,1
raseljenika,displaced persons,1
Vagrant,Vagrant,0
Rosengrant,Rosengrant,0
migranti,migrants,1
imigrantnima,immigrants,1
useljeni,immigrants,1
izbjegličkih,refugees,1
imigranata,immigrants,1
Migrant,Migrant,1
useljeničkoj,immigrant,1
imigrant,immigrant,1
useljenja,immigration,1
odbjeglih,fugitives,1
useljenica,immigrant,1
odseljenika,emigrants,1
oca-izbjeglice,refugee father,1
useljeničku,immigrant,1
imigrantska,immigrant,1
migrantski,migrant,1
useljeništvo,immigration,1
izbjeglih,refugees,1
izbjeglice,refugees,1
Iseljenik,Emigrant,1
doseljenima,immigrants,1
iseljenikâ,emigrants,1
doseljeniku,immigrant,1
prognanik,exile,0
doselaç,reach,0
Immigrant,Immigrant,1
doseljenci,immigrants,1
naseljenika,settlers,1
useljenih,immigrants,1
immigrant,immigrant,1
Emigrant,Emigrant,1
Kupljenik,Buyer,0
useljenicima,immigrants,1
imigrantskih,immigrant,1
doseljeničko,immigrant,1
naseljenici,settlers,1
imigrantica,immigrant,1
doseljenici,immigrants,1
Hrvata-izbjeglica,Croat refugees,0
useljenički,immigrant,1
