keyword,deepl,google,deepl==google,Annotation
Immigrants,Immigrants,Immigrants,TRUE,1
frants,frants,French,FALSE,1
Emigrantu,Emigrants,Emigrants,TRUE,1
aizmucis,absconded,run away,FALSE,0
ārzemnieks,foreigner,foreigner,TRUE,1
Bēgļa,Refugee,Refugee,TRUE,1
ieceļotājs,Immigrant,immigrant,FALSE,1
drošībnieks,Security officer,security guard,FALSE,0
Zaglis,Thief,Thief,TRUE,0
tiesībnieks,Lawyer,lawyer,FALSE,0
imigrants,Immigrant,immigrants,FALSE,1
bēgļus,refugees,refugees,TRUE,1
migrantes,migrant women,migrants,FALSE,1
cietumnieks,prisoner,prisoner,TRUE,0
bēgļiem,refugees,refugees,TRUE,1
noziedznieks,criminal,criminal,TRUE,0
emigranti,migrants,emigrants,FALSE,1
migrante,migrant,migrants,FALSE,1
Bēglis,Refugee,Refugee,TRUE,1
aziāts,Asian,asian,FALSE,0
Bezpajumtnieks,Homeless,Homeless person,FALSE,0
iebraucējs,Immigrant,immigrant,FALSE,1
kabatzaglis,Pickpocket,pickpocket,FALSE,0
valstspiederīgais,National,national,FALSE,0
migrants,Migrant,migrants,FALSE,1
Migranti,Migrants,Migrants,TRUE,1
imigranta,immigrant,immigrant,TRUE,1
imigrantiemTulkošanas,immigrantsTranslation,for immigrantsTranslation,FALSE,0
imigrantiemVecākiemBilingvālā,ImmigrantsParentsBilingual,for immigrantsParentsBilingual,FALSE,0
imigrantes,Immigrant women,immigrant women,FALSE,1
imigrantus,immigrants,immigrants,TRUE,1
ķīlnieks,hostage,hostage,TRUE,0
bēgles,refugees,refugees,TRUE,1
bēgļi,refugees,refugees,TRUE,1
trimdinieks,exile,exile,TRUE,0
dārzbēglis,garden refugee,garden refugee,TRUE,0
Bēgļi,Refugees,Refugees,TRUE,1
imigranti,Immigrants,immigrants,FALSE,1
viesstrādnieks,migrant worker,guest worker,FALSE,1
migrantam,migrant,migrantam,FALSE,1
imigrantu,immigrant,immigrants,FALSE,1
izceļotājs,emigrant,emigrant,TRUE,1
migrantus,migrants,migrants,TRUE,1
imigrāc,immigrāc,immigrate,FALSE,1
pamatiedzīvotājs,indigenous,indigenous population,FALSE,0
alžīrietis,Algerian,Algerian,TRUE,0
bezvalstnieks,stateless,stateless person,FALSE,1
bēglis,refugee,refugee,TRUE,1
migranta,migrant,migrant,TRUE,1
Emigrants,Emigrant,Emigrants,FALSE,1
imigrante,Immigrant,immigrants,FALSE,1
migrant,migrant,migrant,TRUE,1
terorists,terrorist,terrorist,TRUE,0
bēglim,refugee,to the refugee,FALSE,1
irākietis,Iraqi,Iraqi,TRUE,0
Imigranti,Immigrants,Immigrants,TRUE,1
neimigranta,non immigrant,nonimmigrant,FALSE,0
bēgli,refugee,refugees,FALSE,1
bēglēm,For refugees,refugees,FALSE,1
bēgle,refugee,refugee,TRUE,1
mērglis,Mayor,sparrow,FALSE,0
Austrumeiropietis-imigrants,Eastern European immigrant,Eastern European immigrant,TRUE,0
migranti,migrants,migrants,TRUE,1
imigracijas,immigration,immigration,TRUE,1
imigrantam,for immigrant,immigrants,FALSE,1
Imigrantus,Immigrants,Immigrants,TRUE,1
bēglītis,refugee,runaway,FALSE,1
nepilsonis,non-citizen,non-citizen,TRUE,1
bēgļa,Refugee,refugee,FALSE,1
Imigrantu,Immigrant,Immigrants,FALSE,1
sīrietis,Syrian,Syrian,TRUE,0
imigran,immigran,immigrant,FALSE,1
pilsonis,citizen,citizen,TRUE,1
viesstudents,Visiting student,guest student,FALSE,0
bezpajumtnieks,homeless,homeless person,FALSE,0
emigrants,emigrant,emigrant,TRUE,1
laukumsImmigrants,SquareImmigrant,squareImmigrant,FALSE,0
Immigrant,Immigrant,Immigrant,TRUE,1
bēgliem,for refugees,refugees,FALSE,1
immigrant,immigrant,immigrant,TRUE,1
Emigrant,Emigrant,Emigrant,TRUE,1
imigrantiem,for immigrants,immigrants,FALSE,1
Migrants,Migrant,Migrants,FALSE,1
Imigrants,Immigrants,Immigrants,TRUE,1
jaunietis,Young,young man,FALSE,0
lēģeris,The lager,legger,FALSE,0
ārvalstnieks,Alien,alien,FALSE,0
