keyword,google,Annotation
flyktningsleir,refugee camp,1
innvandrergutter,immigrant boys,1
innvandrerland,immigrant country,1
Innvandret,Immigrant,1
innvandrere,immigrants,1
R3-innvandrere,R3 immigrants,0
innvandrende,immigrant,1
innvandrermødre,immigrant mothers,1
flyktningbarn,refugee children,1
flyktninger.,refugees.,0
innvandretjenesten,the immigration service,1
flyktningestatus,refugee status,1
flyktningavd,refugee dept,1
Båtflyktning,Boat refugee,1
flyktningguider,refugee guides,1
miljøflyktning,environmental refugee,1
andregenerasjonsinnvandrer,second-generation immigrant,1
innvandrerjenter,immigrant girls,1
innvandrerfiendtlig,anti-immigrant,1
flyktningsaker,refugee cases,1
flyktningemottaket,the refugee reception center,1
innvandrers,immigrants,1
innvandrermiljø,immigrant environment,1
flyktninggutt,refugee boy,1
innvandrere.,immigrants.,0
primærflyktning,primary refugee,1
familieinnvandrer,family immigrant,1
flyktningehjelp,refugee assistance,1
flyktningen,the refugee,1
arbeidsinnvandrer,labor immigrant,1
flyktningemottak,refugee reception,1
flyktninge,refugees,1
flyktningebarn,refugee children,1
førstegenerasjonsinnvandrer,first-generation immigrant,1
innvandrerungdom,immigrant youth,1
Innvandrere,Immigrants,1
innvandrergruppe,immigrant group,1
FN-flyktninger,UN refugees,1
flyktningsituasjon,refugee situation,1
båtflyktning,boat refugee,1
innvandreren,the immigrant,1
FN-flyktning,UN refugee,1
asylsøker,asylum seeker,1
flyktninger,refugees,1
innvandre,immigrate,1
overføringsflyktning,resettlement refugee,1
innvandrerforeldre,immigrant parents,1
Innvandrerne,The immigrants,1
Flyktning,Refugee,1
innvandrerpar,immigrant couple,1
flyktningmottak,refugee reception center,1
flyktningers,refugees,1
flyktn,flyktn,1
innvandrerspråk,immigrant language,1
krigsflyktning,war refugee,1
invandrer,immigrant,1
#NAME?,#NAME?,0
Innvandrer,Immigrant,1
flyktning,refugee,1
innvandringsbakgrunn,immigration background,1
innvandrergrupper,immigrant groups,1
medflyktning,co-refugee,1
flyktningekatastrofe,refugee disaster,1
flyktningmottaket,the refugee reception center,1
innvandere,immigrants,1
innvandrermenn,immigrant men,1
innvandrerbakgrunn,immigrant background,1
flyktningfamilier,refugee families,1
flyktningstatus,refugee status,1
flyktningesituasjon,refugee situation,1
flyktningsleiren,refugee camp,1
flyktningeleir,refugee camp,1
landsflyktning,refugee,1
innvandrer-bakgrunn,immigrant background,1
flyktnings,refugee,1
innvandrerstatus,immigrant status,1
ikke-innvandrere,non-immigrants,1
innvandring-og-innvandrere,immigration-and-immigrants,1
flyktningbakgrunn,refugee background,1
innvandrer-,immigrant-,1
innvandringsgrunn,reason for immigration,1
utvandrer,emigrating,1
flyktningsleire,refugee camps,1
innvandrerer,immigrants,1
innvandrernes,immigrants,1
innvandrerbefolkning,immigrant population,1
innvandrar,immigrant,1
innvandret,immigrated,1
flyktningebakgrunn,refugee background,1
kvoteflyktning,quota refugee,1
innvandrertett,immigrant-dense,1
flyktningejente,refugee girl,1
flyktningfamilie,refugee family,1
barneflyktninger,child refugees,1
flyktningene,the refugees,1
innvandrerne,the immigrants,1
innvandrergruppen,the immigrant group,1
flyktningguide,refugee guide,1
innvandrete,immigrants,1
Flyktninger,Refugees,1
