keyword,deepl,google,deepl==google,Annotation
reassentado,resettled,resettled,TRUE,1
fugitiva,runaway,fugitive,FALSE,0
yazidi,yazidi,Yazidi,FALSE,1
asilados,asilados,asylum,FALSE,1
exilada,exiled,exile,FALSE,0
exilado,exiled,exiled,TRUE,0
refugiar,refugee,take refuge,FALSE,1
subnutrida,undernourished,malnourished,FALSE,0
evadido,evaded,evaded,TRUE,0
emigração,emigration,emigration,TRUE,1
orfã,orphan,orphan,TRUE,0
Refugiado,Refugee,Refugee,TRUE,1
imigrados,immigrant,immigrants,FALSE,1
abrigo,shelter,shelter,TRUE,0
emigratório,emigration,emigratory,FALSE,1
deportada,deportee,deported,FALSE,1
refugiadas,refugee,refugees,FALSE,1
palestiniana,palestinian,Palestinian,FALSE,0
asilada,asilada,asylum,FALSE,1
imigracao,immigration,immigration,TRUE,1
acolhido,hosted,welcomed,FALSE,0
encarcerada,prisoner,imprisoned,FALSE,1
imigratório,immigration,immigration,TRUE,1
turista,tourist,tourist,TRUE,0
migrantes,migrants,migrants,TRUE,1
ex-emigrante,ex-emigrant,ex-immigrant,FALSE,1
prisioneira,prisoner,prisoner,TRUE,0
refúgio,refuge,refuge,TRUE,1
Exilada,exile,exile,TRUE,0
migrante,migrant,migrant,TRUE,1
imigração,immigration,immigration,TRUE,1
reclusa,prisoner,recluse,FALSE,0
ruandesa,Rwandan,rwandan,FALSE,0
desterrada,banished,outcast,FALSE,0
Imigração,Immigration,Immigration,TRUE,1
desabrigado,homeless,homeless,TRUE,0
indocumentado,undocumented,undocumented,TRUE,1
afegã,Afghani,afghan,FALSE,0
expatriada,expatriate,expatriate,TRUE,1
imigrantes.O,immigrant.O,immigrants.O,FALSE,0
somaliana,Somali,Somali,TRUE,0
deportado,deported,deported,TRUE,1
refugiada,refugee,refugee,TRUE,1
fugitivo,fugitive,fugitive,TRUE,1
judeu,Jewish,Jewish,TRUE,0
adotiva,adopted,adoptive,FALSE,0
prisioneiro,prisoner,prisoner,TRUE,0
imigrantes,immigrant,immigrants,FALSE,1
emigrada,emigrated,emigrant,FALSE,1
estrangeiro,foreigner,foreign,FALSE,1
fugido,runaway,run away,FALSE,0
refugiou,refugee,refugee,TRUE,1
imigratórios,immigration,immigration,TRUE,1
refugia,refugee,refuge,FALSE,1
Imigrante,immigrant,Immigrant,FALSE,1
imigracionista,immigracionist,immigrationist,FALSE,1
ítalo-descendente,italian-descendant,Italian descendant,FALSE,0
Refugiados,Refugee,Refugees,FALSE,1
muçulmana,Muslim,Muslim,TRUE,0
mulçumana,Muslim,Muslim,TRUE,0
desertora,defector,deserter,FALSE,0
ex-preso,former prisoner,ex-prisoner,FALSE,0
extraditada,extradited,extradited,TRUE,1
forasteiro,outsider,outsider,TRUE,1
imigrar,immigrate,immigrate,TRUE,1
judia,Jewish,jewish,FALSE,0
auto-exilado,self-exiled,self-exile,FALSE,0
autoexilado,self-exiled,self-exiled,TRUE,0
emigrantes,emigrants,emigrants,TRUE,1
asilo,asylum,asylum,TRUE,1
surda-muda,deaf-mute,deaf mute,FALSE,0
refugiados,refugees,refugees,TRUE,1
imigrado,immigrant,immigrant,TRUE,1
ex-prisioneiro,former prisoner,ex-prisoner,FALSE,0
imigracão,immigration,immigration,TRUE,1
inmigrantes,inmigrants,immigrants,FALSE,1
emigrado,emigrated,émigré,FALSE,1
bem-nascida,well-born,well born,FALSE,0
imigrada,immigrant,immigrant,TRUE,1
sírio,syrian,Syrian,FALSE,0
emigrante,emigrant,emigrant,TRUE,1
bi-racial,bi-racial,bi-racial,TRUE,0
desenraizada,rootless,uprooted,FALSE,1
encarcerado,incarcerated,imprisoned,FALSE,0
imigrante,immigrant,immigrant,TRUE,1
imigrara,immigrated,immigrated,TRUE,1
mestiço,mestizo,mixed race,FALSE,0
expatriado,expatriate,expatriate,TRUE,1
homiziado,homestay,murdered,FALSE,0
presidiária,inmate,inmate,TRUE,0
imigrava,immigrated,immigrated,TRUE,1
imigra,immigrate,immigrate,TRUE,1
colono,settler,settler,TRUE,1
imigrando,immigrating,immigrating,TRUE,1
refugiados.,refugees.,refugees.,TRUE,0
imigrantes.,immigrants,immigrants.,FALSE,0
asilado,asilado,asylum,FALSE,1
recém-nascida,newborn,newborn,TRUE,0
beduína,bedouin,bedouin,TRUE,0
apátrida,stateless,stateless,TRUE,1
desalojado,displaced,homeless,FALSE,0
Refugiadas,refugee,Refugees,FALSE,1
órfã,orphan,orphan,TRUE,0
refugiado,refugee,refugee,TRUE,1
imigrou,immigrated,immigrated,TRUE,1
imigrant,immigrant,immigrant,TRUE,1
imigrações,immigrations,immigrations,TRUE,1
imigratória,immigration,immigration,TRUE,1
humanitária,humanitarian,humanitarian,TRUE,0
refugiando,refugee,taking refuge,FALSE,1
imigrantista,immigrant,immigrant,TRUE,1
recluso,inmate,recluse,FALSE,0
Refugiada,Refugee,refugee,FALSE,1
ex-prisioneira,former prisoner,ex-prisoner,FALSE,0
intercambista,exchange student,exchange student,TRUE,0
não-imigrante,non-immigrant,non-immigrant,TRUE,0
ex-imigrante,ex-immigrant,ex-immigrant,TRUE,1
ex-muçulmana,ex-Muslim,ex-muslim,FALSE,0
síria,syrian,Syria,FALSE,0
repatriada,returnee,returnee,TRUE,1
palestiniano,palestinian,Palestinian,FALSE,0
ex-muçulmano,ex-Muslim,ex-muslim,FALSE,0
desalojada,displaced,homeless,FALSE,1
marginalizada,marginalized,marginalized,TRUE,1
não-migrantes,non-migrant,non-migrants,FALSE,1
desabrigada,homeless,homeless,TRUE,0
traficada,trafficked,trafficked,TRUE,0
refugiado-se,refugee-se,refugee,FALSE,1
desempregado,unemployed,Unemployed,FALSE,0
