keyword,deepl,google,deepl==google,Annotation
tâlharul,the robber,thief,FALSE,0
hăituit,hounded,hunted,FALSE,0
rătăcitor,wanderer,wandering,FALSE,0
expatriat,expatriate,exile,FALSE,0
prins,caught,caught,TRUE,0
pribeag,vagabond,wanderer,FALSE,1
vagabond,vagabond,stray,FALSE,0
refugiate,refugee,refugee,TRUE,1
imigranţi,immigrants,immigrants,TRUE,1
exilându-se,exiling,exiling is,FALSE,0
refugiează,refugees,take refuge,FALSE,1
captivul,captive,captive,TRUE,0
fugat,fugitive,Fugate,FALSE,0
refugiată,refugee,refugee,TRUE,1
fugarelor,fugitive,fugitives,FALSE,0
fugar.,fugitive.,fugitive.,TRUE,0
refugiati,refugees,refugees,TRUE,1
Refugiată,Refugee,Refugee,TRUE,1
prizonierul,prisoner,prisoner,TRUE,0
non-immigrant,non-immigrant,non-immigrant,TRUE,0
Emigranta,Emigrant,immigrant,FALSE,1
Refugiat,Refugee,Refugee,TRUE,1
adăpostise,adăpostise,sheltered,FALSE,0
imigrat,immigrant,immigrated,FALSE,1
exilat,exile,exile,TRUE,0
arestat,arrested,custody,FALSE,0
refugiatul,refugee,refugee,TRUE,1
refugiazã,refugee,Escape,FALSE,0
meltean,meltean,meltean,TRUE,0
emigranti,migrants,immigrants,FALSE,1
migrante,migrant,migrate,FALSE,1
emigrant,emigrant,emigrant,TRUE,1
shugar,shugar,shugar,TRUE,0
drumeţ,trekker,traveler,FALSE,0
emigranþi,migrant,emigrants,FALSE,1
Imigrantii,Immigrants,Immigrants,TRUE,1
contrabandist,smuggler,smuggler,TRUE,0
anti-imigranti,anti-immigrant,anti-immigrant,TRUE,1
fugiat,fugitive,run,FALSE,0
refugiaza,refugee,refuge,FALSE,1
refugiaseră,refugees,refuge,FALSE,1
hăituitor,stalker,chasing,FALSE,0
fugara,fugitive,runaway,FALSE,0
drumețul,hiker,traveler,FALSE,0
imigranții,immigrants,immigrants,TRUE,1
Refugiatul,Refugee,refugee,FALSE,1
fugarilor,fugitives,fugitives,TRUE,0
hoţ,thief,thief,TRUE,0
Imigrant,Immigrant,Immigrant,TRUE,1
trădătorul,traitor,traitor,TRUE,0
refugiam,refugee,refuge,FALSE,1
Imigrante,Immigrant,IMMIGRANT,FALSE,1
refugia,refugia,escape,FALSE,0
fugaresc,fugaresc,chase,FALSE,0
refugiata,refugee,refugee,TRUE,1
fugare,flee,fleeting,FALSE,0
criminal,criminal,criminal,TRUE,0
azil,asylum,asylum,TRUE,1
mutat,moved,moved,TRUE,0
fugarul,fugitive,fugitive,TRUE,0
non-imigrant,non-immigrant,nonimmigrant,FALSE,0
migrantul,migrant,migrant,TRUE,1
