keyword,deepl,google,deepl==google,Annotation
utečenci,Refugees,refugees,FALSE,1
prisťahovalecká,Immigration,immigrant,FALSE,1
prisťahovaný,immigrant,immigrant,TRUE,1
prisťahované,immigrated,immigrated,TRUE,1
utečenecká,refugee,refugee,TRUE,1
prisťahovania,immigration,immigration,TRUE,1
prisťahovať,immigrate,immigrate,TRUE,1
Imigračný,Immigration,Immigrant,FALSE,1
Vysťahovalec,Expatriate,Emigrant,FALSE,1
utečeného,Refugee,escaped,FALSE,1
prisťahovalecké,Immigration,immigrant,FALSE,1
Prisťahoval,Immigrated,He immigrated,FALSE,1
Prisťahovalecký,Immigrant,Immigrant,TRUE,1
prisťahovalci,Immigrants,immigrants,FALSE,1
prisťahovaleckých,Immigrant,immigrant,FALSE,1
imigrantév,Immigrants,immigrants,FALSE,1
Poturčenec,Immigrant,The stomach,FALSE,0
prisťahovalectvom,Immigration,immigration,FALSE,1
Lečenec,Lieutenant,Lecenec,FALSE,0
prisťahovaním,by immigration,immigration,FALSE,1
Utečenec,Refugee,Refugee,TRUE,1
utečenectva,Refugee,refugees,FALSE,1
emigrant,Emigrant,emigrant,FALSE,1
utečeneckých,Refugee,refugees,FALSE,1
azylanta,Asylum seeker,asylum seeker,FALSE,1
osadník,Settler,settler,FALSE,1
Čečenec,Chechen,Chechen,TRUE,0
prisťahovalstva,Immigration,immigration,FALSE,1
utečeneckého,Refugee,refugee,FALSE,1
prisťahovaleckým,Immigrant,immigrant,FALSE,1
prisťahovalec,immigrant,immigrant,TRUE,1
utečenecký,refugee,refugee,TRUE,1
utečeneckej,refugee,refugee,TRUE,1
účenec,participant,scholar,FALSE,0
utečeneckú,refugee,refugee,TRUE,1
utečenectvo,refugee,refugee,TRUE,1
Imigrant,Immigrant,Immigrant,TRUE,1
prisťahovalectva,Immigration,immigration,FALSE,1
Vičenec,Guest post,Vicenec,FALSE,0
prisťahuje,Immigrate,immigrates,FALSE,1
imigroval,immigrated,immigrated,TRUE,1
utečenecké,Refugee,refugee,FALSE,1
prisťahovalectvo,Immigration,immigration,FALSE,1
prisťahovalkyni,Immigrant,immigrant woman,FALSE,1
terorista,terrorist,terrorist,TRUE,0
štvrovalec,quadriplegic,quadruped,FALSE,0
prisťahovaná,immigrant,immigrated,FALSE,1
prisťahovaleckou,immigrant,immigrant,TRUE,1
poturčenec,migrant,stumbling block,FALSE,0
imigračný,immigration,immigrant,FALSE,1
prisťahovalectvu,immigration,immigration,TRUE,1
vysťahovalecký,expatriate,emigrant,FALSE,1
prisťahovaní,immigration,immigration,TRUE,1
utečencom,refugees,refugees,TRUE,1
prisťahoval,immigrated,immigrated,TRUE,1
utečeneckom,refugee,refugee,TRUE,1
ozbrojenec,Armed,gunman,FALSE,0
Prisťahovalectvo,Immigration,Immigration,TRUE,1
Sýrčan,Syrian,Syrian,TRUE,1
prisťahovaleckú,Immigration,immigrant,FALSE,1
migranta,migrant,migrant,TRUE,1
prisťahovalo,immigrated,immigrated,TRUE,1
Mičenec,Michener,Mičenec,FALSE,0
utečencov,Refugees,refugees,FALSE,1
prisťahovaleckej,Immigrant,immigrant,FALSE,1
migrant,Migrant,migrant,FALSE,1
prisťahovalcami,immigrants,immigrants,TRUE,1
migračný,Migration,migratory,FALSE,1
prisťahovalkyňa,immigrant,immigrant,TRUE,1
džihádista,jihadist,jihadist,TRUE,0
prisťahovali,immigrated,immigrated,TRUE,1
Konovalec,Konovalec,Konovalec,TRUE,0
islamista,Islamist,Islamist,TRUE,0
azylant,asylum seeker,asylum seeker,TRUE,1
utečených,Refugees,escaped,FALSE,0
prisťahovaleckého,Immigration,immigrant,FALSE,1
utečenco,refugee,refugee,TRUE,1
azylový,asylum seeker,asylum,FALSE,1
migranti,migrants,migrants,TRUE,1
imigrant,immigrant,immigrant,TRUE,1
Migrant,Migrant,Migrant,TRUE,1
utečenca,Refugee,refugee,FALSE,1
prisťahovanie,immigration,immigration,TRUE,1
imigrantů,Immigrants,immigrants,FALSE,1
prisťahovalectve,Immigration,immigration,FALSE,1
utečencami,refugees,refugees,TRUE,1
Utečenecký,Refugee,Refugee,TRUE,1
prisťahovalca,Immigrant,immigrant,FALSE,1
prisťahovaného,Immigrant,immigrant,FALSE,1
Džihádista,Jihadist,Jihadist,TRUE,0
prisťahovalecký,Immigrant,immigrant,FALSE,1
utečenka,Refugee,runaway,FALSE,1
prisťahovala,immigrated,immigrated,TRUE,1
Emigrant,Emigrant,Emigrant,TRUE,1
prisťahovalcov,Immigrant,immigrants,FALSE,1
utečenky,Refugee Women,refugees,FALSE,1
