keyword,deepl
uprchlíka,Refugee
uprchlíkům,Refugees
přistěhovalecké,Immigration
přistěhovalý,Immigrant
přistěhovalci,Immigrants
utečenec,refugee
imigrantský,immigrant
uprchlíkem,refugee
Uprchlíky,Refugees
migrantem,migrant
přistěhuje,immigrate
přistěhoval,Immigrated
emigrant,Emigrant
osadník,settler
přistěhovalkyně,immigrant
uprchlický,refugee
uprchlý,refugee
utečenecký,refugee
imigranta,immigrant
deportovaný,deported
přistěhovalec,immigrant
Imigrant,Immigrant
Uprchlík,Refugee
uprchlíku,Refugee
vyhoštěný,expelled
přistěhovaleckého,Immigration
imigranti,immigrants
přistěhovalecká,immigrant
běženec,refugee
běženci,refugees
přistěhovalcem,immigrant
přivandrovalec,immigrant
uprchlíkù,refugees
uprchlíci,refugees
migranta,migrant
migrant,migrant
uprchlík,refugee
uprchlící,Refugee
přistěhovalců,Immigrants
azylant,asylum seeker
imigrantem,immigrant
migranti,migrants
přistěhovalce,immigrants
uprchlíky,refugees
imigrant,Immigrant
přistěhovalecký,Immigrant
Migrant,Migrant
azyl,asylum
uprchlíků,Refugees
uprchlíkovi,Refugees
imigrantka,immigrant
uprchlice,refugee women
občan,citizen
Azylant,Asylum
Přistěhovalec,Immigrant
vystěhovalec,emigrant
