keyword,deepl
flygtning,refugee
arbejdsimmigranter,migrant workers
emigranter,emigrants
Immigrants,Immigrants
andengenerationsindvandrer,second generation immigrant
indvandrende,immigrant
Immigranterne,Immigrants
kvoteflygtning,quota refugee
integrationsflygtninge,integration refugees
flygtningefamilier,refugee families
flygtningen,refugee
indvandrede,immigrants
flygtnige,refugees
immigranterne,immigrants
flygtningejob,refugee jobs
indvandrerland,immigrant country
indvandret,immigrant
immigrantbølger,immigrant waves
flygtningesituation,refugee situation
immigrationsstation,immigration station
flygtninges,refugees
immigrantfamilie,immigrant family
indvandrermænd,immigrant men
indvandrerghettoerne,immigrant ghettos
Kvoteflygtninge,Quota refugees
bådflygtning,boat refugee
skatteflygtning,tax refugee
indvandrergruppen,immigrant community
immigrationskontor,immigration office
flygtningedreng,refugee boy
flygtninger,refugees
indvandrere,immigrants
flygtningenes,refugees
immigrants,immigrants
Flygtning,Refugee
emigrant,emigrant
flygtningestrøm,refugee flow
asylsøgere,asylum seekers
Immigranter,Immigrants
flygtningedrenge,refugee boys
immigrationsmyndighederne,immigration authorities
flygtningebaggrund,refugee background
indvandrer-baggrund,immigrant-background
immigrations,immigration
indvandrerspørgsmålet,immigration issue
indvandrerghettoer,immigrant ghettos
indvandrertætte,immigrant dense
FN-flygtninge,UN refugees
flygtningepige,refugee girl
immigrantlitteratur,immigrantliterature
indvandrerfamilie,immigrant family
indvandrergrupper,immigrant groups
immigranten,immigrant
indvandrerlande,immigrant countries
immigrantbaggrund,immigrant background
immigrantarbejdere,immigrant workers
krigsflygtninge,war refugees
indvandrene,immigrants
immigrationsmyndigheder,immigration authorities
indvandre,immigrants
flygtningehjælp,refugee aid
emmigranter,immigrants
flygtninge,refugees
flygtningslejre,refugee camps
indvandrerfamilier,immigrant families
imigranter,immigrants
emigranters,emigrants
krigsflygtning,war refugee
flygtninglejr,refugee camp
immigrantkulturer,immigrant cultures
flygtningepas,refugee passport
indvandrerne,immigrants
flygtningefamilie,refugee family
udvandrer,emigrant
asylsøgende,asylum seeker
indvandrergruppe,immigrant group
emigranterne,emigrants
immigrationskontoret,immigration office
immigrantgrupper,immigrant groups
migrant,migrant
flygtningebarn,refugee children
andengenerations-indvandrer,second-generation immigrant
flygtningegruppe,refugee group
indvandrermiljøet,immigrant community
generationsindvandrer,generational immigrant
immigranters,immigrants
asylansøgeren,asylum seeker
indvandrers,immigrant
emmigrant,immigrant
gademigranter,street migrants
indvandrebaggrund,immigrant background
indvandrerforældre,immigrant parents
immigrantstation,immigrant station
emigrantfamilie,emigrant family
indvandrerpiger,immigrant girls
nyindvandrede,new immigrants
emigranten,emigrant
indvandrernes,immigrants
Immigranten,Immigrants
indvandrerghetto,immigrant ghetto
indvandreren,the immigrant
indvandrerdebat,immigrant debate
indvandrerdigter,immigrant digger
immigration,immigration
flygtningene,refugees
indvandrerpige,immigrant girl
genindvandrede,re-immigrants
imigrant,imigrant
Migrant,migrant
immigrantmiljøer,immigrant communities
flygtningebørn,refugee children
immigrantnatur,immigrant nature
fattigdomsflygtninge,poverty refugees
flygtnings,refugee
indvandrerby,immigrant village
indvandere,immigrants
indvandredrenge,immigrant boys
flygtninglejre,refugee camps
indvandrerunge,immigrant boys
indvandrervenner,immigrant friends
Flygtningene,Refugees
indvandrekvinder,immigrant women
asylsøger,asylum seekers
emigrants,emigrants
flygtningegrupper,refugee groups
immigranter,immigrants
Immigrant,Immigrant
indvandrerkvinde,immigrant woman
Emigrant,Emigrant
konventionsflygtninge,Convention refugees
asylansøger,asylum seeker
flygtningelande,refugee country
flygtningestatus,refugee status
indvandrergrupperne,immigrant groups
immigrantbefolkningen,immigrant population
immigranternes,immigrants
immigrantsamfund,immigrant communities
immigrerende,immigrants
