keyword,deepl
λαθρομετανάστη,illegal immigrant
εκπατρισμένος,expatriate
λαθρομετανάστης,illegal immigrant
πρόσφυγας,refugee
Μετανάστρια,immigrant
μετανάστεψε,emigrated
ξενιτεμένος,alien
προσφυγοπούλα,refugee girl
ξένος,foreigner
προσφυγομάνα,refugee
προσφυγόπουλο,refugee
λαθρομετανάστρια,illegal immigrant
μετανάστρια,immigrant
έποικος,settler
μεταναστης,immigrant
μετανάστις,immigrant
προσφυγας,refugee
μεταναστευτικός,migrant
προσφυγάκι,refugee
πρόσφυξ,refugee
μετανάστη,migrant
πρόσφυγες-μετανάστες,refugees-migrants
μετανάστριας,migrant
πρόσφυγες-,refugees-
Πρόσφυγας,Refugee
άπατρις,stateless
προσφυγοπούλας,refugee girl
πρόσφυγος,refugee
εκτοπισμένος,displaced
αλλοδαπός,alien
πολιτογραφημένος,naturalized
Αλλοδαπός,Alien
πρόσφυγα,refugee
προσφυγα,refugee
ξεριζωμένος,uprooted
μετανάστες,migrants
µετανάστης,immigrant
προσφύγων,refugee
συνοριοφύλακας,border guard
Μετανάστης,Immigrant
πρόσφυγες,refugees
μετανάστης,migrant
Λαθρομετανάστης,illegal immigrant
Πρόσφυγα,Refugee
ανιθαγενής,stateless
