keyword,deepl
Immigrée,Immigrant
Immigrants,Immigrants
senfuit,escaped
expulsé,expelled
égaré,misplaced
immigrée,immigrant
fugitif,fugitive
immigrés,immigrant
réfugier,refugee
émigrantes,emigrant
rescapé,survivor
imigrés,imigrants
refugiés,refugees
enfuie,fled
émigrante,emigrant
non-immigrant,non-immigrant
refuge,refuge
non-migrants,non-migrants
enfuirai,will run away
immigrants,immigrants
migrante,migrant
emigrant,emigrant
refugié,refugee
enfuies,runaways
réfugié-e-s,refugees
rapatrié,repatriated
limmigration,immigration
émigré,emigrated
émigration,emigration
migrants,migrants
enfuyais,escaped
réfugiées,refugees
enfuyant,fleeing
exilé,exiled
exil,exile
immigra,immigra
déserteur,deserter
émigrée,emigrated
immigre,immigrate
asile,asylum
immigré,immigrant
bi-nationale,bi-national
expatriée,expatriate
non-résidente,non-resident
refugiée,refugee
enfuit,fled
pluriculturelle,multicultural
enfuirent,fled
immigrantes,immigrant women
enfuirait,fled
persécuté,persecuted
inexpulsable,inexpulsible
enfuis,fled
ethnoculturelle,ethnocultural
primo-arrivant,newcomer
réfugié,refugee
exilés,exiled
évadé,escaped
musulmane,Muslim
émigrants,emigrants
emigrante,emigrant
retourné,returned
immigrer,immigrate
apatride,stateless
Réfugié,refugee
primo-migrants,first-time migrant
résident,resident
migrant,migrant
enfui,fled
enfuir,flee
enfuire,flee
résidente,resident
non-immigrants,non-immigrant
fui,fled
enfuient,fled
immigrante,immigrant
refugie,refugee
abandonné,abandoned
réfugiés,refugees
Immigré,Immigrant
immigratoire,immigrant
réfugiée,refugee
immigration,immigration
émigrant,emigrant
immigrées,immigrant
résidante,resident
étrangère,foreign
refugiées,refugees
fuit,fled
emigré,emigrant
sans-papier,undocumented
exilée,exiled
emigrants,emigrants
expatrié,expatriate
expulsable,deportable
Immigrant,Immigrant
immigrant,immigrant
enfuyaient,fled
enfuyait,fled
immigrationniste,immigrationist
fuyant,fleeing
réfugie,refugee
multiculturelle,multicultural
