keyword,deepl
Immigrants,Immigrants
frants,frants
Emigrantu,Emigrants
ārzemnieks,foreigner
Bēgļa,Refugee
ieceļotājs,Immigrant
imigrants,Immigrant
bēgļus,refugees
migrantes,migrant women
bēgļiem,refugees
emigranti,migrants
migrante,migrant
Bēglis,Refugee
iebraucējs,Immigrant
migrants,Migrant
Migranti,Migrants
imigranta,immigrant
imigrantes,Immigrant women
imigrantus,immigrants
bēgles,refugees
bēgļi,refugees
Bēgļi,Refugees
imigranti,Immigrants
viesstrādnieks,migrant worker
migrantam,migrant
imigrantu,immigrant
izceļotājs,emigrant
migrantus,migrants
imigrāc,immigrāc
bezvalstnieks,stateless
bēglis,refugee
migranta,migrant
Emigrants,Emigrant
imigrante,Immigrant
migrant,migrant
bēglim,refugee
Imigranti,Immigrants
bēgli,refugee
bēglēm,For refugees
bēgle,refugee
migranti,migrants
imigracijas,immigration
imigrantam,for immigrant
Imigrantus,Immigrants
bēglītis,refugee
nepilsonis,non-citizen
bēgļa,Refugee
Imigrantu,Immigrant
imigran,immigran
pilsonis,citizen
emigrants,emigrant
Immigrant,Immigrant
bēgliem,for refugees
immigrant,immigrant
Emigrant,Emigrant
imigrantiem,for immigrants
Migrants,Migrant
Imigrants,Immigrants
