keyword,deepl
reassentado,resettled
yazidi,yazidi
asilados,asilados
refugiar,refugee
emigração,emigration
Refugiado,Refugee
imigrados,immigrant
emigratório,emigration
deportada,deportee
refugiadas,refugee
asilada,asilada
imigracao,immigration
encarcerada,prisoner
imigratório,immigration
migrantes,migrants
ex-emigrante,ex-emigrant
refúgio,refuge
migrante,migrant
imigração,immigration
Imigração,Immigration
indocumentado,undocumented
expatriada,expatriate
deportado,deported
refugiada,refugee
fugitivo,fugitive
imigrantes,immigrant
emigrada,emigrated
estrangeiro,foreigner
refugiou,refugee
imigratórios,immigration
refugia,refugee
Imigrante,immigrant
imigracionista,immigracionist
Refugiados,Refugee
extraditada,extradited
forasteiro,outsider
imigrar,immigrate
emigrantes,emigrants
asilo,asylum
refugiados,refugees
imigrado,immigrant
imigracão,immigration
inmigrantes,inmigrants
emigrado,emigrated
imigrada,immigrant
emigrante,emigrant
desenraizada,rootless
imigrante,immigrant
imigrara,immigrated
expatriado,expatriate
imigrava,immigrated
imigra,immigrate
colono,settler
imigrando,immigrating
asilado,asilado
apátrida,stateless
Refugiadas,refugee
refugiado,refugee
imigrou,immigrated
imigrant,immigrant
imigrações,immigrations
imigratória,immigration
refugiando,refugee
imigrantista,immigrant
Refugiada,Refugee
ex-imigrante,ex-immigrant
repatriada,returnee
desalojada,displaced
marginalizada,marginalized
não-migrantes,non-migrant
refugiado-se,refugee-se
