keyword,deepl
pribeag,vagabond
refugiate,refugee
imigranţi,immigrants
refugiează,refugees
refugiată,refugee
refugiati,refugees
Refugiată,Refugee
Emigranta,Emigrant
Refugiat,Refugee
imigrat,immigrant
refugiatul,refugee
emigranti,migrants
migrante,migrant
emigrant,emigrant
emigranþi,migrant
Imigrantii,Immigrants
anti-imigranti,anti-immigrant
refugiaza,refugee
refugiaseră,refugees
imigranții,immigrants
Refugiatul,Refugee
Imigrant,Immigrant
refugiam,refugee
Imigrante,Immigrant
refugiata,refugee
azil,asylum
migrantul,migrant
refugiau,refugee
refugiatei,refugee
azilat,asylum
Imigranta,Immigrant
imigrant.,immigrant.
emigrantului,the immigrant
imigrantul,the immigrant
imigrantii,immigrants
emigrante,emigrant
émigrants,emigrants
refugiatului,refugee
imigrante,immigrant
migrant,migrant
imigranţii,immigrants
migrantului,migrant
reîntors,returned
Imigranti,Immigrants
refugiară,refugee
refugie,refugee
deportat,deported
imigranți,immigrants
refugieze,refuge
Imigrantului,Immigrant
migranti,migrants
Imigrantul,The immigrant
imigranţilor,immigrant
Migrant,Migrant
imigrant,immigrant
imigrantului,immigrant
emigrat,migrant
refugiase,refugee
întors,returned
imigran,immigran
refugiaþi,refugees
refugiază,refugee
emigrants,emigrants
Immigrant,Immigrant
emigrantă,emigrant
immigrant,immigrant
emigrantul,immigrant
imigrantă,immigrant
migrantă,migrant
Emigrant,Emigrant
azilant,asylum seeker
imigrantilor,immigrant
imigraţionist,immigrant
refugiatii,refugees
