0,google_translated
Immigrants,Immigrants
Bleiberecht,Right to stay
Flüchtlingsjunge,Refugee boy
Jude,Jew
eingewanderter,immigrant
Asylforderer,Asylum seekers
Flüchtlingsgegner,Refugee opponents
Asylsituation,Asylum situation
Asylbewerberin,Asylum seeker
Einwandererland,Immigration country
Asylbegehren,Asylum seekers
Zuflucht,refuge
Gastarbeiter,Guest workers
Sextourist,Sex tourist
Asylzentren,Asylum centers
Immigrantinnen,Immigrants
Wirtschaftsflüchtling,Economic refugee
Asylanten,Asylum seekers
Asylverfahren,Asylum procedure
Flüchtlingsschutz,Refugee protection
Asylbetrüger,Asylum fraudsters
Syrer,Syrians
Bürgerkriegsflüchtling,Civil war refugee
Flüchtlingsbetreuer,Refugee supervisor
Arbeitsmigrant,Migrant worker
Asylgrund,Reason for asylum
Asylberechtigter,Asylum seeker
Asylbewerber,Asylum seekers
immigrants,immigrants
Flüchtlingsstatus,Refugee status
Familiennachzug,Family reunification
Zuwanderer,immigrant
Flüchtlingsfamilie,Refugee family
Geflüchteter,Refugee
Schutzsuchender,Asylum seeker
Moslem,Muslim
Terrorist,terrorist
Flüchtlingsmädchen,Refugee girl
asyl,asylum
Flüchtlingsfrau,Refugee woman
Asylentscheid,Asylum decision
ProAsyl,ProAsyl
Einwanderin,Immigrant
Einwanderer,immigrant
Einwandererkind,Immigrant child
Asylwerber,Asylum seekers
Immigrantenfamilien,Immigrant families
Migrantin,Migrant
Asylgewährung,Granting of asylum
flüchtling,refugee
Flüchtlingsanerkennung,Refugee recognition
Abschiebungsschutz,Protection against deportation
Asylland,Asylum land
Geflüchteten,Refugees
Bootsflüchtling,Boat refugee
Migrantenkind,Migrant child
Asylpraxis,Asylum practice
Aufenthaltserlaubnis,residence permit
Asylsuchende,Asylum seekers
Asylangebot,Asylum offer
FlüchtlingeFlüchtlinge,RefugeesFugees
Flüchtlingshelfer,Refugee workers
Geflüchtete,Refugees
Migranten,Migrants
Fremdenwesen,Aliens
Asylzentrum,Asylum center
Immigration,immigration
Gastarbeiterkind,Guest worker child
Gastarbeiterkinder,Guest worker children
Flüchtling,refugee
Einwandererfamilie,Immigrant family
Tourist,tourist
Migrante,Migrants
Flüchtlings,Refugee
Asylmißbrauch,Asylum abuse
Immigrantin,immigrant
Asylbewerbers,Asylum seeker
Emigrants,Emigrants
Flüchtlingsgruppe,Refugee group
migrant,migrant
Kirchenasyl,Church asylum
Asylothek,Asylum library
Flüchtlingen,Refugees
Abschiebeschutz,Deportation protection
Kriegsflüchtling,War refugee
Asylantragstellung,Application for asylum
Flüchtlingskind,Refugee child
Asylsuchenden,Asylum seekers
Asylant,Asylum seeker
Immigranten,Immigrants
EinwanderInnen,Immigrants
Flüchtlingsjungen,Refugee boys
Fluchtgründen,Reasons to flee
Einwandererkinder,Immigrant children
AsylbewerberInnen,Asylum seekers
Asylbewerbern,Asylum seekers
Asylantragsteller,Asylum seekers
Asylanerkennung,Recognition of asylum
Immigrantenfamilie,Immigrant family
Flüchtlingshelferin,Refugee helper
Flüchtender,Fugitive
Migrant,Migrant
Asylrecht,Asylum law
Auswanderer,Emigrants
Muslim,Muslim
Zufluchtsland,Refuge
Einwanderers,Immigrant
Einwander,Immigrants
Einwanderinnen,Immigrants
ImmigrantInnen,Immigrants
Asylantrag,application for asylum
Flüchtlinge,refugees
Arbeitsimmigranten,Immigrant workers
Flüchtlingsbereich,Refugee area
Staatsbürger,citizen
Aufenthaltsrecht,Right of residence
Flüchtlingsrechte,Refugee rights
Schutzsuchende,Asylum seekers
Asylanspruch,Asylum claim
immigrant,Immigrant
Asylstatus,Asylum status
Emigrant,emigrant
Asylberechtigte,asylum family
Syrien-Flüchtlinge,Syria refugees
Ausländer,Foreigners
Asylgesuch,Asylum application
Flüchtlingsbegriff,Refugee term
Asyls,Asylum
Migrants,Migrants
Asylsuchender,Asylum seeker
Kriegsflüchtlinge,War refugees
Imigranten,Immigrants
