0,google_translated
παραβατικός,delinquent
μεσοαστός,middle-aged
λαθρομετανάστη,illegal immigrant
Κούρδος,Kurd
Αφγανός,Afghan
εκπατρισμένος,expatriate
ελληναράς,Greek
λαθρομετανάστης,illegal immigrant
πρόσφυγας,refugee
Μετανάστρια,Immigrant
μετανάστεψε,emigrated
αλβανός,Albanian
ξενιτεμένος,expatriate
προσφυγοπούλα,refugee girl
τουρίστας,tourist
ξένος,foreign
Μπαγκλαντεσιανός,Bangladeshi
Παλαιστίνιος,Palestinian
προσφυγομάνα,refugee
Σαχραουί,Σαχραουί
προσφυγόπουλο,refugee
λαθρομετανάστρια,illegal immigrant
υπήκοος,national
ρατσιστής,racist
μετανάστρια,immigrant
έποικος,settler
μεταναστης,migrant
μουσουλμάνος,Muslim
Σύριος,Syrian
μετανάστις,immigrant
προσφυγας,refugee
μεταναστευτικός,migratory
προσφυγάκι,refugee
πρόσφυξ,refugee
μετανάστη,immigrant
πρόσφυγες-μετανάστες,refugees immigrants
μετανάστριας,immigrant
πρόσφυγες-,refugees-
Πρόσφυγας,Refugee
αφγανός,Afghan
άπατρις,stateless
προσφυγοπούλας,refugee
πρόσφυγος,refugee
Ρατσιστής,Racist
Πακιστανός,Pakistani
σύριος,Syrian
διωγμένος,persecuted
εκτοπισμένος,displaced
άστεγος,homeless
κούρδος,Kurd
ασυνόδευτος,unaccompanied
αλλοδαπός,foreign
πακιστανός,Pakistani
πολιτογραφημένος,naturalized
Αλλοδαπός,Foreign
πρόσφυγα,refugee
βιοπαλαιστής,breadwinner
διωκόμενος,persecuted
προσφυγα,refugee
ξεριζωμένος,uprooted
μετανάστες,Immigrants
δουλέμπορος,slaver
εργαζόμενος,employee
µετανάστης,Immigrant
λαθρεπιβάτης,stowaway
κατατρεγμένος,persecuted
λαθραίος,stealthy
αντιρατσιστής,anti-racist
προσφύγων,refugees
μεροκαματιάρης,jobber
συνοριοφύλακας,border guard
Σουδανός,Sudan
Μετανάστης,Migrant
πρόσφυγες,refugees
μετανάστης,migrant
Λαθρομετανάστης,Illegal immigrant
Πρόσφυγα,Refugee
ανιθαγενής,stateless
