0,google_translated
Sõjapõgenik,War refugee
pagulaspere,refugee family
pagulastel,refugees
pagulasühiskonnas,in a refugee society
uusasukatel,settlers
pagulasproosa,refugee prose
Asunik,Settler
uusasunikke,new settlers
pagulaskonnas,in the refugee community
kõrbeelanik,desert dweller
sisepagulane,internally displaced person
põgenikekriisist,refugee crisis
põgenikel,refugees
põgenikega,refugees
põgenikuga,refugee
piirkonnakohtunik,district judge
põgenikuteele,escape route
uusasundus,new settlement
pagulasel,refugees
pagulastele,refugees
Nunik,Nunik
põgenikelaine,a wave of refugees
põgeniknaist,a refugee woman
asunik,settler
turismitalunik,tourist farmer
uusasukaid,settlers
põgenikesse,refugees
uusasustused,new settlements
renditalunik,rental farmer
uusasum,new settlement
maanöunik,country man
uusasunikele,for new settlers
pagulaselu,refugee life
pagulaseesti,Estonian refugees
põgeniklast,refugee
unik,unique
uusasundused,new settlements
pagulas-,refugee
põgen,I'm running away
pagulaseks,as a refugee
põgenikevood,refugee flows
pagulase,refugee
pagulane,refugee
uusasustuse,new settlement
hariahven,perch
põgenikena,as refugees
pagulast,refugee
Syunik,Syunik
Tipparst,Tipparst
pagulaslaagris,refugee camp
wc-st,from the toilet
pagulaspoliitik,refugee policy
pagulaseaja,exile
põgenikevoo,refugee flows
uusasumit,new housing
põgeniketulva,refugee flood
põgenikul,refugee
pagulasstaatus,refugee status
pagulasele,refugees
Põgenik,A refugee
pagulas,refugees
pagulaskirjandu,refugee literature
poliitpagulane,political refugee
sõjaväeadvokaat,military lawyer
põgenikust,refugee
sõjapõgenikuga,with a war refugee
pagulasi,refugees
uusasustamine,resettlement
pagulasabi,refugees
paadipõgenik,boat runaway
põgenikekvoodi,refugee quota
pagulaseestlasi,Estonian refugees
põgenik,a refugee
põgenikud,refugees
tipparhitekt,top architect
Pagulane,Refugee
sõjapõgenik,war refugee
filminõunik,film counselor
saunik,sauna
pagulased,refugees
paunik,paunik
suurtalunik,great farmer
pagulaslastele,refugees
Põgenikeprobleem,The refugee problem
põgeniketulv,refugee flooding
uusasukad,settlers
põgenikule,to the refugee
põgenikevool,refugee flow
pagulasorganisatsioon,refugee organization
pagulaste,refugees
pagulasteema,refugee theme
pagulaskuningas,the king of refugees
pagulaslaste,refugees
Uusasunikud,New settlers
pagulastest,refugees
uusasunike,new settlers
uusasunikud,new settlers
sõjapõgeniku,war refugee
migrant,migrant
põgeniklapsi,refugee children
põgenikke,refugees
pagulaskirjanik,refugee writer
põgenikelt,refugees
põgenikekriisi,refugee crisis
põgenik-eestlasi,Estonian refugees
seksoloog,sexologist
uusasula,new settlement
põgenikuna,as a refugee
pagulasprogramm,refugee program
uusasunikest,new settlers
põgeniklaste,refugees
uusasundusi,new settlements
uusasumid,new settlements
nounik,nounik
pagulaskvoot,refugee quota
pagulasperes,refugee family
rohumaa-agronoom,grassland agronomist
põgenikeprobleemi,the refugee problem
põgenikeagentuur,refugee agency
linnalihunik,butcher
põgenikku,refugee
uusasukatest,settlers
põgenikepoliitika,refugee policy
põgenikekriis,refugee crisis
uusasunikule,to a new settler
põgenikest,refugees
pagulasena,refugees
põgenikekriisis,refugee crisis
pagulus,refugees
põgeniklapsed,refugee children
linnelanik,city dweller
põgenikele,refugees
pagulaspaanika,refugee panic
krookuspruunik,crocus brown
pagulasvalitsus,refugee government
põgenike,refugees
kiriahven,perch
pagulasest,refugee
põgeniku,refugee
uusasumis,in a new home
sõjapõgenikku,war refugee
pagulasnaine,refugee woman
merezooloog,merezoolog
pagulasperet,refugee family
pagulasamet,refugee office
pagulaskriis,refugee crisis
uusasukaga,with a new settler
Õnnepagulane,A happy refugee
pagulasküsimus,the refugee issue
