0,google_translated
Kiintiöpakolainen,Quota refugee
irakilaissyntyinen,Iraqi-born
turvapaikka,asylum
maahanmuuttajia,immigrants
paluumuuttaja,returnee
maahanmuuttaja,immigrant
pakolais,refugees
pakolainen,refugee
maahanmuuttajien,immigrants
maahantulija,immigrant
maahanmuuttajista,immigrants
ulkomaalaissyntyinen,foreign-born
maahanmuuttajalapset,immigrant children
humanitaarinen,humanitarian
Syyrialainen,Syrian
kotoutus,integration
pakolaistilanne,refugee situation
pakolaisuudessa,refugees
somalialaissyntyinen,Somali-born
maahanmuuttajan,immigrant
turvapaikanhakijana,as an asylum seeker
maahanmuuttajille,for immigrants
pakolaisuus,refugee
pakolaissopimus,refugee agreement
somalityttö,somali girl
maahanmuuttajanainen,immigrant woman
ulkomaalainen,alien
syyrialainen,Syrian
EU-kansalainen,EU citizen
Afganistanilainen,Afghan
pakolaispolitiikka,refugee policy
ulkomaalaistaustainen,foreign background
palestiinalainen,Palestinian
somalisyntyinen,Somali-born
maahanmuuttajanuorille,for immigrant youth
Irakilainen,Iraqi
maahanmuuttajanuoret,immigrant youth
siirtolainen,immigrant
romanitaustainen,Roma background
maanpakolainen,refugee
afganistanilainen,Afghan
maahanmuuttajatyö,immigrant work
turvapaikanhakija,asylum seeker
maahanmuuttajaryhmä,immigrant group
maahanmuuttajat,immigrants
Pakolainen,Refugee
maahanmuuttajana,as an immigrant
kiintiöpakolainen,quota refugee
elintasopakolainen,living refugee
Maahanmuuttaja,Immigrant
maahanmuuttajataustainen,immigrant background
pakolaiseksi,as a refugee
maahanmuuttajaväestö,immigrant population
mokuttaja,educator
pakolaistulva,refugee flood
maahanmuuttajaperhe,immigrant family
maahanmuuttajuus,immigration
pakolaisjärjestö,refugee organization
pakolaisasema,refugee status
pakolaiskysymys,the refugee issue
Turvapaikanhakija,Asylum seeker
Maahanmuuttajataustainen,Immigrant background
pakolaisen,refugee
monikulttuuri,multiculturalism
maahanmuuttajalla,with an immigrant
pakolaistoimisto,refugee office
somalitaustainen,Somali background
irakilainen,Iraqi
maahanmuuttajanuoria,immigrant youth
mamu,mamu
pakolaiskeskus,refugee center
maahanmuuttajalle,to the immigrant
somali,Somali
Maanpakolainen,Refugee
ulkosuomalainen,expatriate Finn
maahanmuutto,immigration
kantasuomalainen,native Finn
pakolaisstatuksen,refugee status
pakolaisuuden,refugee status
kotoutuminen,integration
maastamuuttaja,emigrant
maahanmuuttajaa,immigrants
monikulttuurinen,multicultural
pakolaisryhmä,refugee group
maahanmuuttajaksi,as an immigrant
maahanmuuttajasta,about the immigrant
pakolaisstatus,refugee status
pakolaisperhe,refugee family
pakolaisnainen,a refugee woman
