0,google_translated
Immigrée,Immigrant
emparé,grabbed
Immigrants,Immigrants
senfuit,runs away
expulsé,forced out
égaré,lost
immigrée,immigrant
fugitif,fugitive
entrepreneur,contractor
immigrés,immigrants
ressortissante,national
réfugier,refuge
kidnappé,kidnapped
touriste,tourist
émigrantes,emigrants
rescapé,survivor
faufilé,sneaked
emmené,taken away
imigrés,imigrants
refugiés,refugees
enseignante,teacher
volatilisé,volatilized
enfuie,run away
émigrante,emigrant
Québecoise,Quebecoise
non-immigrant,non-immigrant
enfuira,will run away
racisée,racialized
capturé,capture
métis,metis
refuge,refuge
indo-canadienne,indo-canadian
non-migrants,non-migrants
tué,kill
enfuirai,run away
immigrants,immigrants
migrante,migrant
emigrant,emigrant
refugié,refugee
enfuies,run away
réfugié-e-s,refugees
incarcéré,incarcerated
rapatrié,repatriated
Juif,Jewish
terrorisé,terrified
limmigration,immigration
néo-Canadiens,new canadians
anglo-québécoise,Anglo-Quebecois
émigré,emigrated
émigration,emigration
afro-américaine,Afro-American
migrants,migrants
enfuyais,fled
interné,internal
réfugiées,refugees
enfuyant,fleeing
assommé,stunned
exilé,exile
exil,exile
immigra,immigrated
déserteur,deserter
émigrée,emigrated
chômeur,unemployed person
juif,Jewish
immigre,immigrant
asile,asylum
immigré,immigrant
bi-nationale,bi-national
expatriée,expatriate
non-résidente,non-resident
enfermé,shut in
pourchassé,chased
refugiée,refugee
effrayé,scared
retrouvé,found
enfuit,run away
pluriculturelle,multicultural
enfuirent,fled
suicidé,suicide
Québécoise,Quebecer
immigrantes,immigrant women
enfuirait,would run away
persécuté,persecuted
inexpulsable,inexpulsable
enfuis,run away
ethnoculturelle,ethnocultural
primo-arrivant,newcomer
réfugié,refugee
exilés,exiles
évadé,escaped
musulmane,muslim
émigrants,emigrants
emigrante,emigrant
retourné,return
immigrer,immigrate
apatride,stateless
Réfugié,Refugee
primo-migrants,first-time migrants
travailleur,worker
résident,resident
migrant,migrant
enfui,fled
enfuir,escape
enfuire,run away
évanoui,fainted
exfiltré,exfiltrated
relâché,released
résidente,resident
non-immigrants,non-immigrants
fui,fled
enfuient,run away
terrifié,terrified
immigrante,immigrant
refugie,refugee
Afro-américaine,Afro-American
abandonné,abandoned
dérobé,stolen
autochtone,native
réfugiés,refugees
Immigré,Immigrant
chassé,hunt
immigratoire,immigrant
afro-maghrébine,Afro-Maghrebian
abattu,beaten down
réfugiée,refugee
immigration,immigration
émigrant,emigrant
non-blanche,non-white
immigrées,immigrant
résidante,resident
volé,Fly
juive,jewish
étrangère,foreign
refugiées,refugees
fuit,flees
ressortissant,national
prisonnier,prisoner
emigré,emigrated
sans-papier,without paper
exilée,exiled
emigrants,emigrants
expatrié,expatriate
envolé,flew
expulsable,deportable
dimmigrants,immigrants
Immigrant,Immigrant
immigrant,immigrant
immigrant-e-s,immigrants
enfuyaient,fled
enfuyait,was running away
immigrationniste,immigrationist
fuyant,fleeing
non-musulmane,non-muslim
réfugie,refugee
multiculturelle,multicultural
emprisonné,imprisoned
assassiné,murdered
