0,google_translated
scolarizzato,schooled
tunisino,Tunisian
immigrati,immigrants
Profuga,Refugee
marocchino,Moroccan
rimpatriato,repatriated
deporta,deport
rifugiatosi,took refuge
nomade,nomadic
pellegrina,pilgrim
immigrazionista,immigrationist
operaia,factory Girl
tassista,taxi driver
sfollato,displaced
Emigrato,Emigrated
disoccupato,unemployed
ﬁglia,daughter
popolazione,population
Limmigrazione,Migration
immigrato,immigrant
espatriato,expatriate
extra-comunitaria,extra-community
zingarella,gypsy
adottiva,adoptive
clochard,clochard
clandestino,clandestine
ebrea,Jewish
anziana,elderly
musulmana,Muslim
immigrate,immigrants
italo-australiana,Italian-Australian
rimpatria,repatriation
emigranti,emigrants
migrante,migrant
clandestina,clandestine
profughe,refugees
immigrazioni,immigrations
indigente,destitute
Emigrata,Emigrated
ragazza-madre,single mother
delinque,delinque
profugopoli,refugee cities
emigrato,emigrated
forestiera,stranger
scappata,escaped
donna,woman
poliziotto,police officer
rifugiatasi,took refuge
magrebino,Maghrebi
rifugiato,refugee
soldato,soldier
emigratoria,emigration
marocchina,Moroccan
sfollata,displaced
zingara,gypsy
immigra,immigrates
rimpatrio,repatriation
delinquente,delinquent
Profugo,Refugee
immigranti,immigrants
emigrata,emigrated
zingaro,gypsy
deportato,deported
fuggito,fled
immigratoria,immigration
emigra,emigrates
sottopagata,underpaid
rifiugiato,refused
extracomunitarie,non-EU citizens
operaio,worker
asilo,asylum
mussulmana,Muslim
kossovaro,Kosovar
controfuga,counter-flight
immigratorie,immigration
Profughi,Refugees
profughi.,refugees.
deportata,deported
extracomunitario,non-EU citizen
ex-prigioniero,ex-prisoner
circassa,Circassian
emigrante,emigrant
profugo,refugee
Migrante,Migrant
immigrazione,immigration
limmigrazione,immigration
esule,exile
vedova,widow
terrorista,terrorist
lavoratrice,worker
madre,mother
Extracomunitario,Non-EU citizen
musulmano,Mussulman
Immigrati,Immigrants
fuggiasca,fugitive
dellimmigrazione,of immigration
immigrante,immigrant
disertore,deserter
profughi,refugees
straniera,foreign
figlia,daughter
Rifugiato,Refugee
emigrate,emigrate
straniero,foreign
romena,Romanian
emigrati,emigrants
espatriata,expatriate
extracomunitaria,non-EU
fuggiasco,fugitive
carcerato,inmate
fuggita,fled
scafista,smuggler
extracomunitari,non-EU citizens
disoccupata,unemployed
Immigrato,Immigrant
emigrazione,emigration
migranti,migrants
bambina,girl
Immigrata,Immigrant
maghrebino,Maghrebi
ragaza,girl
immigrare,immigrate
immigrata,immigrant
rifugiata,refugee
sfolla,it displaces
gitana,gypsy
italo-americano,Italian-American
idrofuga,hydrophobic
profugato,refugee
scolarizzata,schooled
rifugiati,refugees
ragazza,lass
sfollati,displaced
ebreo,Jew
immigrant,immigrant
extra-comunitario,extra-community
violentatore,rapist
apolide,stateless person
Ebrea,Jewish
lavoratore,worker
forestiero,stranger
magrebina,Maghrebi
profuga,refugee
