0,google_translated
žmogutis,man
Meyeris,Meyer
Šeižys-Dagilėlis,Šeižys-Dagilėlis
ateiviams,for aliens
ateiviui,to an alien
peruietis,Peruvian
jordanietis,Jordanian
tamsuolis,dark
ūžuolėlis,weevil
imigrantas,immigrant
arabistas,arabists
paveikslėlis2,Figure 2
Nanikivis,Nanikivis
pirmnininkas,superior
Givis,Givis
asilėlis,donkey
Nešulėlis,Carrier
Kupolėlis,Dome
imigrantės,immigrant women
Ateivis,An alien
irakietis,Iraqi
emigrantu,emigrants
Gabalėlis,A piece
mėnuleigis,moonlight
vakarietis,westerner
Emigrantas,Emigrant
pakistanietis,Pakistani
perbėgėlis,runaway
padaras,creature
priekalėlis,anvil
imigrantui,immigrants
pabėgėliais,refugees
Disidentas,Dissident
Kavolėlis,Kavolėlis
alžyrietis,Algerian
pabėgėlio,refugee
imigrantams,immigrants
pasaulėlis,the world
Skambalėlis,Ringtone
rodezietis,Rhodesian
tunisietis,Tunisian
Bilalas,Bilalas
Povilėlis,Povilėlis
Eliezeris,Eliezer
augalėlis,vegetable
ateiv,alien
Rydikas,Rydikas
musulmonas,Muslim
demografas,demographers
Pabėgėlis,Refugee
Hrantas,Hrantas
Greivis,Gravey
imigrantais,immigrants
Ateivių,Aliens
Atskilėlis,Separator
angelėlis,angel
ateivį,an alien
atklys,atonement
afganas,Afghan
Hofmanas-Ateivis,Hoffman-Alien
kepalėlis,loaf
ateivius,aliens
darbininkai-imigrantai,immigrant workers
kryžeivis,crusader
žmogėnas,man
atėjūnas,comer
pabėgelis,refugee
pabėgėlei,for a refugee
gyvūlėlis,animal
pabėgėlis,refugee
sugrįžėlis,returnee
berniukas,boy
persikėlėlio,relocator
ateivė,alien
Grundalėlis,Grundalėlis
imigrantą,immigrant
Ratilėlis,Wheel
etis,etis
imigrantė,immigrant
Katilėlis,Cauldron
stebuklėlis,miracle
ateivius1Age,aliens1Age
žmogiukas,man
declivis,declivis
grantas,grants
gumulėlis,clump
imigrantus,immigrants
atsikėlėlis,resurrector
žvaigždėlaivis,starship
Ateiviai,Aliens
veikalėlis,potty
OR-2oreivis,OR-2oreivis
valstybė-pilietis,state-citizen
keistuolis,freak
Mirabalėlis,Mirabalell
Pabėgėlio,Refugee
pabėgėlė,refugee
žmogus-kiborgas,the cyborg man
turkas,turkish
Užsienietis,A foreigner
palestinietis,Palestinian
jorkširietis,Yorkshire
imigrantu,immigrants
pabėgėliui,for a refugee
užsienietis,foreigner
pabėgėliu,refugee
ąžuolėlis,oak
imigranto,immigrant
žmogus,man
pabėgėliai,refugees
kubilėlis,hot tub
berlynietis,Berliner
sudanietis,Sudanese
gniužulėlis,fluff
Asilėlis,Donkey
ufonautas,ufonautas
sukilėlis,rebel
atvykėlis,newcomer
dokumentalistas,documentary filmmakers
rutulėlis,ball
girtuoklėlis,drinker
Obuolėlis,Apple
protestantas,Protestant
Meivis,Meivis
Davilėlis,Davilėlis
Vācietis,German
homoseksualistas,homosexual
gyvulėlis,animal
pabėgėlę,refugees
iranietis,Iranian
Haskis,Haskis
-clay,-clay
pabėgėlės,refugees
ateiviais,aliens
emigrantas,emigrant
ateivio,alien
ateiviu,aliens
ateiviai,aliens
migrantas,migrant
prašytojas,applicant
afganistanietis,Afghan
branduolėlis,kernel
Bonhofferis,Bonhofferis
Kryžeivis,Crusader
gabėlėlis,a bowl
bendrakeleivis,fellow passenger
obuolėlis,apple
dobilėlis,clover
imigrantai,immigrants
Imigrantas,Immigrant
Įžūlėlis,Bold
Sionistas,Zionists
libanietis,Lebanese
persikėlėlė,moved
marokietis,Moroccan
ateivių,aliens
marsietis,Martian
pabėgėlį,refugee
pabėgėlių,refugees
ūreivis,sailor
imigranttų,immigrants
įeivis,immigrant
Tabalėlis,Table
sirakūzietis,Syracuse
imigrantų,immigrants
izraelietis,Israeli
paminklėlis,monument
pabėgelio,refugee
islamistas,Islamists
europiečiai-imigrantai,European immigrants
ateivius1Sek,aliens1Sec
ateivius1Mushroom,aliens1Mushroom
išeivis,emigrant
Mirabelėlis,Mirabel
trantas,trantas
Žibilėlis,Flashlight
pirmeivis,forerunner
persikėlėi,moved
kolonistas,colonists
imigravęs,immigrant
Angelėlis,Angel
Imigrantai,Immigrants
Migrantas,Migrant
pakeleivis,passenger
tėvynainis,compatriot
nigerietis,Nigerian
