0,google_translated
statushouder,status holder
Ieperling,Ypres
vluchtelingenbeleid,refugee policy
contreien,regions
oorlogsvluchteling,war refugee
wereldwijze,worldly
Vluchteling,Refugee
toevalling,coincidence
migrantenstroom,migrant flow
vluchtelingenopvang,refugee shelter
vluchtelingetje,refugee
eeuwling,centenarian
moederlijkheid,motherhood
vluchtelingenkind,refugee child
vluchtelingkinderen,refugee children
kettingmigratie,chain migration
taalevolutie,language evolution
lentegodin,spring goddess
taaldood,language death
kontreien,butts
klimaatvluchteling,climate refugee
uitwijkeling,evasion
taalijveraar,language enthusiast
staatlozen,stateless persons
snoever,swagger
vluchtelinge,refugee
inwijk,move in
begeestering,enthusiasm
wereldwandelaar,world walker
vluchtelingenkamp,refugee camp
asiel,asylum
boekenjood,book jew
daarstelling,statement
gelukzoeker,fortune hunter
vluchtelingenvrouwen,refugee women
migrantengemeenschap,migrant community
asielzoekende,asylum seeker
zegswijze,saying
predikheer,preacher
niet-Fransman,non-frenchman
boekentaal,book language
primitieveling,primitive
vluchtelingen.,refugees.
vluchtelingensituatie,refugee situation
migranten,migrants
vluchtelingenboot,refugee boat
vluchtelingschap,refugee
vluchtelingenstatus,refugee status
handelaarster,merchant
ingeweken,soaked
vluchtelingenpaspoort,refugee passport
studentenaangelegenheden,student affairs
verbrusseling,brussels
Oost-Vlaming,East Flemish
migrant,migrant
vluchtelingengroep,refugee group
inwijkelingen,immigrants
asielzoekers,asylum seekers
vreemdeling,stranger
taalhouding,language attitude
onversaagdheid,intrepidity
inwijking,evasion
eigenaaren,owners
vluchtelingenverdrag,refugee treaty
asielzoeksters,asylum seekers
bootvluchteling,boat refugee
uitwijkelingen,evictions
taalinvloeden,language influences
Vlaming,Flemish
Vluchtelingen,Refugees
verblijfsvergunning,residence permit
vluchtelingenrecht,refugee law
gelukszoeker,fortune seeker
vluchtelingen-,refugees-
halfoogst,half harvest
vluchtelingstatus,refugee status
vluchtelingencentrum,refugee center
kostganger,boarder
Brusselaar,Brussels resident
koppigaard,stubborn
vluchtelingen,refugees
vluchtelingenorganisatie,refugee organization
moslimmigranten,muslim migrants
oorlogsvluchtelingen,war refugees
bierhandelaar,beer merchant
verkoopstertje,sales lady
vluchtelingenwerk,refugee work
taalminnaars,language lovers
asielmigranten,asylum migrants
pagadder,pagadder
immigrant,immigrant
asielaanvraag,asylum application
federalisatie,federalization
verzustering,twinning
asielzoekster,asylum seeker
arbeidsmigrant,labor migrant
asielzoeker,asylum seeker
Asielzoeker,Asylum seeker
vlaming,flaming
jongeman,young man
