0,google_translated
reassentado,resettled
fugitiva,fugitive
yazidi,Yazidi
asilados,asylum
exilada,exile
exilado,exiled
refugiar,take refuge
subnutrida,malnourished
evadido,evaded
emigração,emigration
orfã,orphan
Refugiado,Refugee
imigrados,immigrants
abrigo,shelter
emigratório,emigratory
deportada,deported
refugiadas,refugees
palestiniana,Palestinian
asilada,asylum
imigracao,immigration
acolhido,welcomed
encarcerada,imprisoned
imigratório,immigration
turista,tourist
migrantes,migrants
ex-emigrante,ex-immigrant
prisioneira,prisoner
refúgio,refuge
Exilada,exile
migrante,migrant
imigração,immigration
reclusa,recluse
ruandesa,rwandan
desterrada,outcast
Imigração,Immigration
desabrigado,homeless
indocumentado,undocumented
afegã,afghan
expatriada,expatriate
imigrantes.O,immigrants.O
somaliana,Somali
deportado,deported
refugiada,refugee
fugitivo,fugitive
judeu,Jewish
adotiva,adoptive
prisioneiro,prisoner
imigrantes,immigrants
emigrada,emigrant
estrangeiro,foreign
fugido,run away
refugiou,refugee
imigratórios,immigration
refugia,refuge
Imigrante,Immigrant
imigracionista,immigrationist
ítalo-descendente,Italian descendant
Refugiados,Refugees
muçulmana,Muslim
mulçumana,Muslim
desertora,deserter
ex-preso,ex-prisoner
extraditada,extradited
forasteiro,outsider
imigrar,immigrate
judia,jewish
auto-exilado,self-exile
autoexilado,self-exiled
emigrantes,emigrants
asilo,asylum
surda-muda,deaf mute
refugiados,refugees
imigrado,immigrant
ex-prisioneiro,ex-prisoner
imigracão,immigration
inmigrantes,immigrants
emigrado,émigré
bem-nascida,well born
imigrada,immigrant
sírio,Syrian
emigrante,emigrant
bi-racial,bi-racial
desenraizada,uprooted
encarcerado,imprisoned
imigrante,immigrant
imigrara,immigrated
mestiço,mixed race
expatriado,expatriate
homiziado,murdered
presidiária,inmate
imigrava,immigrated
imigra,immigrate
colono,settler
imigrando,immigrating
refugiados.,refugees.
imigrantes.,immigrants.
asilado,asylum
recém-nascida,newborn
beduína,bedouin
apátrida,stateless
desalojado,homeless
Refugiadas,Refugees
órfã,orphan
refugiado,refugee
imigrou,immigrated
imigrant,immigrant
imigrações,immigrations
imigratória,immigration
humanitária,humanitarian
refugiando,taking refuge
imigrantista,immigrant
recluso,recluse
Refugiada,refugee
ex-prisioneira,ex-prisoner
intercambista,exchange student
não-imigrante,non-immigrant
ex-imigrante,ex-immigrant
ex-muçulmana,ex-muslim
síria,Syria
repatriada,returnee
palestiniano,Palestinian
ex-muçulmano,ex-muslim
desalojada,homeless
marginalizada,marginalized
não-migrantes,non-migrants
desabrigada,homeless
traficada,trafficked
refugiado-se,refugee
desempregado,Unemployed
