0,google_translated
Lómljenka,Broken
begunskih,refugees
zaljubljenka,lover
izseljeniški,emigrant
begunjskem,refugee
begunjskega,refugee
ugrabljenka,kidnapped
priseljenih,immigrants
Gojenka,Gojenka
sposójenka,loan
beguncev,refugees
begunk,refugee
Utopljenka,Drowned
Aljenka,Aljenka
priseljevala,immigrated
priseljenke,immigrant women
begunka,fugitive
priseljenski,immigrant
beguni,beguni
izseljen,evicted
razvajenka,spoiled
priseljenci,immigrants
priseljeno,immigrant
priseljeneca,immigrants
begunjski,refugee
priseljen,immigrant
priseljenemu,immigrant
priseljevenje,immigration
azilanti,asylum seekers
begunska,refugee
beguncema,refugees
Smiljenka,Smiljenka
izseljena,evicted
begunstvuRazglednica,refuge Postcard
begun,beg
spreobnjenec,convert
izseljenki,emigrants
Oljenka,Oljenka
priseljenka,immigrant
beguncih,refugees
Lomljenka,Broken
priseljenci.Med,immigrants.Med
begunjske,refugees
beguina,beguina
begunsko,refugee
priseljence,immigrants
begujice,fugitives
migrantka,migrant
begunstvom,refugee
priseljenki,immigrant women
Lepljenka,Glue
emigrantski,emigrant
begunstva,refugees
amerikanec-izseljenec,an American emigrant
talec,hostage
begunc,fugitive
begunskem,refugee
taboriščnik,camper
ljubljenka,pet
begunko,refugee
begunstvu,refugees
zlepljenka,zlepljenka
naseljenec,settler
priseljevanja-imigracije,immigration-immigration
begunske,refugees
Slavljenka,Celebrating
begunce,refugees
priseljuje,immigrants
priseljenega,immigrant
Izseljenec,An emigrant
priseljenk,immigrant
begunec,refugee
interniranec,internee
priseljene,immigrants
begunci,refugees
izseljenka,emigrant
priseljenim,immigrants
Begunec,Refugee
priseljenca,immigrants
Preseljenka,Migrant
priseljevanje,immigration
izseljeni,evicted
begunstvo,refuge
begunskega,refugee
begunjska,refugee
priseljencem,immigrants
begunov,runners
begune,begune
begunskemu,to the refugee
begunstvuZgodba,refugee story
prisel,immigrant
begunjskih,refugees
begunsko-migrantske,refugee-migrant
priseljnce,immigrants
upokojenka,retired
Kupljenka,Buyer
begunski,refugee
priseljensko,immigrant
pribežnik,refugee
izseljenec,emigrant
beguncu,refugee
priseljenko,immigrant
izgnanec,exile
priseljenskem,immigrant
izseljnenski,emigrant
beguncem-,refugee
ujetnik,prisoner
priseljeni,immigrants
priseljencev,immigrants
priseljevenja,immigration
priseljena,immigrant
drugorojenka,second child
Sjenka,Shadow
priseljencu,immigrant
priseljenkami,immigrant women
imigrant,immigrant
priseljencih,immigrants
Priseljeni,Immigrants
izseljenega,evicted
Priseljenec,Immigrant
ilegalka,illegal
izseljeneci,emigrants
Priseljenka,Immigrant
begunca,fugitive
priseljencema,immigrants
rejenka,rejenka
priseljenstvu,immigration
priseljenec,immigrant
begunke,refugees
Begunka,Runner
beguncem,refugees
izvoljenka,elect
prebežnik,a refugee
priseljenstva,immigration
priseljenimi,immigrants
ljudovlada,people's government
priseljenskega,immigrant
