0,google_translated
Immigrants,Immigrants
emigranter,emigrants
nyinvandrade,new immigrants
somalier,Somalis
svenskättling,Swedish descendant
svenskättad,Swedish-born
invandrar,immigrant
invandrarförfattare,immigrant author
immigrationen,immigration
invandrade,immigrants
invandrarföretagare,immigrant entrepreneurs
flyktingens,the refugee's
utvandrad,emigrated
utvandrarland,country of emigration
invandrat,immigrated
utvandrat,emigrated
flyktingstatus,refugee status
kvotflykting,quota refugee
invandrarkillar,immigrant boys
immigrera,immigrate
nyanländ,newly arrived
invandrarmän,immigrant men
flyktingdebatten,the refugee debate
internflykting,internally displaced person
asylinvandrare,asylum seekers
immigrationslag,immigration law
flyktingars,refugees
invandrande,immigrant
flyktinginvandrare,refugee immigrants
invandrarbakgrund,immigrant background
flyktingpojke,refugee boy
emigration,emigration
flyktingarna,the refugees
flyktingströmmar,refugee flows
invandare,immigrants
invandrargrupp,immigrant group
immigrationspolitik,immigration policy
asylinvandring,asylum immigration
invandraren,the immigrant
immigrants,immigrants
invandrarföräldrar,immigrant parents
immigrans,immigrants
invandrargrupper,immigrant groups
immigrationsverket,the Swedish Immigration Service
immigrerad,immigrated
emigrant,emigrant
kärleksinvandrare,love immigrants
Asylflykting,Asylum refugee
landsflykting,refugee
Immigranter,Immigrants
immigrerat,immigrated
invandrartjejer,immigrant girls
flykting-,refugee-
flyktingärenden,refugee issues
invandrarkille,immigrant boy
asyl,asylum
emigrant-,emigrant
migrants,migrants
immigrations,immigrations
flyktingkvot,refugee quota
flyktings,refugees
massimmigration,mass immigration
statslös,stateless
EU-migrant,EU migrant
asylsökande,asylum seekers
asylsökare,asylum seekers
invandrargruppers,immigrant groups
invandrargrupperna,immigrant groups
immigranten,immigrants
flyktingström,refugee flow
Invandrare,Immigrant
anhöriginvandrare,relative immigrants
immigrationsmyndigheten,immigration authority
paired,paired
invandrarna,the immigrants
migranten,migrants
krigsflykting,war refugee
invandrarpojkar,immigrant boys
flyktingbarn,refugee children
krigsflyktingar,war refugees
invandrarbefolkning,immigrant population
invandrarfamiljer,immigrant families
arbetskraftsinvandrare,labor migrants
flyktinginvandring,refugee immigration
invandra,immigrate
flykting,refugee
flyktingpaus,refugee break
nyanlända,newly arrived
flyktingen,the refugee
invandrargruppen,the immigrant group
invandrarkillen,the immigrant guy
invandrarområden,immigrant areas
immigrantgrupper,immigrant groups
migrant,migrant
invandrarfamilj,immigrant family
flyktingfamilj,refugee family
immigrerande,immigrant
invandrare.,immigrant.
immigranters,immigrants
nysvenskar,new Swedes
arbetskraftinvandrare,labor migrants
flyktingsmugglarna,the refugee smugglers
utvandrare,emigrant
flyktingsmugglare,refugee smugglers
emigranten,emigrants
invandrarkulturer,immigrant cultures
Flyktingskap,Refugee cabinets
invandrad,immigrant
invandrarbefolkningen,the immigrant population
Immigranterna,The immigrants
flyktingvåg,refugee wave
immigration,immigration
invandrararbetare,immigrant workers
Migrant,Migrant
immigrerar,immigrates
Flykting,Refugee
flyktingmottagning,refugee reception
arbetsinvandrare,migrant workers
flyktingkvinna,refugee woman
invandrarflickor,immigrant girls
invandrarungdomar,immigrant youth
invandrartjej,immigrant girl
immigranterna,the immigrants
immigrationsvågen,the wave of immigration
invandrarelever,immigrant students
flyktingskäl,refugee reasons
Flyktingen,The refugee
emigrants,emigrants
immigrerade,immigrated
flyktingströmmarna,refugee flows
immigranternas,immigrants
immigranter,immigrants
Immigrant,Immigrant
invandrarbarn,immigrant children
flyktingvågen,the refugee wave
flyktingar,refugees
invandrare,immigrant
Kvotflykting,Quota refugee
asylsökanden,asylum seekers
flyktingskap,refugee status
flyktingströmmen,the flow of refugees
invandrarungdomarna,the immigrant youth
flyktingskapet,the refugee cabinet
