keyword,deepl,google,deepl==google,Annotation
граждани-имигранти,immigrant citizens,immigrant citizens,True,1
конгоанец,Congolese,Congolese,True,0
имигрантско,immigrant,immigrant,True,1
емигрантът,The Immigrant,the emigrant,False,1
алжириец,Algerian,Algerian,True,0
емигрантки,immigrant women,emigrants,False,1
имиграционен,immigration,immigration,True,1
писател-емигрант,immigrant writer,emigrant writer,False,0
пенсионер,retiree,retired,False,0
кандидат-бежанеца,refugee candidate,refugee candidate,True,1
Албанец,Albanian,Albanian,True,0
имигрантския,The Immigrant,immigrant,False,0
художник-емигрант,immigrant artist,emigrant artist,False,0
бежанецът,refugee,the refugee,False,1
имигрантите-работници,immigrant worker,immigrant workers,False,1
бежанци.От,refugees.From,refugees.From,True,0
кюрд,Kurd,Kurdish,False,0
Бежанец,Refugee,Refugee,True,1
имигрантите,The Immigrant,immigrants,False,1
ливанец,Lebanese,Lebanese,True,0
емигрантката,The Immigrant,the emigrant,False,1
писателят-емигрант,the immigrant writer,the emigrant writer,False,0
бежанци-,refugees-,refugees,False,0
белоемигрант,white immigrant,white immigrant,True,0
бежанка,female refugee,refugee,False,1
бежанц,refugee,refugees,False,1
мигрантите,migrants,migrants,True,1
бежанци,refugees,refugees,True,1
имигрански,immigration,immigrant,False,1
имигранти,immigrants,immigrants,True,1
аристократ-емигрант,immigrant aristocrat,emigrant aristocrat,False,1
бежанци.В,refugees.In,refugees.C,False,0
бежанец,refugee,refugee,True,1
емигрант,Immigrant,emigrant,False,1
бежански,refugee,refugee,True,1
имигрантки,immigrant women,immigrant women,True,1
имигранта,immigrant,immigrant,True,1
дете-бежанец,child refugee,refugee child,False,1
Мигрант,Migrant,Migrant,True,1
афганец,Afghan,Afghan,True,0
емигрантка,Immigrant,emigrant,False,1
инженер-емигрант,immigrant engineer,émigré engineer,False,1
емигранти-,immigrants-,emigrants,False,0
емигранти,immigrants,emigrants,False,1
сириецът-християнин,Syrian-Christian,the Syrian Christian,False,0
немец-емигрант,German immigrant,a German emigrant,False,0
бежанците,refugees,refugees,True,1
иранец,Iranian,Iranian,True,0
мигранта,the migrant,migrant,False,1
Политемигрант,Polymigrant,Political immigrant,False,1
бежанците20,refugee20,refugees20,False,0
слуга-емигрант,immigrant servant,emigrant servant,False,1
бежанците09,refugee09,refugees09,False,0
имигрантски,Immigrant,immigrant,False,1
мигранти,migrants,migrants,True,1
политемигрант,polymigrant,political immigrant,False,1
имигрирал,immigrated,immigrated,True,1
мароканец,Moroccan,Moroccan,True,0
бежанци14,refugees14,refugees14,True,0
емигранта,migrant,the emigrant,False,1
иракчанин,Iraqi,Iraqi,True,0
фермер-имигрант,immigrant farmer,immigrant farmer,True,1
имигрантът,the immigrant,the immigrant,True,1
афганистанец,Afghan,Afghan,True,0
гражданин,citizen,citizen,True,1
мигрант,migrant,migrant,True,1
бежанцит,refugee,refugees,False,1
имигрантка,immigrant,immigrant,True,1
Бежанецът,The Refugee,The refugee,False,1
бежанцте,refugee,refugees,False,1
Небрежанец,Careless,The negligent,False,0
политемигранти,polymigrants,political immigrants,False,1
имиграционния,Immigration,immigration,False,1
емигрант-католик,Immigrant Catholic,Catholic immigrant,False,0
имигрант,immigrant,immigrant,True,1
Имигрант,Immigrant,Immigrant,True,1
бежанци13,refugees13,refugees13,True,0
сириец,Syrian,Syrian,True,0
врeмигрант,immigrant,immigrant,True,1
политемигрантите,polymigrants,political immigrants,False,1
имигрант-авиоинженер,immigrant aviation engineer,immigrant aeronautical engineer,False,0
палестинец,Palestinian,Palestinian,True,0
бежанеца,refugee,the refugee,False,1
емигрантъ,immigrant,the emigrant,False,1
