keyword,deepl,google,deepl==google,Annotation
uprchlíka,Refugee,refugee,False,1
uprchlíkům,Refugees,refugees,False,1
Súdánec,Sudanese,Sudanese,True,0
sluníčkář,Sunshine,sunshine,False,0
přistěhovalecké,Immigration,immigrant,False,1
přistěhovalý,Immigrant,immigrant,False,1
přistěhovalci,Immigrants,immigrants,False,1
cikán,Gypsy,Gypsy,True,0
utečenec,refugee,refugee,True,1
zkrachovalec,bankrupt,bankrupt,True,0
imigrantský,immigrant,immigrant,True,1
uprchlíkem,refugee,refugee,True,1
Uprchlíky,Refugees,Refugees,True,1
Kurd,Kurd,Kurd,True,0
migrantem,migrant,migrant,True,1
přistěhuje,immigrate,immigrates,False,1
přistěhoval,Immigrated,immigrated,False,1
emigrant,Emigrant,emigrant,False,1
osadník,settler,settler,True,1
přistěhovalkyně,immigrant,immigrant woman,False,1
uprchlický,refugee,refugee,True,1
uprchlý,refugee,runaway,False,1
utečenecký,refugee,refugee,True,1
imigranta,immigrant,immigrant,True,1
domorodec,Aboriginal,native,False,0
deportovaný,deported,deportee,False,1
přistěhovalec,immigrant,immigrant,True,1
starousedlík,Native American,old settler,False,0
Imigrant,Immigrant,Immigrant,True,1
Uprchlík,Refugee,Refugee,True,1
uprchlíku,Refugee,refugee,False,1
mladík,Young man,young man,False,0
rasista,Racist,racist,False,0
kolonista,colonist,colonist,True,0
terorista,terrorist,terrorist,True,0
vyhoštěný,expelled,deported,False,1
přistěhovaleckého,Immigration,immigrant,False,1
Afrikánec,African,African,True,0
imigranti,immigrants,immigrants,True,1
nacionalista,nationalist,nationalist,True,0
povalec,layabout,loafer,False,0
přistěhovalecká,immigrant,immigrant,True,1
běženec,refugee,refugee,True,1
nezaměstnaný,unemployed,unemployed,True,0
běženci,refugees,refugees,True,1
přistěhovalcem,immigrant,immigrant,True,1
přivandrovalec,immigrant,newcomer,False,1
uprchlíkù,refugees,refugees,True,1
uprchlíci,refugees,refuges,False,1
migranta,migrant,migrant,True,1
migrant,migrant,migrant,True,1
uprchlík,refugee,refugee,True,1
Palestinec,Palestinian,Palestinian,True,0
uprchlící,Refugee,refuges,False,1
cizinec,foreigner,stranger,False,0
islamista,Islamist,Islamist,True,0
přistěhovalců,Immigrants,immigrants,False,1
azylant,asylum seeker,asylum seeker,True,1
imigrantem,immigrant,immigrant,True,1
dobrovolník,volunteer,volunteer,True,0
migranti,migrants,migrants,True,1
přistěhovalce,immigrants,immigrants,True,1
uprchlíky,refugees,refugees,True,1
evropan,european,continental,False,0
Iráčan,Iraqi,Iraqi,True,0
imigrant,Immigrant,immigrant,False,1
přistěhovalecký,Immigrant,immigrant,False,1
Migrant,Migrant,Migrant,True,1
Afghánec,Afghan,Afghan,True,0
zajatec,POW,prisoner,False,0
azyl,asylum,asylum,True,1
uprchlíků,Refugees,refugees,False,1
uprchlíkovi,Refugees,refugee,False,1
imigrantka,immigrant,immigrant,True,1
uprchlice,refugee women,refugees,False,1
občan,citizen,citizen,True,1
Azylant,Asylum,Asylum seeker,False,1
Přistěhovalec,Immigrant,Immigrant,True,1
uprchlíků.,Refugees.,refugees.,False,0
běloch,Caucasian,white,False,0
Somálec,Somali,Somali,True,0
extremista,Extremist,extremist,False,0
vystěhovalec,emigrant,emigrant,True,1
Syřan,Syrian,Syrian,True,0
