keyword,deepl,google,deepl==google
Immigrants,Immigrants,Immigrants,True
Bleiberecht,Right to stay,Right to stay,True
Flüchtlingsjunge,Refugee Boy,Refugee boy,False
Jude,Jew,Jew,True
eingewanderter,immigrant,immigrant,True
Asylforderer,asylum seeker,Asylum seekers,False
Flüchtlingsgegner,Refugee opponent,Refugee opponents,False
Asylsituation,asylum situation,Asylum situation,False
Asylbewerberin,asylum seeker,Asylum seeker,False
Einwandererland,immigrant country,Immigration country,False
Asylbegehren,asylum seeker,Asylum seekers,False
Zuflucht,refuge,refuge,True
Gastarbeiter,guest worker,Guest workers,False
Sextourist,Sex tourist,Sex tourist,True
Asylzentren,Asylum centers,Asylum centers,True
Immigrantinnen,Immigrant,Immigrants,False
Wirtschaftsflüchtling,Economic refugee,Economic refugee,True
Asylanten,Asylum seeker,Asylum seekers,False
Asylverfahren,Asylum procedure,Asylum procedure,True
Flüchtlingsschutz,Refugee protection,Refugee protection,True
Asylbetrüger,Asylum fraud,Asylum fraudsters,False
Syrer,Syrian,Syrians,False
Bürgerkriegsflüchtling,Civil war refugee,Civil war refugee,True
Flüchtlingsbetreuer,Refugee caregiver,Refugee supervisor,False
Arbeitsmigrant,Migrant worker,Migrant worker,True
Asylgrund,Reason for asylum,Reason for asylum,True
Asylberechtigter,Asylum beneficiary,Asylum seeker,False
Asylbewerber,asylum seeker,Asylum seekers,False
immigrants,immigrants,immigrants,True
Flüchtlingsstatus,Refugee status,Refugee status,True
Familiennachzug,Family reunion,Family reunification,False
Zuwanderer,immigrant,immigrant,True
Flüchtlingsfamilie,refugee family,Refugee family,False
Geflüchteter,refugee,Refugee,False
Schutzsuchender,Protection seeker,Asylum seeker,False
Moslem,Muslim,Muslim,True
Terrorist,Terrorist,terrorist,False
Flüchtlingsmädchen,refugee girl,Refugee girl,False
asyl,asylum,asylum,True
Flüchtlingsfrau,Refugee girl,Refugee woman,False
Asylentscheid,asylum decision,Asylum decision,False
ProAsyl,ProAsyl,ProAsyl,True
Einwanderin,immigrant,Immigrant,False
Einwanderer,immigrant,immigrant,True
Einwandererkind,Immigrant child,Immigrant child,True
Asylwerber,asylum seeker,Asylum seekers,False
Immigrantenfamilien,Immigrant families,Immigrant families,True
Migrantin,immigrant,Migrant,False
Asylgewährung,granting asylum,Granting of asylum,False
flüchtling,refugee,refugee,True
Flüchtlingsanerkennung,refugee recognition,Refugee recognition,False
Abschiebungsschutz,protection against deportation,Protection against deportation,False
Asylland,asylum country,Asylum land,False
Geflüchteten,refugee,Refugees,False
Bootsflüchtling,boat refugee,Boat refugee,False
Migrantenkind,Migrant child,Migrant child,True
Asylpraxis,Asylum practice,Asylum practice,True
Aufenthaltserlaubnis,Residence permit,residence permit,False
Asylsuchende,Asylum seeker,Asylum seekers,False
Asylangebot,Asylum offer,Asylum offer,True
FlüchtlingeFlüchtlinge,RefugeesRefugees,RefugeesFugees,False
Flüchtlingshelfer,Refugeeshelpers,Refugee workers,False
Geflüchtete,Refugees,Refugees,True
Migranten,Migrants,Migrants,True
Fremdenwesen,Immigration,Aliens,False
Asylzentrum,Asylum Center,Asylum center,False
Immigration,Immigration,immigration,False
Gastarbeiterkind,Gastarbeiter child,Guest worker child,False
Gastarbeiterkinder,Gastarbeiter children,Guest worker children,False
Flüchtling,refugee,refugee,True
Einwandererfamilie,immigrant family,Immigrant family,False
Tourist,Tourist,tourist,False
Migrante,Migrante,Migrants,False
Flüchtlings,Refugee,Refugee,True
Asylmißbrauch,asylum abuse,Asylum abuse,False
Immigrantin,Immigrant,immigrant,False
Asylbewerbers,Asylum seekers,Asylum seeker,False
Emigrants,Emigrants,Emigrants,True
Flüchtlingsgruppe,refugee group,Refugee group,False
migrant,migrant,migrant,True
Kirchenasyl,church asylum,Church asylum,False
Asylothek,asylum center,Asylum library,False
Flüchtlingen,refugees,Refugees,False
Abschiebeschutz,protection against deportation,Deportation protection,False
Kriegsflüchtling,war refugee,War refugee,False
Asylantragstellung,Asylum application,Application for asylum,False
Flüchtlingskind,refugee child,Refugee child,False
Asylsuchenden,Asylum seeker,Asylum seekers,False
Asylant,asylum seeker,Asylum seeker,False
Immigranten,Immigrant,Immigrants,False
EinwanderInnen,immigrants,Immigrants,False
Flüchtlingsjungen,refugee boy,Refugee boys,False
Fluchtgründen,reasons for escape,Reasons to flee,False
Einwandererkinder,Immigrant children,Immigrant children,True
AsylbewerberInnen,Asylum seekers,Asylum seekers,True
Asylbewerbern,Asylum seekers,Asylum seekers,True
Asylantragsteller,Asylum applicants,Asylum seekers,False
Asylanerkennung,asylum recognition,Recognition of asylum,False
Immigrantenfamilie,immigrant family,Immigrant family,False
Flüchtlingshelferin,Refugee aid worker,Refugee helper,False
Flüchtender,Refugee,Fugitive,False
Migrant,migrant,Migrant,False
Asylrecht,Asylum law,Asylum law,True
Auswanderer,Emigrant,Emigrants,False
Muslim,Muslim,Muslim,True
Zufluchtsland,Country of refuge,Refuge,False
Einwanderers,Immigrant,Immigrant,True
Einwander,Immigrants,Immigrants,True
Einwanderinnen,Immigrants,Immigrants,True
ImmigrantInnen,Immigrants,Immigrants,True
Asylantrag,asylum application,application for asylum,False
Flüchtlinge,Refugees,refugees,False
Arbeitsimmigranten,Immigrant Workers,Immigrant workers,False
Flüchtlingsbereich,Refugee,Refugee area,False
Staatsbürger,Citizens,citizen,False
Aufenthaltsrecht,Right of residence,Right of residence,True
Flüchtlingsrechte,Refugee rights,Refugee rights,True
Schutzsuchende,Protection seekers,Asylum seekers,False
Asylanspruch,asylum claim,Asylum claim,False
immigrant,immigrant,Immigrant,False
Asylstatus,asylum status,Asylum status,False
Emigrant,Emigrant,emigrant,False
Asylberechtigte,asylum claimant,asylum family,False
Syrien-Flüchtlinge,Syria refugees,Syria refugees,True
Ausländer,Alien,Foreigners,False
Asylgesuch,Application for asylum,Asylum application,False
Flüchtlingsbegriff,Refugee term,Refugee term,True
Asyls,Asyls,Asylum,False
Migrants,Migrants,Migrants,True
Asylsuchender,Asylum seeker,Asylum seeker,True
Kriegsflüchtlinge,War refugees,War refugees,True
Imigranten,Imigrants,Immigrants,False
