keyword,deepl,google,deepl==google
prisionera,prisoner,prisoner,True
pro-inmigrante,pro-immigrant,pro-immigrant,True
adoptiva,adoptive,adoptive,True
refugiados.El,refugees.,refugees.,True
fugitiva,fugitive,runaway,False
no-inmigrantes,non-immigrant,non-immigrants,False
asilados,asylum seekers,asylees,False
repatriado,repatriated,repatriate,False
exilada,exiled,exiled,True
hispano,Hispanic,Hispanic,True
exilado,exiled,exiled,True
refugiar,refugee,shelter,False
inmigrado,immigrated,immigrant,False
recluída,refugee,secluded,False
humanitaria,humanitarian,humanitarian,True
asiladas,asylum,isolated,False
Refugiado,refugee,Refugee,False
huído,refugee,fled,False
inmigrantes.En,immigrants.in,immigrants.,False
deportada,deported,deported,True
exiliadas,exiled,exiles,False
inmigra,immigrants,immigration,False
inmigrantes.,immigrants.,immigrants.,True
inmigracion,immigration,immigration,True
refugiadas,refugees,refugee,False
inmigrada,immigrant,immigrant,True
siria,syria,Syria,False
asilada,asylum,isolated,False
REFUGIADO,REFUGEE,REFUGEE,True
refugiarse,refugee,take refuge,False
antinmigrante,anti-immigrant,anti-immigrant,True
migrantes,migrants,migrants,True
reasentada,resettled,resettled,True
inmigrante,migrant,immigrant,False
refugiadxs,refugee,refugees,False
migrante,migrant,migrant,True
desahuciada,evicted,evicted,True
enclaustrada,cloistered,cloistered,True
atrapada,trapped,trapped,True
inmigratorio,immigrant,immigration,False
reclusa,inmate,recluse,False
prisionero,prisoner,prisoner,True
antimigrante,anti-immigrant,anti-migrant,False
marginada,outcast,outcast,True
Inmigración,Immigration,Immigration,True
indocumentado,undocumented,undocumented,True
refugió,refugee,refuge,False
expatriada,expatriate,expat,False
acogido,hosted,welcomed,False
deportado,deported,deportee,False
refugiada,refugee,refugee,True
indocumentada,undocumented,undocumented,True
refugiados-,refugee-,refugees-,False
fugitivo,fugitive,fugitive,True
imigrantes,migrants,immigrants,False
emigrada,emigrated,emigrated,True
inmigradas,immigrated,immigrants,False
autoexiliado,self-exiled,self-exiled,True
refugia,refugee,shelter,False
Inmigrantes,Immigrants,Immigrants,True
Refugiados,Refugees,Refugees,True
recluida,refugee,secluded,False
criada,maid,maid,True
desamparada,homeless,helpless,False
no-inmigrante,non-immigrant,non-immigrant,True
desplazada,displaced,displaced,True
inmigrar,immigrate,immigrate,True
encarcelada,incarcerated,imprisoned,False
anciana,elderly,old woman,False
inmigrantes.La,immigrants.The,immigrants.,False
emigrantes,migrants,emigrants,False
asilo,asylum,asylum,True
refugiados,refugees,refugees,True
recluido,interned,secluded,False
refugio,refuge,refuge,True
inmigrantes,immigrants,immigrants,True
pied-noir,pied-noir,pied-noir,True
immigrantes,immigrants,immigrants,True
emigrado,migrant,emigrated,False
INMIGRANTE,IMMIGRANT,IMMIGRANT,True
inmigracionista,immigrant,immigrationist,False
emigrante,emigrant,emigrant,True
hacinada,overcrowded,crowded,False
huérfana,orphan,orphan,True
niña,child,girl,False
residente,resident,resident,True
imigrante,immigrant,immigrant,True
inmigratoria,immigrant,immigration,False
exilio,exile,exile,True
asilarse,asylum,to isolate,False
expatriado,expatriate,expatriate,True
immigrante,immigrant,immigrant,True
Inmigrante,immigrant,Immigrant,False
inmigración,immigration,immigration,True
refugiados.La,refugee.,refugees.,False
refugee,refugee,refugee,True
ciudadano,citizen,citizen,True
refugiados.,refugee.,refugees.,False
asilado,asylum,asylee,False
guarecido,refugee,sheltered,False
inmigrantes.El,immigrants.,immigrants.,True
proinmigrante,pro-immigrant,pro-immigrant,True
huido,refugee,fled,False
Refugiadas,refugees,Refugees,False
refugiado,refugee,refugee,True
gitano,gypsy,Gypsy,False
Asilado,Asylum,Asylee,False
inmigrados,immigrants,immigrants,True
Refugiada,Refugee,Refugee,True
reasentado,resettled,resettled,True
inmigrantes-,immigrants-,immigrants-,True
indocumentados,undocumented,undocumented,True
immigración,immigration,immigration,True
masacrada,massacred,slaughtered,False
exiliado,exiled,exiled,True
repatriada,repatriated,repatriated,True
exiliada,exiled,exiled,True
confinada,confined,confined,True
marginalizada,marginalized,marginalized,True
refugiad,refugee,refuge,False
Acogido,Welcomed,Welcomed,True
inmigran,immigrate,they immigrate,False
