keyword,deepl,google,deepl==google
Kiintiöpakolainen,Quota refugee,Quota refugee,True
irakilaissyntyinen,Iraqi-born,Iraqi-born,True
turvapaikka,asylum,asylum,True
maahanmuuttajia,migrants,immigrants,False
paluumuuttaja,returnee,returnee,True
maahanmuuttaja,immigrant,immigrant,True
pakolais,refugee,refugees,False
pakolainen,refugee,refugee,True
maahanmuuttajien,migrants,immigrants,False
maahantulija,immigrant,immigrant,True
maahanmuuttajista,immigrants,immigrants,True
ulkomaalaissyntyinen,foreign-born,foreign-born,True
maahanmuuttajalapset,children of immigrants,immigrant children,False
humanitaarinen,humanitarian,humanitarian,True
Syyrialainen,Syrian,Syrian,True
kotoutus,integration,integration,True
pakolaistilanne,refugee situation,refugee situation,True
pakolaisuudessa,refugee situation,refugees,False
somalialaissyntyinen,Somali native,Somali-born,False
maahanmuuttajan,migrant,immigrant,False
turvapaikanhakijana,asylum seeker,as an asylum seeker,False
maahanmuuttajille,for migrants,for immigrants,False
pakolaisuus,refugee status,refugee,False
pakolaissopimus,refugee agreement,refugee agreement,True
somalityttö,Somali girl,somali girl,False
maahanmuuttajanainen,immigrant woman,immigrant woman,True
ulkomaalainen,foreigner,alien,False
syyrialainen,Syrian,Syrian,True
EU-kansalainen,EU citizen,EU citizen,True
Afganistanilainen,Afghan,Afghan,True
pakolaispolitiikka,refugee policy,refugee policy,True
ulkomaalaistaustainen,foreign background,foreign background,True
palestiinalainen,Palestinian,Palestinian,True
somalisyntyinen,of Somali origin,Somali-born,False
maahanmuuttajanuorille,for young migrants,for immigrant youth,False
Irakilainen,Iraqi,Iraqi,True
maahanmuuttajanuoret,migrant youth,immigrant youth,False
siirtolainen,migrant,immigrant,False
romanitaustainen,Roma background,Roma background,True
maanpakolainen,exile,refugee,False
afganistanilainen,Afghan,Afghan,True
maahanmuuttajatyö,migrant work,immigrant work,False
turvapaikanhakija,asylum seeker,asylum seeker,True
maahanmuuttajaryhmä,migrant group,immigrant group,False
maahanmuuttajat,migrants,immigrants,False
Pakolainen,Refugee,Refugee,True
maahanmuuttajana,as an immigrant,as an immigrant,True
kiintiöpakolainen,quota refugee,quota refugee,True
elintasopakolainen,subsistence refugee,living refugee,False
Maahanmuuttaja,Immigrant,Immigrant,True
maahanmuuttajataustainen,with an immigrant background,immigrant background,False
pakolaiseksi,refugee,as a refugee,False
maahanmuuttajaväestö,immigrant population,immigrant population,True
mokuttaja,mokutaja,educator,False
pakolaistulva,refugee influx,refugee flood,False
maahanmuuttajaperhe,immigrant family,immigrant family,True
maahanmuuttajuus,immigration,immigration,True
pakolaisjärjestö,refugee organisation,refugee organization,False
pakolaisasema,refugee status,refugee status,True
pakolaiskysymys,refugee issue,the refugee issue,False
Turvapaikanhakija,Asylum seeker,Asylum seeker,True
Maahanmuuttajataustainen,Immigrant background,Immigrant background,True
pakolaisen,refugee,refugee,True
monikulttuuri,multiculturalism,multiculturalism,True
maahanmuuttajalla,immigrant,with an immigrant,False
pakolaistoimisto,refugee office,refugee office,True
somalitaustainen,Somali background,Somali background,True
irakilainen,Iraqi,Iraqi,True
maahanmuuttajanuoria,migrant youth,immigrant youth,False
mamu,mamu,mamu,True
pakolaiskeskus,refugee centre,refugee center,False
maahanmuuttajalle,for migrants,to the immigrant,False
somali,Somali,Somali,True
Maanpakolainen,Refugee,Refugee,True
ulkosuomalainen,expatriate,expatriate Finn,False
maahanmuutto,immigration,immigration,True
kantasuomalainen,ethnic Finnish,native Finn,False
pakolaisstatuksen,refugee status,refugee status,True
pakolaisuuden,refugee status,refugee status,True
kotoutuminen,integration,integration,True
maastamuuttaja,emigrant,emigrant,True
maahanmuuttajaa,immigrant,immigrants,False
monikulttuurinen,multicultural,multicultural,True
pakolaisryhmä,refugee group,refugee group,True
maahanmuuttajaksi,becoming an immigrant,as an immigrant,False
maahanmuuttajasta,about immigrant,about the immigrant,False
pakolaisstatus,refugee status,refugee status,True
pakolaisperhe,refugee family,refugee family,True
pakolaisnainen,refugee woman,a refugee woman,False
