keyword,deepl,google,deepl==google
Immigrée,Immigrant,Immigrant,True
emparé,seized,grabbed,False
Immigrants,Immigrants,Immigrants,True
senfuit,escaped,runs away,False
expulsé,expelled,forced out,False
égaré,misplaced,lost,False
immigrée,immigrant,immigrant,True
fugitif,fugitive,fugitive,True
entrepreneur,entrepreneur,contractor,False
immigrés,immigrant,immigrants,False
ressortissante,national,national,True
réfugier,refugee,refuge,False
kidnappé,kidnapped,kidnapped,True
touriste,tourist,tourist,True
émigrantes,emigrant,emigrants,False
rescapé,survivor,survivor,True
faufilé,sneaked,sneaked,True
emmené,taken away,taken away,True
imigrés,imigrants,imigrants,True
refugiés,refugees,refugees,True
enseignante,teacher,teacher,True
volatilisé,vanished,volatilized,False
enfuie,fled,run away,False
émigrante,emigrant,emigrant,True
Québecoise,Quebec woman,Quebecoise,False
non-immigrant,non-immigrant,non-immigrant,True
enfuira,will run away,will run away,True
racisée,racialized,racialized,True
capturé,captured,capture,False
métis,Métis,metis,False
refuge,refuge,refuge,True
indo-canadienne,Indo-Canadian,indo-canadian,False
non-migrants,non-migrants,non-migrants,True
tué,killed,kill,False
enfuirai,will run away,run away,False
immigrants,immigrants,immigrants,True
migrante,migrant,migrant,True
emigrant,emigrant,emigrant,True
refugié,refugee,refugee,True
enfuies,runaways,run away,False
réfugié-e-s,refugees,refugees,True
incarcéré,incarcerated,incarcerated,True
rapatrié,repatriated,repatriated,True
Juif,Jewish,Jewish,True
terrorisé,terrorized,terrified,False
limmigration,immigration,immigration,True
néo-Canadiens,New Canadians,new canadians,False
anglo-québécoise,Anglo-Quebecers,Anglo-Quebecois,False
émigré,emigrated,emigrated,True
émigration,emigration,emigration,True
afro-américaine,African-American,Afro-American,False
migrants,migrants,migrants,True
enfuyais,escaped,fled,False
interné,interned,internal,False
réfugiées,refugees,refugees,True
enfuyant,fleeing,fleeing,True
assommé,stunned,stunned,True
exilé,exiled,exile,False
exil,exile,exile,True
immigra,immigra,immigrated,False
déserteur,deserter,deserter,True
émigrée,emigrated,emigrated,True
chômeur,unemployed,unemployed person,False
juif,Jewish,Jewish,True
immigre,immigrate,immigrant,False
asile,asylum,asylum,True
immigré,immigrant,immigrant,True
bi-nationale,bi-national,bi-national,True
expatriée,expatriate,expatriate,True
non-résidente,non-resident,non-resident,True
enfermé,locked up,shut in,False
pourchassé,chased,chased,True
refugiée,refugee,refugee,True
effrayé,frightened,scared,False
retrouvé,found,found,True
enfuit,fled,run away,False
pluriculturelle,multicultural,multicultural,True
enfuirent,fled,fled,True
suicidé,committed suicide,suicide,False
Québécoise,Quebec woman,Quebecer,False
immigrantes,immigrant women,immigrant women,True
enfuirait,fled,would run away,False
persécuté,persecuted,persecuted,True
inexpulsable,inexpulsible,inexpulsable,False
enfuis,fled,run away,False
ethnoculturelle,ethnocultural,ethnocultural,True
primo-arrivant,newcomer,newcomer,True
réfugié,refugee,refugee,True
exilés,exiled,exiles,False
évadé,escaped,escaped,True
musulmane,Muslim,muslim,False
émigrants,emigrants,emigrants,True
emigrante,emigrant,emigrant,True
retourné,returned,return,False
immigrer,immigrate,immigrate,True
apatride,stateless,stateless,True
Réfugié,refugee,Refugee,False
primo-migrants,first-time migrant,first-time migrants,False
travailleur,worker,worker,True
résident,resident,resident,True
migrant,migrant,migrant,True
enfui,fled,fled,True
enfuir,flee,escape,False
enfuire,flee,run away,False
évanoui,fainted,fainted,True
exfiltré,exfiltrated,exfiltrated,True
relâché,released,released,True
résidente,resident,resident,True
non-immigrants,non-immigrant,non-immigrants,False
fui,fled,fled,True
enfuient,fled,run away,False
terrifié,terrified,terrified,True
immigrante,immigrant,immigrant,True
refugie,refugee,refugee,True
Afro-américaine,African-American,Afro-American,False
abandonné,abandoned,abandoned,True
dérobé,stolen,stolen,True
autochtone,native,native,True
réfugiés,refugees,refugees,True
Immigré,Immigrant,Immigrant,True
chassé,hunted,hunt,False
immigratoire,immigrant,immigrant,True
afro-maghrébine,Afro-Maghrebin,Afro-Maghrebian,False
abattu,slaughtered,beaten down,False
réfugiée,refugee,refugee,True
immigration,immigration,immigration,True
émigrant,emigrant,emigrant,True
non-blanche,non-white,non-white,True
immigrées,immigrant,immigrant,True
résidante,resident,resident,True
volé,stolen,Fly,False
juive,Jewish,jewish,False
étrangère,foreign,foreign,True
refugiées,refugees,refugees,True
fuit,fled,flees,False
ressortissant,national,national,True
prisonnier,prisoner,prisoner,True
emigré,emigrant,emigrated,False
sans-papier,undocumented,without paper,False
exilée,exiled,exiled,True
emigrants,emigrants,emigrants,True
expatrié,expatriate,expatriate,True
envolé,expelled,flew,False
expulsable,deportable,deportable,True
dimmigrants,dimmigrants,immigrants,False
Immigrant,Immigrant,Immigrant,True
immigrant,immigrant,immigrant,True
immigrant-e-s,immigrant,immigrants,False
enfuyaient,fled,fled,True
enfuyait,fled,was running away,False
immigrationniste,immigrationist,immigrationist,True
fuyant,fleeing,fleeing,True
non-musulmane,non-Muslim,non-muslim,False
réfugie,refugee,refugee,True
multiculturelle,multicultural,multicultural,True
emprisonné,imprisoned,imprisoned,True
assassiné,murdered,murdered,True
