keyword,deepl,google,deepl==google
idemenekült,fugitive,fled here,False
menekültre,for refugees,refugee,False
menekült,refugee,refugee,True
visszamenekült,returnee,fled back,False
bevándorlókat,immigrants,immigrants,True
Kivándorló,Emigrant,Emigrant,True
menekültnek,for refugees,refugees,False
bevándorlóval,with immigrant,with an immigrant,False
kivándorolt,emigrated,emigrated,True
vendégmunkás,guest worker,guest worker,True
bevándorlókon,immigrants,immigrants,True
menekülő,refugee,refugee,True
bevándorlás,immigration,immigration,True
menekülhet,may flee,escape,False
bevándorlóról,about immigrants,about an immigrant,False
menekülõ,fleeing,refugee,False
migránspárti,pro-migrant,migrant party,False
migránsból,from migrant,from a migrant,False
Bevándorló,Immigrant,Immigrant,True
menekülhetett,may have fled,could have escaped,False
továbbmenekült,fled,he fled,False
szökött,escaped,escaped,True
migránscsoport,migrant group,migrant group,True
kimenekült,escaped,fled,False
menekülı,refugee,fugitive,False
menekülttel,with refugee,refugees,False
hazamenekült,returnee,fled home,False
meneküli,refugee,escape,False
bevándorlói,immigrants,immigrants,True
bevándorlóktól,from immigrants,from immigrants,True
odamenekült,refugee,he fled there,False
elvándorló,emigrating,migrant,False
migránsért,for migrants,for migrants,True
menekültek,refugees,refugees,True
menekülttől,from refugee,from a refugee,False
menekülni,to escape,to escape,True
idevándorló,migrant,migrant,True
migráns-,migrant-,migrant-,True
migránsokból,from migrants,from migrants,True
kivándorló,emigrant,emigrant,True
bevándorlókról,about migrants,about immigrants,False
Menekült,Refugee,Refugee,True
átmenekült,transferee,escaped,False
menedékkérő,asylum seeker,asylum seeker,True
bevándorlónak,immigrant,to an immigrant,False
elmenekült,fugitive,fled,False
menekültcsoport,refugee group,refugee group,True
bevándorlótól,from immigrant,from an immigrant,False
migránsra,migrant to migrant,migrant,False
bevándorlóként,immigrant to immigrant,as an immigrant,False
menekít,fleeing,to escape,False
migránsok,migrants,migrants,True
bevándorló-ellenes,anti-immigrant,anti-immigrant,True
migránsként,as migrants,as a migrant,False
menekültem,I fled,I fled,True
menekített,fled,fled,True
bevándorlók,immigrants,immigrants,True
menekültbefogadó,refugee host,refugee host,True
menekültél,refugee,you fled,False
menekülô,refugee,refugee,True
bevándorlókhoz,for immigrants,for immigrants,True
menekültté,become a refugee,refugee,False
bevándorló,immigrant,immigrant,True
emigrált,emigrated,emigrated,True
bevándorlóknak,for immigrants,for immigrants,True
bevándorlókból,from immigrants,from immigrants,True
menekültök,refugees,refugees,True
menekültünk,our refugees,we fled,False
bevándorlókra,immigrants,immigrants,True
migráns,migrant,migrant,True
menekültből,from refugee,from a refugee,False
menekültközpontban,refugee centre,refugee center,False
muszlim,Muslim,Muslim,True
migránsról,about migrants,about migrants,True
bevándorlókkal,with migrants,with immigrants,False
menekülők,refugees,refugees,True
bevándorlóra,migrant to migrant,immigrant,False
menekül,fleeing,escapes,False
menekült-,refugee-,refugee-,True
vándorolt,migrated,wandered,False
bevándorlót,immigrant,immigrant,True
menekültről,about refugee,refugee,False
menekülõk,refugees,escape,False
menekült.,refugee.,refugee.,True
immigráns,immigrant,immigrant,True
bevándorlóellenes,anti-immigrant,anti-immigrant,True
migráncs,migrant,migrant,True
menekültje,refugee,refugee,True
menekülőkkel,refugees,with refugees,False
migránsnak,migrant,to migrants,False
bevándorolt,immigrant,immigrant,True
menekülve,on the run,fleeing,False
bemenekült,immigrant,fled,False
