keyword,deepl,google,deepl==google
scolarizzato,schooled,schooled,True
tunisino,tunisian,Tunisian,False
immigrati,immigrants,immigrants,True
Profuga,Refugee,Refugee,True
marocchino,moroccan,Moroccan,False
rimpatriato,repatriated,repatriated,True
deporta,deport,deport,True
rifugiatosi,refugee,took refuge,False
nomade,nomad,nomadic,False
pellegrina,pilgrim,pilgrim,True
immigrazionista,immigrant,immigrationist,False
operaia,worker,factory Girl,False
tassista,taxi driver,taxi driver,True
sfollato,displaced person,displaced,False
Emigrato,emigrant,Emigrated,False
disoccupato,unemployed,unemployed,True
ﬁglia,daughter,daughter,True
popolazione,population,population,True
Limmigrazione,Limmigration,Migration,False
immigrato,immigrant,immigrant,True
espatriato,expatriate,expatriate,True
extra-comunitaria,non-EU,extra-community,False
zingarella,gypsy,gypsy,True
adottiva,adoptive,adoptive,True
clochard,clochard,clochard,True
clandestino,clandestine,clandestine,True
ebrea,jewish,Jewish,False
anziana,elderly,elderly,True
musulmana,Muslim,Muslim,True
immigrate,immigrant,immigrants,False
italo-australiana,Italian-Australian,Italian-Australian,True
rimpatria,repatriate,repatriation,False
emigranti,emigrants,emigrants,True
migrante,migrant,migrant,True
clandestina,illegal,clandestine,False
profughe,refugees,refugees,True
immigrazioni,immigrations,immigrations,True
indigente,indigent,destitute,False
Emigrata,migrant,Emigrated,False
ragazza-madre,mother-girl,single mother,False
delinque,delinque,delinque,True
profugopoli,refugee,refugee cities,False
emigrato,emigrant,emigrated,False
forestiera,outsider,stranger,False
scappata,escaped,escaped,True
donna,woman,woman,True
poliziotto,policeman,police officer,False
rifugiatasi,refugee,took refuge,False
magrebino,maghrebino,Maghrebi,False
rifugiato,refugee,refugee,True
soldato,soldier,soldier,True
emigratoria,emigrant,emigration,False
marocchina,moroccan,Moroccan,False
sfollata,displaced,displaced,True
zingara,gypsy,gypsy,True
immigra,immigrant,immigrates,False
rimpatrio,repatriation,repatriation,True
delinquente,delinquent,delinquent,True
Profugo,refugee,Refugee,False
immigranti,immigrant,immigrants,False
emigrata,emigrant,emigrated,False
zingaro,gypsy,gypsy,True
deportato,deported,deported,True
fuggito,escaped,fled,False
immigratoria,immigrant,immigration,False
emigra,emigrate,emigrates,False
sottopagata,underpaid,underpaid,True
rifiugiato,refused,refused,True
extracomunitarie,non-EU,non-EU citizens,False
operaio,worker,worker,True
asilo,asylum,asylum,True
mussulmana,Muslim,Muslim,True
kossovaro,kossovaro,Kosovar,False
controfuga,counterfuge,counter-flight,False
immigratorie,immigration,immigration,True
Profughi,Refugees,Refugees,True
profughi.,refugees,refugees.,False
deportata,deported,deported,True
extracomunitario,non-EU,non-EU citizen,False
ex-prigioniero,ex-prisoner,ex-prisoner,True
circassa,circassa,Circassian,False
emigrante,emigrant,emigrant,True
profugo,refugee,refugee,True
Migrante,Migrant,Migrant,True
immigrazione,immigration,immigration,True
limmigrazione,limmigration,immigration,False
esule,exile,exile,True
vedova,widow,widow,True
terrorista,terrorist,terrorist,True
lavoratrice,worker,worker,True
madre,mother,mother,True
Extracomunitario,Non-EU,Non-EU citizen,False
musulmano,Muslim,Mussulman,False
Immigrati,Immigrant,Immigrants,False
fuggiasca,fugitive,fugitive,True
dellimmigrazione,immigration,of immigration,False
immigrante,immigrant,immigrant,True
disertore,defector,deserter,False
profughi,refugee,refugees,False
straniera,foreigner,foreign,False
figlia,daughter,daughter,True
Rifugiato,Refugee,Refugee,True
emigrate,emigrant,emigrate,False
straniero,foreigner,foreign,False
romena,romena,Romanian,False
emigrati,emigrant,emigrants,False
espatriata,expatriate,expatriate,True
extracomunitaria,non-EU,non-EU,True
fuggiasco,fugitive,fugitive,True
carcerato,prisoner,inmate,False
fuggita,escaped,fled,False
scafista,smuggler,smuggler,True
extracomunitari,extracommunitarian,non-EU citizens,False
disoccupata,unemployed,unemployed,True
Immigrato,Immigrant,Immigrant,True
emigrazione,emigration,emigration,True
migranti,migrants,migrants,True
bambina,girl,girl,True
Immigrata,Immigrant,Immigrant,True
maghrebino,maghrebino,Maghrebi,False
ragaza,girl,girl,True
immigrare,immigrant,immigrate,False
immigrata,immigrant,immigrant,True
rifugiata,refugee,refugee,True
sfolla,displaced,it displaces,False
gitana,gypsy,gypsy,True
italo-americano,Italian-American,Italian-American,True
idrofuga,refugee,hydrophobic,False
profugato,refugee,refugee,True
scolarizzata,schooled,schooled,True
rifugiati,refugee,refugees,False
ragazza,girl,lass,False
sfollati,displaced,displaced,True
ebreo,jew,Jew,False
immigrant,immigrant,immigrant,True
extra-comunitario,extra-community,extra-community,True
violentatore,rapist,rapist,True
apolide,stateless person,stateless person,True
Ebrea,Jew,Jewish,False
lavoratore,worker,worker,True
forestiero,foreigner,stranger,False
magrebina,maghrebina,Maghrebi,False
profuga,refugee,refugee,True
