keyword,deepl,google,deepl==google
žmogutis,the little man,man,False
Meyeris,Meyer,Meyer,True
Šeižys-Dagilėlis,The Sheikh-Devil,Šeižys-Dagilėlis,False
ateiviams,for aliens,for aliens,True
ateiviui,For Alien,to an alien,False
peruietis,Peruvian,Peruvian,True
jordanietis,Jordanian,Jordanian,True
tamsuolis,the dark one,dark,False
ūžuolėlis,the osprey,weevil,False
imigrantas,immigrant,immigrant,True
arabistas,Arab,arabists,False
paveikslėlis2,image2,Figure 2,False
Nanikivis,Nanofighter,Nanikivis,False
pirmnininkas,The Pioneer,superior,False
Givis,Givi,Givis,False
asilėlis,Donkey,donkey,False
Nešulėlis,The little rascal,Carrier,False
Kupolėlis,The Dome,Dome,False
imigrantės,Immigrants,immigrant women,False
Ateivis,Alien,An alien,False
irakietis,Iraqi,Iraqi,True
emigrantu,Immigrant,emigrants,False
Gabalėlis,A piece of,A piece,False
mėnuleigis,Moonlight,moonlight,False
vakarietis,westerner,westerner,True
Emigrantas,Emigrant,Emigrant,True
pakistanietis,Pakistani,Pakistani,True
perbėgėlis,Refugee,runaway,False
padaras,creature,creature,True
priekalėlis,anvil,anvil,True
imigrantui,for immigrant,immigrants,False
pabėgėliais,refugees,refugees,True
Disidentas,Dissident,Dissident,True
Kavolėlis,Cavalcade,Kavolėlis,False
alžyrietis,Algerian,Algerian,True
pabėgėlio,Refugee,refugee,False
imigrantams,for immigrants,immigrants,False
pasaulėlis,World,the world,False
Skambalėlis,Ringtone,Ringtone,True
rodezietis,Rhodesian,Rhodesian,True
tunisietis,Tunisian,Tunisian,True
Bilalas,Bilal,Bilalas,False
Povilėlis,Peacock,Povilėlis,False
Eliezeris,Eliezer,Eliezer,True
augalėlis,Plant,vegetable,False
ateiv,ateiv,alien,False
Rydikas,Rydik,Rydikas,False
musulmonas,Muslim,Muslim,True
demografas,demographer,demographers,False
Pabėgėlis,Refugee,Refugee,True
Hrantas,Hrant,Hrantas,False
Greivis,Greivis,Gravey,False
imigrantais,Immigrants,immigrants,False
Ateivių,Immigrant,Aliens,False
Atskilėlis,Breakaway,Separator,False
angelėlis,Angel,angel,False
ateivį,Alien,an alien,False
atklys,afghan,atonement,False
afganas,Hoffman-Alien,Afghan,False
Hofmanas-Ateivis,loaf,Hoffman-Alien,False
kepalėlis,alien,loaf,False
ateivius,immigrant workers,aliens,False
darbininkai-imigrantai,crusader,immigrant workers,False
kryžeivis,human,crusader,False
žmogėnas,atheist,man,False
atėjūnas,refugee,comer,False
pabėgelis,refugee,refugee,True
pabėgėlei,animal,for a refugee,False
gyvūlėlis,refugee,animal,False
pabėgėlis,returnee,refugee,False
sugrįžėlis,boy,returnee,False
berniukas,resettled,boy,False
persikėlėlio,alien,relocator,False
ateivė,Grundalėlis,alien,False
Grundalėlis,immigrant,Grundalėlis,False
imigrantą,Circle,immigrant,False
Ratilėlis,etis,Wheel,False
etis,Immigrant,etis,False
imigrantė,Cauldron,immigrant,False
Katilėlis,The Wonder,Cauldron,False
stebuklėlis,Alien1Age,miracle,False
ateivius1Age,little man,aliens1Age,False
žmogiukas,declivis,man,False
declivis,Grant,declivis,False
grantas,clump,grants,False
gumulėlis,immigrants,clump,False
imigrantus,The Revenant,immigrants,False
atsikėlėlis,starship,resurrector,False
žvaigždėlaivis,Aliens,starship,False
Ateiviai,OR-2-River,Aliens,False
veikalėlis,citizen-state,potty,False
OR-2oreivis,freak,OR-2oreivis,False
valstybė-pilietis,Mirabal,state-citizen,False
keistuolis,Refugee,freak,False
Mirabalėlis,Refugee,Mirabalell,False
Pabėgėlio,cyborg-man,Refugee,False
pabėgėlė,Turk,refugee,False
žmogus-kiborgas,Foreigner,the cyborg man,False
turkas,Palestinian,turkish,False
Užsienietis,Yorkshireman,A foreigner,False
palestinietis,immigrant,Palestinian,False
jorkširietis,refugee,Yorkshire,False
imigrantu,foreigner,immigrants,False
pabėgėliui,refugee,for a refugee,False
užsienietis,oak,foreigner,False
pabėgėliu,immigrant,refugee,False
ąžuolėlis,person,oak,False
imigranto,refugees,immigrant,False
žmogus,hot tub,man,False
