keyword,deepl,google,deepl==google
Immigrants,Immigrants,Immigrants,True
frants,frants,French,False
Emigrantu,Emigrants,Emigrants,True
aizmucis,absconded,run away,False
ārzemnieks,foreigner,foreigner,True
Bēgļa,Refugee,Refugee,True
ieceļotājs,Immigrant,immigrant,False
drošībnieks,Security officer,security guard,False
Zaglis,Thief,Thief,True
tiesībnieks,Lawyer,lawyer,False
imigrants,Immigrant,immigrants,False
bēgļus,refugees,refugees,True
migrantes,migrant women,migrants,False
cietumnieks,prisoner,prisoner,True
bēgļiem,refugees,refugees,True
noziedznieks,criminal,criminal,True
emigranti,migrants,emigrants,False
migrante,migrant,migrants,False
Bēglis,Refugee,Refugee,True
aziāts,Asian,asian,False
Bezpajumtnieks,Homeless,Homeless person,False
iebraucējs,Immigrant,immigrant,False
kabatzaglis,Pickpocket,pickpocket,False
valstspiederīgais,National,national,False
migrants,Migrant,migrants,False
Migranti,Migrants,Migrants,True
imigranta,immigrant,immigrant,True
imigrantiemTulkošanas,immigrantsTranslation,for immigrantsTranslation,False
imigrantiemVecākiemBilingvālā,ImmigrantsParentsBilingual,for immigrantsParentsBilingual,False
imigrantes,Immigrant women,immigrant women,False
imigrantus,immigrants,immigrants,True
ķīlnieks,hostage,hostage,True
bēgles,refugees,refugees,True
bēgļi,refugees,refugees,True
trimdinieks,exile,exile,True
dārzbēglis,garden refugee,garden refugee,True
Bēgļi,Refugees,Refugees,True
imigranti,Immigrants,immigrants,False
viesstrādnieks,migrant worker,guest worker,False
migrantam,migrant,migrantam,False
imigrantu,immigrant,immigrants,False
izceļotājs,emigrant,emigrant,True
migrantus,migrants,migrants,True
imigrāc,immigrāc,immigrate,False
pamatiedzīvotājs,indigenous,indigenous population,False
alžīrietis,Algerian,Algerian,True
bezvalstnieks,stateless,stateless person,False
bēglis,refugee,refugee,True
migranta,migrant,migrant,True
Emigrants,Emigrant,Emigrants,False
imigrante,Immigrant,immigrants,False
migrant,migrant,migrant,True
terorists,terrorist,terrorist,True
bēglim,refugee,to the refugee,False
irākietis,Iraqi,Iraqi,True
Imigranti,Immigrants,Immigrants,True
neimigranta,non immigrant,nonimmigrant,False
bēgli,refugee,refugees,False
bēglēm,For refugees,refugees,False
bēgle,refugee,refugee,True
mērglis,Mayor,sparrow,False
Austrumeiropietis-imigrants,Eastern European immigrant,Eastern European immigrant,True
migranti,migrants,migrants,True
imigracijas,immigration,immigration,True
imigrantam,for immigrant,immigrants,False
Imigrantus,Immigrants,Immigrants,True
bēglītis,refugee,runaway,False
nepilsonis,non-citizen,non-citizen,True
bēgļa,Refugee,refugee,False
Imigrantu,Immigrant,Immigrants,False
sīrietis,Syrian,Syrian,True
imigran,immigran,immigrant,False
pilsonis,citizen,citizen,True
viesstudents,Visiting student,guest student,False
bezpajumtnieks,homeless,homeless person,False
emigrants,emigrant,emigrant,True
laukumsImmigrants,SquareImmigrant,squareImmigrant,False
Immigrant,Immigrant,Immigrant,True
bēgliem,for refugees,refugees,False
immigrant,immigrant,immigrant,True
Emigrant,Emigrant,Emigrant,True
imigrantiem,for immigrants,immigrants,False
Migrants,Migrant,Migrants,False
Imigrants,Immigrants,Immigrants,True
jaunietis,Young,young man,False
lēģeris,The lager,legger,False
ārvalstnieks,Alien,alien,False
