keyword,deepl,google,deepl==google
statushouder,status holder,status holder,True
Ieperling,Ieperling,Ypres,False
vluchtelingenbeleid,refugee policy,refugee policy,True
contreien,contries,regions,False
oorlogsvluchteling,war refugee,war refugee,True
wereldwijze,worldly,worldly,True
Vluchteling,Refugee,Refugee,True
toevalling,coincidence,coincidence,True
migrantenstroom,migrant flow,migrant flow,True
vluchtelingenopvang,refugee shelter,refugee shelter,True
vluchtelingetje,refugee,refugee,True
eeuwling,centenarian,centenarian,True
moederlijkheid,maternity,motherhood,False
vluchtelingenkind,refugee child,refugee child,True
vluchtelingkinderen,refugee children,refugee children,True
kettingmigratie,chain migration,chain migration,True
taalevolutie,language evolution,language evolution,True
lentegodin,spring goddess,spring goddess,True
taaldood,language death,language death,True
kontreien,kontreien,butts,False
klimaatvluchteling,climate refugee,climate refugee,True
uitwijkeling,defector,evasion,False
taalijveraar,language zealot,language enthusiast,False
staatlozen,stateless,stateless persons,False
snoever,snob,swagger,False
vluchtelinge,refugee,refugee,True
inwijk,inner-city,move in,False
begeestering,zealot,enthusiasm,False
wereldwandelaar,world walker,world walker,True
vluchtelingenkamp,refugee camp,refugee camp,True
asiel,asylum,asylum,True
boekenjood,bookJew,book jew,False
daarstelling,position,statement,False
gelukzoeker,fortune hunter,fortune hunter,True
vluchtelingenvrouwen,refugee women,refugee women,True
migrantengemeenschap,migrant community,migrant community,True
asielzoekende,asylum seeker,asylum seeker,True
zegswijze,saying,saying,True
predikheer,preacher,preacher,True
niet-Fransman,non-French,non-frenchman,False
boekentaal,book language,book language,True
primitieveling,primitive,primitive,True
vluchtelingen.,refugees.,refugees.,True
vluchtelingensituatie,refugee situation,refugee situation,True
migranten,migrants,migrants,True
vluchtelingenboot,refugee boat,refugee boat,True
vluchtelingschap,refugee,refugee,True
vluchtelingenstatus,refugee status,refugee status,True
handelaarster,trader,merchant,False
ingeweken,immigrant,soaked,False
vluchtelingenpaspoort,refugee passport,refugee passport,True
studentenaangelegenheden,student affairs,student affairs,True
verbrusseling,verbrusseling,brussels,False
Oost-Vlaming,East Fleming,East Flemish,False
migrant,migrant,migrant,True
vluchtelingengroep,refugee group,refugee group,True
inwijkelingen,immigrants,immigrants,True
asielzoekers,asylum seekers,asylum seekers,True
vreemdeling,foreigner,stranger,False
taalhouding,language attitude,language attitude,True
onversaagdheid,undaunted,intrepidity,False
inwijking,emigration,evasion,False
eigenaaren,ownerand,owners,False
vluchtelingenverdrag,refugee convention,refugee treaty,False
asielzoeksters,asylum seekers,asylum seekers,True
bootvluchteling,boat refugee,boat refugee,True
uitwijkelingen,refugees,evictions,False
taalinvloeden,language influences,language influences,True
Vlaming,Fleming,Flemish,False
Vluchtelingen,Refugees,Refugees,True
verblijfsvergunning,residence permit,residence permit,True
vluchtelingenrecht,refugee law,refugee law,True
gelukszoeker,fortune hunter,fortune seeker,False
vluchtelingen-,refugees-,refugees-,True
halfoogst,half-harvest,half harvest,False
vluchtelingstatus,refugee status,refugee status,True
vluchtelingencentrum,refugee center,refugee center,True
kostganger,boarder,boarder,True
Brusselaar,Brussels native,Brussels resident,False
koppigaard,stubborn,stubborn,True
vluchtelingen,refugees,refugees,True
vluchtelingenorganisatie,refugee agency,refugee organization,False
moslimmigranten,muslim migrants,muslim migrants,True
oorlogsvluchtelingen,war refugees,war refugees,True
bierhandelaar,beer merchant,beer merchant,True
verkoopstertje,salesperson,sales lady,False
vluchtelingenwerk,refugee work,refugee work,True
taalminnaars,language lovers,language lovers,True
asielmigranten,migrants,asylum migrants,False
pagadder,pagadder,pagadder,True
immigrant,immigrant,immigrant,True
asielaanvraag,asylum,asylum application,False
federalisatie,federalization,federalization,True
verzustering,neglect,twinning,False
asielzoekster,asylum seeker,asylum seeker,True
arbeidsmigrant,migrant worker,labor migrant,False
asielzoeker,asylum seeker,asylum seeker,True
Asielzoeker,Asylum seeker,Asylum seeker,True
vlaming,Fleming,flaming,False
jongeman,young man,young man,True
