keyword,deepl,google,deepl==google
osadowy,sludge,sedimentary,False
uchodźcy,refugees,Refugees,False
ogrodnik,gardener,gardener,True
budnik,budnik,building,False
Afgańczyk,Afghan,Afghan,True
uciekinier,refugee,fugitive,False
imigranci,immigrants,immigrants,True
ranczer,rancher,rancher,True
rozsadnik,spreader,seedbed,False
azylowy,asylum,asylum,True
imigrancie,immigrant,immigrant,True
londyńczyk,londoner,Londoner,False
imigrantów,immigrants,immigrants,True
bimbrownik,moonshiner,moonshine,False
uchodźcach,refugees,refugees,True
przesiedleniec,displaced person,displaced person,True
terrorysta,terrorist,terrorist,True
imigracyjny,immigrant,immigration,False
obcokrajowiec,foreigner,foreigner,True
ciapaty,thug,Ciapaty,False
osadnikom,settler,settlers,False
ekstremista,extremist,extremist,True
osadniczy,settler,settlement,False
muzułmanin,muslim,Muslim,False
separatysta,separatist,separatist,True
najemnik,mercenary,mercenary,True
dożywotnik,annuitant,annuitant,True
odstojnik,outlier,decanter,False
obywatel,citizen,citizen,True
napływowy,immigrant,alluvial,False
krajowiec,native,native,True
Pakistańczyk,Pakistani,Pakistani,True
emigrantem,expat,an emigrant,False
emigrant,emigrant,emigrant,True
rolnik,farmer,farmer,True
osadniki,settlers,settlers,True
azylanta,asylum seeker,asylum seeker,True
podsadnik,podsadnik,feeder,False
bezpaństwowca,stateless person,stateless person,True
uchodźczą,refugee,refugee,True
osadnikiem,settler,settler,True
neonazista,neo-Nazi,neo-Nazi,True
Uchodźca,Refugee,Refugee,True
imigrancki,immigrant,immigrant,True
imigranta,immigrant,immigrant,True
Żyd,Jew,Jew,True
plantator,grower,planter,False
Imigrant,Immigrant,Immigrant,True
Irańczyk,Iranian,Iranian,True
chrześcijanin,Christian,Christian,True
uchodźczy,refugee,refugee,True
emigranci,emigrants,emigres,False
Albańczyk,Albanian,Albanian,True
Amerykanin,American,American,True
repatriant,returnee,repatriate,False
uchodźcę,refugee,refugee,True
Somalijczyk,Somali,Somali,True
kolonista,colonist,colonist,True
imigrantow,immigrant,immigrants,False
bezpaństwowiec,stateless person,stateless person,True
azylanci,asylum seeker,asylum seekers,False
przesiębiorca,entrepreneur,trader,False
topograf,topographer,topographer,True
gnilny,rot,putrefactive,False
biznesmen,businessman,businessman,True
repatrianta,repatriate,repatriate,True
reemigrant,re-emigrant,re-emigrant,True
uchodźca,refugee,refugee,True
winogrodnik,winegrower,grower,False
amerykanin,american,American,False
europejczyk,european,European,False
cudzoziemiec,foreigner,foreigner,True
Irakijczyk,Iraqi,Iraqi,True
Palestyńczyk,Palestinian,Palestinian,True
Uchodźcy,Refugees,Refugees,True
lejkownik,funnellist,funnel,False
migranta,migrant,migrant,True
urzędnik,official,clerk,False
zagrodnik,homesteader,farmer,False
Afrykanin,African,African,True
migrant,migrant,migrant,True
kolonat,colonate,colonate,True
Brytyjczyk,Briton,Briton,True
osadniku,settler,settler,True
islamista,Islamist,Islamist,True
dżihadysta,jihadist,jihadist,True
refugee,refugee,refugee,True
azylant,asylum seeker,asylum seeker,True
imigrantem,immigrant,immigrant,True
osadnikowe,settler,settling tanks,False
drenażowy,drain,drainage,False
Islamista,Islamist,Islamist,True
uchodźcą,refugee,refugee,True
osadnikow,settler,settlers,False
wodnik,waterman,Aquarius,False
uchodźctwa,refugees,refugees,True
imigrantek,immigrant women,immigrant women,True
imigrant,immigrant,immigrant,True
parownik,evaporator,evaporator,True
osadnika,settler,settler,True
osadnikowy,settler,settler,True
azyl,asylum,refuge,False
ściek,effluent,sewage,False
osadnikach,settlers,settlers,True
imigrantka,immigrant,immigrant,True
uchodźców,refugees,refugees,True
immigrant,immigrant,immigrant,True
Polak,Pole,pole,False
Emigrant,emigrant,Emigrant,False
kolonizator,colonizer,colonizer,True
obszarnik,territorialist,landowner,False
Osadnik,Settler,Settler,True
traper,trapper,trapper,True
polak,polak,pole,False
piaskownik,sandbox,sand trap,False
zbiornik,tank,tank,True
stawik,pond,pond,True
żwirowy,gravel,gravelly,False
osadników,settling tanks,settlers,False
