keyword,deepl,google,deepl==google
reassentado,resettled,resettled,True
fugitiva,runaway,fugitive,False
yazidi,yazidi,Yazidi,False
asilados,asilados,asylum,False
exilada,exiled,exile,False
exilado,exiled,exiled,True
refugiar,refugee,take refuge,False
subnutrida,undernourished,malnourished,False
evadido,evaded,evaded,True
emigração,emigration,emigration,True
orfã,orphan,orphan,True
Refugiado,Refugee,Refugee,True
imigrados,immigrant,immigrants,False
abrigo,shelter,shelter,True
emigratório,emigration,emigratory,False
deportada,deportee,deported,False
refugiadas,refugee,refugees,False
palestiniana,palestinian,Palestinian,False
asilada,asilada,asylum,False
imigracao,immigration,immigration,True
acolhido,hosted,welcomed,False
encarcerada,prisoner,imprisoned,False
imigratório,immigration,immigration,True
turista,tourist,tourist,True
migrantes,migrants,migrants,True
ex-emigrante,ex-emigrant,ex-immigrant,False
prisioneira,prisoner,prisoner,True
refúgio,refuge,refuge,True
Exilada,exile,exile,True
migrante,migrant,migrant,True
imigração,immigration,immigration,True
reclusa,prisoner,recluse,False
ruandesa,Rwandan,rwandan,False
desterrada,banished,outcast,False
Imigração,Immigration,Immigration,True
desabrigado,homeless,homeless,True
indocumentado,undocumented,undocumented,True
afegã,Afghani,afghan,False
expatriada,expatriate,expatriate,True
imigrantes.O,immigrant.O,immigrants.O,False
somaliana,Somali,Somali,True
deportado,deported,deported,True
refugiada,refugee,refugee,True
fugitivo,fugitive,fugitive,True
judeu,Jewish,Jewish,True
adotiva,adopted,adoptive,False
prisioneiro,prisoner,prisoner,True
imigrantes,immigrant,immigrants,False
emigrada,emigrated,emigrant,False
estrangeiro,foreigner,foreign,False
fugido,runaway,run away,False
refugiou,refugee,refugee,True
imigratórios,immigration,immigration,True
refugia,refugee,refuge,False
Imigrante,immigrant,Immigrant,False
imigracionista,immigracionist,immigrationist,False
ítalo-descendente,italian-descendant,Italian descendant,False
Refugiados,Refugee,Refugees,False
muçulmana,Muslim,Muslim,True
mulçumana,Muslim,Muslim,True
desertora,defector,deserter,False
ex-preso,former prisoner,ex-prisoner,False
extraditada,extradited,extradited,True
forasteiro,outsider,outsider,True
imigrar,immigrate,immigrate,True
judia,Jewish,jewish,False
auto-exilado,self-exiled,self-exile,False
autoexilado,self-exiled,self-exiled,True
emigrantes,emigrants,emigrants,True
asilo,asylum,asylum,True
surda-muda,deaf-mute,deaf mute,False
refugiados,refugees,refugees,True
imigrado,immigrant,immigrant,True
ex-prisioneiro,former prisoner,ex-prisoner,False
imigracão,immigration,immigration,True
inmigrantes,inmigrants,immigrants,False
emigrado,emigrated,émigré,False
bem-nascida,well-born,well born,False
imigrada,immigrant,immigrant,True
sírio,syrian,Syrian,False
emigrante,emigrant,emigrant,True
bi-racial,bi-racial,bi-racial,True
desenraizada,rootless,uprooted,False
encarcerado,incarcerated,imprisoned,False
imigrante,immigrant,immigrant,True
imigrara,immigrated,immigrated,True
mestiço,mestizo,mixed race,False
expatriado,expatriate,expatriate,True
homiziado,homestay,murdered,False
presidiária,inmate,inmate,True
imigrava,immigrated,immigrated,True
imigra,immigrate,immigrate,True
colono,settler,settler,True
imigrando,immigrating,immigrating,True
refugiados.,refugees.,refugees.,True
imigrantes.,immigrants,immigrants.,False
asilado,asilado,asylum,False
recém-nascida,newborn,newborn,True
beduína,bedouin,bedouin,True
apátrida,stateless,stateless,True
desalojado,displaced,homeless,False
Refugiadas,refugee,Refugees,False
órfã,orphan,orphan,True
refugiado,refugee,refugee,True
imigrou,immigrated,immigrated,True
imigrant,immigrant,immigrant,True
imigrações,immigrations,immigrations,True
imigratória,immigration,immigration,True
humanitária,humanitarian,humanitarian,True
refugiando,refugee,taking refuge,False
imigrantista,immigrant,immigrant,True
recluso,inmate,recluse,False
Refugiada,Refugee,refugee,False
ex-prisioneira,former prisoner,ex-prisoner,False
intercambista,exchange student,exchange student,True
não-imigrante,non-immigrant,non-immigrant,True
ex-imigrante,ex-immigrant,ex-immigrant,True
ex-muçulmana,ex-Muslim,ex-muslim,False
síria,syrian,Syria,False
repatriada,returnee,returnee,True
palestiniano,palestinian,Palestinian,False
ex-muçulmano,ex-Muslim,ex-muslim,False
desalojada,displaced,homeless,False
marginalizada,marginalized,marginalized,True
não-migrantes,non-migrant,non-migrants,False
desabrigada,homeless,homeless,True
traficada,trafficked,trafficked,True
refugiado-se,refugee-se,refugee,False
desempregado,unemployed,Unemployed,False
