keyword,deepl,google,deepl==google
tâlharul,the robber,thief,False
hăituit,hounded,hunted,False
rătăcitor,wanderer,wandering,False
expatriat,expatriate,exile,False
prins,caught,caught,True
pribeag,vagabond,wanderer,False
vagabond,vagabond,stray,False
refugiate,refugee,refugee,True
imigranţi,immigrants,immigrants,True
exilându-se,exiling,exiling is,False
refugiează,refugees,take refuge,False
captivul,captive,captive,True
fugat,fugitive,Fugate,False
refugiată,refugee,refugee,True
fugarelor,fugitive,fugitives,False
fugar.,fugitive.,fugitive.,True
refugiati,refugees,refugees,True
Refugiată,Refugee,Refugee,True
prizonierul,prisoner,prisoner,True
non-immigrant,non-immigrant,non-immigrant,True
Emigranta,Emigrant,immigrant,False
Refugiat,Refugee,Refugee,True
adăpostise,adăpostise,sheltered,False
imigrat,immigrant,immigrated,False
exilat,exile,exile,True
arestat,arrested,custody,False
refugiatul,refugee,refugee,True
refugiazã,refugee,Escape,False
meltean,meltean,meltean,True
emigranti,migrants,immigrants,False
migrante,migrant,migrate,False
emigrant,emigrant,emigrant,True
shugar,shugar,shugar,True
drumeţ,trekker,traveler,False
emigranþi,migrant,emigrants,False
Imigrantii,Immigrants,Immigrants,True
contrabandist,smuggler,smuggler,True
anti-imigranti,anti-immigrant,anti-immigrant,True
fugiat,fugitive,run,False
refugiaza,refugee,refuge,False
refugiaseră,refugees,refuge,False
hăituitor,stalker,chasing,False
fugara,fugitive,runaway,False
drumețul,hiker,traveler,False
imigranții,immigrants,immigrants,True
Refugiatul,Refugee,refugee,False
fugarilor,fugitives,fugitives,True
hoţ,thief,thief,True
Imigrant,Immigrant,Immigrant,True
trădătorul,traitor,traitor,True
refugiam,refugee,refuge,False
Imigrante,Immigrant,IMMIGRANT,False
refugia,refugia,escape,False
fugaresc,fugaresc,chase,False
refugiata,refugee,refugee,True
fugare,flee,fleeting,False
criminal,criminal,criminal,True
azil,asylum,asylum,True
mutat,moved,moved,True
fugarul,fugitive,fugitive,True
non-imigrant,non-immigrant,nonimmigrant,False
migrantul,migrant,migrant,True
refugiau,refugee,refuge,False
refugiatei,refugee,refugees,False
fuga.,flight.,escape.,False
Mama-imigrantă,Mother-immigrant,Immigrant mother,False
azilat,asylum,asylum,True
Imigranta,Immigrant,Immigrant,True
fugareste,runaway,chasing,False
fiorosul,the proud,ferocious,False
imigrant.,immigrant.,immigrant.,True
interlopul,the interloper,underworld,False
retras,retired,retired,True
autoexilat,self-exiled,exile,False
emigrantului,the immigrant,emigrant,False
imigrantul,the immigrant,immigrant,False
imigrantii,immigrants,immigrants,True
emigrante,emigrant,immigrants,False
émigrants,emigrants,emigrants,True
refugiatului,refugee,refugee,True
fugit,fugitive,FLED,False
adăpostit,sheltered,sheltered,True
imigrante,immigrant,IMMIGRANT,False
Shugar,Shugar,Shugar,True
migrant,migrant,migrant,True
imigranţii,immigrants,immigrants,True
exiliat,exiled,exiled,True
migrantului,migrant,migrants,False
imigranţiDocument,immigrantsDocument,immigrantsDocument,True
reîntors,returned,returned,True
Imigranti,Immigrants,Immigrants,True
părăsit,left,leave,False
refugiară,refugee,took refuge,False
fugară,fugitive,fugitive,True
bandit,bandit,bandit,True
refugie,refugee,refuge,False
infractor,criminal,felon,False
Mafiotul,mobster,Mafioso,False
deportat,deported,deported,True
strămutat,displaced,translated,False
evacuat,evicted,evacuate,False
imigranți,immigrants,immigrants,True
chipeşul,handsome,handsome,True
refugieze,refuge,refuge,True
Imigrantului,Immigrant,immigrant,False
fugarit,fugitive,chased,False
zănatec,zany,zănatec,False
migranti,migrants,migrate,False
fugă,runaway,flight,False
hoinarul,wanderer,wanderer,True
plecat,gone,gone,True
autoexilându-se,self-exiling,autoexilându the,False
Imigrantul,The immigrant,immigrant,False
imigranţilor,immigrant,immigrants,False
Migrant,Migrant,Migrant,True
imigrant,immigrant,immigrant,True
imigrantului,immigrant,immigrant,True
emigrat,migrant,immigrated,False
hoinar,wanderer,wanderer,True
refugiase,refugee,refuge,False
întors,returned,returned,True
fugarite,runaway,chased,False
imigran,immigran,immigrants,False
Fugar,Fugar,Fugitive,False
refugiaþi,refugees,refugees,True
fugarei,fugarei,I would run away,False
refugiază,refugee,refuge,False
emigrants,emigrants,emigrants,True
Immigrant,Immigrant,Immigrant,True
emigrantă,emigrant,immigrant,False
urmărit,tracked,followed,False
fugari,fugitives,fugitives,True
immigrant,immigrant,immigrant,True
fuge,fleeing,flees,False
emigrantul,immigrant,immigrant,True
imigrantă,immigrant,immigrants,False
migrantă,migrant,migrant,True
Emigrant,Emigrant,Emigrant,True
fugarului,runaway,fugitive,False
azilant,asylum seeker,asylum seeker,True
emigrantul.it,emigrant.it,emigrantul.it,False
imigrantilor,immigrant,immigrants,False
imigraţionist,immigrant,the immigration,False
refugiatii,refugees,refugees,True
adăpostindu-se,sheltering,shelter in,False
refugiindu-se,sheltering,retreating,False
trădător,traitor,traitor,True
fugarii,fugitives,fugitives,True
