keyword,deepl,google,deepl==google
utečenci,Refugees,refugees,False
prisťahovalecká,Immigration,immigrant,False
prisťahovaný,immigrant,immigrant,True
prisťahované,immigrated,immigrated,True
utečenecká,refugee,refugee,True
prisťahovania,immigration,immigration,True
prisťahovať,immigrate,immigrate,True
Imigračný,Immigration,Immigrant,False
Vysťahovalec,Expatriate,Emigrant,False
utečeného,Refugee,escaped,False
prisťahovalecké,Immigration,immigrant,False
Prisťahoval,Immigrated,He immigrated,False
Prisťahovalecký,Immigrant,Immigrant,True
prisťahovalci,Immigrants,immigrants,False
prisťahovaleckých,Immigrant,immigrant,False
imigrantév,Immigrants,immigrants,False
Poturčenec,Immigrant,The stomach,False
prisťahovalectvom,Immigration,immigration,False
Lečenec,Lieutenant,Lecenec,False
prisťahovaním,by immigration,immigration,False
Utečenec,Refugee,Refugee,True
utečenectva,Refugee,refugees,False
emigrant,Emigrant,emigrant,False
utečeneckých,Refugee,refugees,False
azylanta,Asylum seeker,asylum seeker,False
osadník,Settler,settler,False
Čečenec,Chechen,Chechen,True
prisťahovalstva,Immigration,immigration,False
utečeneckého,Refugee,refugee,False
prisťahovaleckým,Immigrant,immigrant,False
prisťahovalec,immigrant,immigrant,True
utečenecký,refugee,refugee,True
utečeneckej,refugee,refugee,True
účenec,participant,scholar,False
utečeneckú,refugee,refugee,True
utečenectvo,refugee,refugee,True
Imigrant,Immigrant,Immigrant,True
prisťahovalectva,Immigration,immigration,False
Vičenec,Guest post,Vicenec,False
prisťahuje,Immigrate,immigrates,False
imigroval,immigrated,immigrated,True
utečenecké,Refugee,refugee,False
prisťahovalectvo,Immigration,immigration,False
prisťahovalkyni,Immigrant,immigrant woman,False
terorista,terrorist,terrorist,True
štvrovalec,quadriplegic,quadruped,False
prisťahovaná,immigrant,immigrated,False
prisťahovaleckou,immigrant,immigrant,True
poturčenec,migrant,stumbling block,False
imigračný,immigration,immigrant,False
prisťahovalectvu,immigration,immigration,True
vysťahovalecký,expatriate,emigrant,False
prisťahovaní,immigration,immigration,True
utečencom,refugees,refugees,True
prisťahoval,immigrated,immigrated,True
utečeneckom,refugee,refugee,True
ozbrojenec,Armed,gunman,False
Prisťahovalectvo,Immigration,Immigration,True
Sýrčan,Syrian,Syrian,True
prisťahovaleckú,Immigration,immigrant,False
migranta,migrant,migrant,True
prisťahovalo,immigrated,immigrated,True
Mičenec,Michener,Mičenec,False
utečencov,Refugees,refugees,False
prisťahovaleckej,Immigrant,immigrant,False
migrant,Migrant,migrant,False
prisťahovalcami,immigrants,immigrants,True
migračný,Migration,migratory,False
prisťahovalkyňa,immigrant,immigrant,True
džihádista,jihadist,jihadist,True
prisťahovali,immigrated,immigrated,True
Konovalec,Konovalec,Konovalec,True
islamista,Islamist,Islamist,True
azylant,asylum seeker,asylum seeker,True
utečených,Refugees,escaped,False
prisťahovaleckého,Immigration,immigrant,False
utečenco,refugee,refugee,True
azylový,asylum seeker,asylum,False
migranti,migrants,migrants,True
imigrant,immigrant,immigrant,True
Migrant,Migrant,Migrant,True
utečenca,Refugee,refugee,False
prisťahovanie,immigration,immigration,True
imigrantů,Immigrants,immigrants,False
prisťahovalectve,Immigration,immigration,False
utečencami,refugees,refugees,True
Utečenecký,Refugee,Refugee,True
prisťahovalca,Immigrant,immigrant,False
prisťahovaného,Immigrant,immigrant,False
Džihádista,Jihadist,Jihadist,True
prisťahovalecký,Immigrant,immigrant,False
utečenka,Refugee,runaway,False
prisťahovala,immigrated,immigrated,True
Emigrant,Emigrant,Emigrant,True
prisťahovalcov,Immigrant,immigrants,False
utečenky,Refugee Women,refugees,False
