keyword,deepl,google,deepl==google
Lómljenka,Lomljenka,Broken,False
begunskih,Refugee,refugees,False
zaljubljenka,expat,lover,False
izseljeniški,Refugee,emigrant,False
begunjskem,Refugee,refugee,False
begunjskega,abductee,refugee,False
ugrabljenka,immigrant,kidnapped,False
priseljenih,Refugee,immigrants,False
Gojenka,sposójenka,Gojenka,False
sposójenka,refugee,loan,False
beguncev,refugee,refugees,False
begunk,Drowning woman,refugee,False
Utopljenka,Refugee,Drowned,False
Aljenka,Immigrant,Aljenka,False
priseljevala,Immigrant women,immigrated,False
priseljenke,Refugee,immigrant women,False
begunka,immigrant,fugitive,False
priseljenski,refugees,immigrant,False
beguni,expatriate,beguni,False
izseljen,immigrants,evicted,False
razvajenka,immigrant,spoiled,False
priseljenci,immigrant,immigrants,False
priseljeno,refugee,immigrant,False
priseljeneca,immigrant,immigrants,False
begunjski,to immigrant,refugee,False
priseljen,immigration,immigrant,False
priseljenemu,asylum seekers,immigrant,False
priseljevenje,refugee,immigration,False
azilanti,refugees,asylum seekers,False
begunska,Smiljenka,refugee,False
beguncema,expatriate,refugees,False
Smiljenka,RefugeesTable,Smiljenka,False
izseljena,Refugee,evicted,False
begunstvuRazglednica,Refugee,refuge Postcard,False
begun,Expatriate,beg,False
spreobnjenec,Oljenka,convert,False
izseljenki,Immigrant,emigrants,False
Oljenka,refugee,Oljenka,False
priseljenka,Refugee,immigrant,False
beguncih,Immigrants.Med,refugees,False
Lomljenka,Refugees,Broken,False
priseljenci.Med,beguina,immigrants.Med,False
begunjske,Refugee,refugees,False
beguina,immigrants,beguina,False
begunsko,refugees,refugee,False
priseljence,migrant,immigrants,False
begujice,refugees,fugitives,False
migrantka,immigrant women,migrant,False
begunstvom,emigrant,refugee,False
priseljenki,refugees,immigrant women,False
Lepljenka,American expatriate,Glue,False
emigrantski,hostage,emigrant,False
begunstva,refugee,refugees,False
amerikanec-izseljenec,refugee,an American emigrant,False
talec,camp refugee,hostage,False
begunc,Sweetheart,fugitive,False
begunskem,refugee,refugee,True
taboriščnik,refugee,camper,False
ljubljenka,settler,pet,False
begunko,immigration-immigration,refugee,False
begunstvu,refugee,refugees,False
zlepljenka,Celebrant,zlepljenka,False
naseljenec,refugees,settler,False
priseljevanja-imigracije,immigrants,immigration-immigration,False
begunske,Immigrant,refugees,False
Slavljenka,Immigrant,Celebrating,False
begunce,Immigrant,refugees,False
priseljuje,refugee,immigrants,False
priseljenega,internally displaced,immigrant,False
Izseljenec,Immigrant,An emigrant,False
priseljenk,refugees,immigrant,False
begunec,expatriate,refugee,False
interniranec,to immigrants,internee,False
priseljene,Refugee,immigrants,False
begunci,Immigrant,refugees,False
izseljenka,Immigrant,emigrant,False
priseljenim,immigration,immigrants,False
Begunec,expatriate,Refugee,False
priseljenca,refugee,immigrants,False
Preseljenka,Refugee,Migrant,False
priseljevanje,refugee,immigration,False
izseljeni,to immigrants,evicted,False
begunstvo,refugees,refuge,False
begunskega,refugees,refugee,False
begunjska,refugee,refugee,True
priseljencem,refugeesStory,immigrants,False
begunov,refugee,runners,False
begune,refugee-migrant,begune,False
begunskemu,migrants,to the refugee,False
begunstvuZgodba,pensioner,refugee story,False
prisel,Ticket,immigrant,False
begunjskih,Refugee,refugees,False
begunsko-migrantske,immigrant,refugee-migrant,False
priseljnce,refugee,immigrants,False
upokojenka,expatriate,retired,False
Kupljenka,refugee,Buyer,False
begunski,immigrant,refugee,False
priseljensko,exile,immigrant,False
pribežnik,immigrant,refugee,False
izseljenec,emigrant,emigrant,True
beguncu,refugees-,refugee,False
priseljenko,prisoner,immigrant,False
izgnanec,immigrant,exile,False
priseljenskem,immigrant,immigrant,True
izseljnenski,immigration,emigrant,False
beguncem-,immigrant,refugee,False
ujetnik,second-born,prisoner,False
priseljeni,Sjenka,immigrants,False
priseljencev,to the immigrant,immigrants,False
priseljevenja,immigrant women,immigration,False
priseljena,immigrant,immigrant,True
drugorojenka,immigrants,second child,False
Sjenka,Immigrants,Shadow,False
priseljencu,Emigrant,immigrant,False
priseljenkami,Immigrant,immigrant women,False
imigrant,illegal,immigrant,False
priseljencih,Emigrants,immigrants,False
Priseljeni,Immigrant,Immigrants,False
izseljenega,refugee,evicted,False
Priseljenec,immigrants,Immigrant,False
ilegalka,refugee,illegal,False
izseljeneci,immigration,emigrants,False
Priseljenka,immigrant,Immigrant,False
begunca,refugee women,fugitive,False
priseljencema,Refugee,immigrants,False
rejenka,refugees,rejenka,False
priseljenstvu,refugee,immigration,False
priseljenec,immigration,immigrant,False
begunke,immigrants,refugees,False
Begunka,people's government,Runner,False
beguncem,immigrant,refugees,False
izvoljenka,,elect,False
prebežnik,,a refugee,False
priseljenstva,,immigration,False
priseljenimi,,immigrants,False
ljudovlada,,people's government,False
priseljenskega,,immigrant,False
