"Title","UK Real net national disposable income per capita CVM SA"
"CDID","MWB7"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","22-12-2021"
"Next release","31 March 2022"
"Important notes",
"1995","17941"
"1996","18496"
"1997","18496"
"1998","13975"
"1999","14720"
"2000","15806"
"2001","16789"
"2002","17692"
"2003","18699"
"2004","19457"
"2005","20342"
"2006","20783"
"2007","21207"
"2008","20928"
"2009","20206"
"2010","21112"
"2011","21533"
"2012","21747"
"2013","22272"
"2014","23317"
"2015","24219"
"2016","24961"
"2017","26122"
"2018","26989"
"2019","28125"
"2020","24623"
"1995 Q1","4439"
"1995 Q2","4443"
"1995 Q3","4501"
"1995 Q4","4553"
"1996 Q1","4587"
"1996 Q2","4609"
"1996 Q3","4635"
"1996 Q4","4659"
"1997 Q1","4548"
"1997 Q2","4623"
"1997 Q3","4677"
"1997 Q4","4641"
"1998 Q1","3361"
"1998 Q2","3444"
"1998 Q3","3572"
"1998 Q4","3590"
"1999 Q1","3567"
"1999 Q2","3624"
"1999 Q3","3703"
"1999 Q4","3820"
"2000 Q1","3866"
"2000 Q2","3921"
"2000 Q3","3977"
"2000 Q4","4033"
"2001 Q1","4106"
"2001 Q2","4167"
"2001 Q3","4235"
"2001 Q4","4271"
"2002 Q1","4320"
"2002 Q2","4355"
"2002 Q3","4459"
"2002 Q4","4547"
"2003 Q1","4602"
"2003 Q2","4619"
"2003 Q3","4674"
"2003 Q4","4791"
"2004 Q1","4779"
"2004 Q2","4837"
"2004 Q3","4848"
"2004 Q4","4971"
"2005 Q1","4991"
"2005 Q2","5133"
"2005 Q3","5053"
"2005 Q4","5148"
"2006 Q1","5124"
"2006 Q2","5194"
"2006 Q3","5183"
"2006 Q4","5258"
"2007 Q1","5265"
"2007 Q2","5303"
"2007 Q3","5312"
"2007 Q4","5305"
"2008 Q1","5358"
"2008 Q2","5277"
"2008 Q3","5211"
"2008 Q4","5066"
"2009 Q1","4917"
"2009 Q2","4968"
"2009 Q3","5144"
"2009 Q4","5156"
"2010 Q1","5182"
"2010 Q2","5273"
"2010 Q3","5306"
"2010 Q4","5328"
"2011 Q1","5329"
"2011 Q2","5412"
"2011 Q3","5339"
"2011 Q4","5436"
"2012 Q1","5370"
"2012 Q2","5410"
"2012 Q3","5502"
"2012 Q4","5448"
"2013 Q1","5402"
"2013 Q2","5571"
"2013 Q3","5600"
"2013 Q4","5676"
"2014 Q1","5749"
"2014 Q2","5820"
"2014 Q3","5862"
"2014 Q4","5861"
"2015 Q1","6012"
"2015 Q2","6104"
"2015 Q3","6097"
"2015 Q4","5981"
"2016 Q1","6137"
"2016 Q2","6163"
"2016 Q3","6262"
"2016 Q4","6384"
"2017 Q1","6452"
"2017 Q2","6423"
"2017 Q3","6571"
"2017 Q4","6656"
"2018 Q1","6592"
"2018 Q2","6728"
"2018 Q3","6778"
"2018 Q4","6873"
"2019 Q1","6946"
"2019 Q2","7018"
"2019 Q3","7020"
"2019 Q4","7128"
"2020 Q1","6759"
"2020 Q2","5030"
"2020 Q3","6404"
"2020 Q4","6405"
"2021 Q1","6407"
"2021 Q2","6749"
"2021 Q3","6776"
