"unit,na_item,geo\time",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,country,unit
"CLV_PCH_PRE,B1GQ,AT",1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.5,1.5,-6.7,,AT,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,BA",0.9,1.0,-0.8,2.3,1.2,3.1,3.1,3.2,3.7,2.8,-3.2,,BA,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,BE",2.9,1.7,0.7,0.5,1.6,2.0,1.3,1.6,1.8,2.1,-5.7,,BE,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,BG",1.5,2.1,0.8,-0.6,1.0,3.4,3.0,2.8,2.7,4.0,-4.4,,BG,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,CH",3.3,1.9,1.2,1.8,2.4,1.7,2.0,1.6,2.9,1.2,-2.4,,CH,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,CY",2.0,0.4,-3.4,-6.6,-1.8,3.4,6.5,5.9,5.7,5.3,-5.2,,CY,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,CZ",2.4,1.8,-0.8,0.0,2.3,5.4,2.5,5.2,3.2,3.0,-5.8,,CZ,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,DE",4.2,3.9,0.4,0.4,2.2,1.5,2.2,2.7,1.1,1.1,-4.6,2.7,DE,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,DK",1.9,1.3,0.2,0.9,1.6,2.3,3.2,2.8,2.0,2.1,-2.1,,DK,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EA",2.2,1.7,-0.9,-0.3,1.4,2.0,1.9,2.6,1.8,1.6,-6.4,,EA,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EA19",2.1,1.7,-0.9,-0.2,1.4,2.0,1.9,2.6,1.8,1.6,-6.4,,EA19,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EE",2.4,7.3,3.2,1.5,3.0,1.9,3.2,5.8,4.1,4.1,-3.0,,EE,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EL",-5.5,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.8,-9.0,,EL,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,ES",0.2,-0.8,-3.0,-1.4,1.4,3.8,3.0,3.0,2.3,2.1,-10.8,,ES,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EU27_2020",2.2,1.8,-0.7,0.0,1.6,2.3,2.0,2.8,2.1,1.8,-5.9,,EU27_2020,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,EU28",2.2,1.8,-0.4,0.3,1.8,2.3,2.0,2.6,1.9,1.8,,,EU28,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,FI",3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2,-2.8,,FI,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,FR",1.9,2.2,0.3,0.6,1.0,1.1,1.1,2.3,1.9,1.8,-7.9,,FR,CLV_PCH_PRE
"CLV_PCH_PRE,B1GQ,HR",-1.3,-0.1,-2.3,-0.4,-0.3,2.5,3.5,3.4,2.9,3.5,-8.1,,HR,CLV_PCH_PRE
