TIME,GEO,GEO_LABEL,UNIT,DIRECT,NA_ITEM,Value,Flag and Footnotes,has_value
2003,BE,Belgium,Euro per inhabitant,Balance,"Disposable income, net",15300,,True
2003,BG,Bulgaria,Euro per inhabitant,Balance,"Disposable income, net",1500,,True
2003,CZ,Czechia,Euro per inhabitant,Balance,"Disposable income, net",4500,,True
2003,DK,Denmark,Euro per inhabitant,Balance,"Disposable income, net",15300,,True
2003,DE,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Balance,"Disposable income, net",16800,,True
2003,EE,Estonia,Euro per inhabitant,Balance,"Disposable income, net",3100,,True
2003,IE,Ireland,Euro per inhabitant,Balance,"Disposable income, net",14900,,True
2003,EL,Greece,Euro per inhabitant,Balance,"Disposable income, net",10700,,True
2003,ES,Spain,Euro per inhabitant,Balance,"Disposable income, net",11700,,True
2003,FR,France,Euro per inhabitant,Balance,"Disposable income, net",15200,,True
2003,HR,Croatia,Euro per inhabitant,Balance,"Disposable income, net",4500,,True
2003,IT,Italy,Euro per inhabitant,Balance,"Disposable income, net",15600,,True
2003,CY,Cyprus,Euro per inhabitant,Balance,"Disposable income, net",10300,,True
2003,LV,Latvia,Euro per inhabitant,Balance,"Disposable income, net",2600,,True
2003,LT,Lithuania,Euro per inhabitant,Balance,"Disposable income, net",3000,,True
2003,LU,Luxembourg,Euro per inhabitant,Balance,"Disposable income, net",24900,,True
2003,HU,Hungary,Euro per inhabitant,Balance,"Disposable income, net",4100,,True
2003,NL,Netherlands,Euro per inhabitant,Balance,"Disposable income, net",15200,,True
2003,AT,Austria,Euro per inhabitant,Balance,"Disposable income, net",17000,,True
2003,PL,Poland,Euro per inhabitant,Balance,"Disposable income, net",3400,,True
2003,PT,Portugal,Euro per inhabitant,Balance,"Disposable income, net",9100,,True
2003,RO,Romania,Euro per inhabitant,Balance,"Disposable income, net",1400,,True
2003,SI,Slovenia,Euro per inhabitant,Balance,"Disposable income, net",7600,,True
2003,SK,Slovakia,Euro per inhabitant,Balance,"Disposable income, net",3000,,True
2003,FI,Finland,Euro per inhabitant,Balance,"Disposable income, net",14000,,True
2003,SE,Sweden,Euro per inhabitant,Balance,"Disposable income, net",14500,,True
2004,BE,Belgium,Euro per inhabitant,Balance,"Disposable income, net",15500,,True
2004,BG,Bulgaria,Euro per inhabitant,Balance,"Disposable income, net",1600,,True
2004,CZ,Czechia,Euro per inhabitant,Balance,"Disposable income, net",4800,,True
2004,DK,Denmark,Euro per inhabitant,Balance,"Disposable income, net",15900,,True
2004,DE,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Balance,"Disposable income, net",17100,,True
2004,EE,Estonia,Euro per inhabitant,Balance,"Disposable income, net",3400,,True
2004,IE,Ireland,Euro per inhabitant,Balance,"Disposable income, net",15700,,True
2004,EL,Greece,Euro per inhabitant,Balance,"Disposable income, net",11400,,True
2004,ES,Spain,Euro per inhabitant,Balance,"Disposable income, net",12100,,True
2004,FR,France,Euro per inhabitant,Balance,"Disposable income, net",15800,,True
2004,HR,Croatia,Euro per inhabitant,Balance,"Disposable income, net",4900,,True
2004,IT,Italy,Euro per inhabitant,Balance,"Disposable income, net",16100,,True
2004,CY,Cyprus,Euro per inhabitant,Balance,"Disposable income, net",11600,,True
2004,LV,Latvia,Euro per inhabitant,Balance,"Disposable income, net",3000,,True
2004,LT,Lithuania,Euro per inhabitant,Balance,"Disposable income, net",3600,,True
2004,LU,Luxembourg,Euro per inhabitant,Balance,"Disposable income, net",25300,,True
2004,HU,Hungary,Euro per inhabitant,Balance,"Disposable income, net",4600,,True
2004,NL,Netherlands,Euro per inhabitant,Balance,"Disposable income, net",15400,,True
2004,AT,Austria,Euro per inhabitant,Balance,"Disposable income, net",17500,,True
2004,PL,Poland,Euro per inhabitant,Balance,"Disposable income, net",3500,,True
2004,PT,Portugal,Euro per inhabitant,Balance,"Disposable income, net",9300,,True
2004,RO,Romania,Euro per inhabitant,Balance,"Disposable income, net",1800,,True
2004,SI,Slovenia,Euro per inhabitant,Balance,"Disposable income, net",7800,,True
