"age,unit,sex,geo\time",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,age,country,unit
"Y15-74,PC_ACT,T,AT",5.7 ,5.2 ,4.9 ,5.2 ,5.7 ,6.0,6.1,6.5,5.9,5.2,4.8,6.0 ,Y15-74,AT,PC_ACT
"Y15-74,PC_ACT,T,BE",7.9 ,8.3 ,7.2 ,7.6 ,8.4 ,8.5,8.5,7.8,7.1,6.0,5.4,5.6,Y15-74,BE,PC_ACT
"Y15-74,PC_ACT,T,BG",7.0 ,10.4 ,11.4 ,12.4 ,13.1 ,11.6,9.3,7.7,6.3,5.3,4.3,5.2,Y15-74,BG,PC_ACT
"Y15-74,PC_ACT,T,CH", ,4.8 ,4.4 ,4.5 ,4.8 ,4.9,4.8,5.0,4.8,4.7,4.4,4.8,Y15-74,CH,PC_ACT
"Y15-74,PC_ACT,T,CY",5.4 ,6.3 ,7.9 ,11.9 ,15.9 ,16.1,15.0,13.0,11.1,8.4,7.1,7.6 ,Y15-74,CY,PC_ACT
"Y15-74,PC_ACT,T,CZ",6.7 ,7.3 ,6.7 ,7.0 ,7.0 ,6.1,5.1,4.0,2.9,2.2,2.0,2.6,Y15-74,CZ,PC_ACT
"Y15-74,PC_ACT,T,DE",7.8 ,7.0 ,5.8 ,5.4 ,5.2 ,5.0,4.6,4.1,3.8,3.4,3.1,3.8,Y15-74,DE,PC_ACT
"Y15-74,PC_ACT,T,DK",6.4 ,7.7 ,7.8 ,7.8 ,7.4 ,6.9,6.3,6.0,5.8,5.1,5.0,5.6,Y15-74,DK,PC_ACT
"Y15-74,PC_ACT,T,EA19",9.7 ,10.3 ,10.2 ,11.4 ,12.1 ,11.7,10.9,10.1,9.1,8.2,7.6,7.9 ,Y15-74,EA19,PC_ACT
"Y15-74,PC_ACT,T,EE",13.5 ,16.7 ,12.3 ,10.0 ,8.6 ,7.4,6.2,6.8,5.8,5.4,4.4,6.8 ,Y15-74,EE,PC_ACT
"Y15-74,PC_ACT,T,EL",9.8 ,12.9 ,18.1 ,24.8 ,27.8 ,26.6,25.0,23.9,21.8,19.7,17.9,17.6 ,Y15-74,EL,PC_ACT
"Y15-74,PC_ACT,T,ES",17.9 ,19.9 ,21.4 ,24.8 ,26.1 ,24.5,22.1,19.6,17.2,15.3,14.1,15.5 ,Y15-74,ES,PC_ACT
"Y15-74,PC_ACT,T,EU27_2020",9.2 ,9.9 ,9.9 ,10.9 ,11.4 ,10.9,10.1,9.2,8.2,7.3,6.7,7.1 ,Y15-74,EU27_2020,PC_ACT
"Y15-74,PC_ACT,T,FI",8.2 ,8.4 ,7.8 ,7.7 ,8.2 ,8.7,9.4,8.8,8.6,7.4,6.7,7.8 ,Y15-74,FI,PC_ACT
"Y15-74,PC_ACT,T,FR",9.1 ,9.3 ,9.2 ,9.8 ,10.3 ,10.3,10.3,10.1,9.4,9.0,8.4,8.0 ,Y15-74,FR,PC_ACT
"Y15-74,PC_ACT,T,HR",9.2 ,11.7 ,13.7 ,16.0 ,17.3 ,17.3,16.2,13.1,11.2,8.5,6.6,7.5 ,Y15-74,HR,PC_ACT
"Y15-74,PC_ACT,T,HU",9.7 ,10.8 ,10.7 ,10.7 ,9.8 ,7.5,6.6,5.0,4.0,3.6,3.3,4.1 ,Y15-74,HU,PC_ACT
"Y15-74,PC_ACT,T,IE",12.6 ,14.6 ,15.4 ,15.5 ,13.8 ,11.9,10.0,8.4,6.7,5.8,5.0,5.7 ,Y15-74,IE,PC_ACT
"Y15-74,PC_ACT,T,IS",7.2 ,7.6 ,7.0 ,6.0 ,5.4 ,4.9,4.0,3.0,2.7,2.7,3.5,5.5,Y15-74,IS,PC_ACT
"Y15-74,PC_ACT,T,IT",7.8 ,8.4 ,8.4 ,10.7 ,12.2 ,12.7,11.9,11.7,11.2,10.6,10.0,9.2 ,Y15-74,IT,PC_ACT
"Y15-74,PC_ACT,T,LT",13.8 ,17.8 ,15.4 ,13.4 ,11.8 ,10.7,9.1,7.9,7.1,6.2,6.3,8.5 ,Y15-74,LT,PC_ACT
"Y15-74,PC_ACT,T,LU",5.1 ,4.4 ,4.9 ,5.1 ,5.9 ,5.9,6.7,6.3,5.5,5.6,5.6,6.8,Y15-74,LU,PC_ACT
"Y15-74,PC_ACT,T,LV",17.7 ,19.7 ,16.3 ,15.1 ,11.9 ,10.9,9.9,9.7,8.7,7.4,6.3,8.1 ,Y15-74,LV,PC_ACT
"Y15-74,PC_ACT,T,ME", , ,19.7 ,20.0 ,19.5 ,18.0,17.6,17.8,16.1,15.2,15.2,17.9 ,Y15-74,ME,PC_ACT
"Y15-74,PC_ACT,T,MK",32.2 ,32.0 ,31.4 ,31.0 ,29.0 ,28.0,26.1,23.7,22.4,20.8,17.3,16.4 ,Y15-74,MK,PC_ACT
"Y15-74,PC_ACT,T,MT",6.9 ,6.9 ,6.4 ,6.2 ,6.1 ,5.7,5.4,4.7,4.0,3.7,3.6,4.4 ,Y15-74,MT,PC_ACT
"Y15-74,PC_ACT,T,NL",4.4 ,5.0 ,5.0 ,5.8 ,7.3 ,7.4,6.9,6.0,4.9,3.8,3.4,3.8 ,Y15-74,NL,PC_ACT
"Y15-74,PC_ACT,T,NO",3.1 ,3.5 ,3.2 ,3.1 ,3.4 ,3.5,4.3,4.7,4.2,3.8,3.7,4.4 ,Y15-74,NO,PC_ACT
"Y15-74,PC_ACT,T,PL",8.2 ,9.7 ,9.7 ,10.1 ,10.3 ,9.0,7.5,6.2,4.9,3.9,3.3,3.2,Y15-74,PL,PC_ACT
"Y15-74,PC_ACT,T,PT",11.2 ,12.6 ,13.5 ,16.6 ,17.2 ,14.6,13.0,11.5,9.2,7.2,6.7,7.0 ,Y15-74,PT,PC_ACT
"Y15-74,PC_ACT,T,RO",6.9 ,7.0 ,7.2 ,6.8 ,7.1 ,6.8,6.8,5.9,4.9,4.2,3.9,5.0,Y15-74,RO,PC_ACT
"Y15-74,PC_ACT,T,RS", , , , , ,19.4,17.8,15.4,13.6,12.8,10.5,9.1 ,Y15-74,RS,PC_ACT
"Y15-74,PC_ACT,T,SE",8.4 ,8.6 ,7.8 ,8.0 ,8.1 ,8.0,7.4,7.0,6.7,6.4,6.8,8.3,Y15-74,SE,PC_ACT
"Y15-74,PC_ACT,T,SI",5.9 ,7.3 ,8.2 ,8.9 ,10.1 ,9.7,9.0,8.0,6.6,5.1,4.5,5.0 ,Y15-74,SI,PC_ACT
"Y15-74,PC_ACT,T,SK",12.0 ,14.4 ,13.6 ,14.0 ,14.2 ,13.2,11.5,9.7,8.1,6.5,5.8,6.7,Y15-74,SK,PC_ACT
"Y15-74,PC_ACT,T,TR",12.6 ,10.7 ,8.8 ,8.2 ,8.8 ,9.9,10.3,10.9,10.9,10.9,13.7,13.2,Y15-74,TR,PC_ACT
"Y15-74,PC_POP,T,AT",3.8 ,3.4 ,3.3 ,3.5 ,3.8 ,4.0,4.1,4.4,4.0,3.6,3.3,4.1 ,Y15-74,AT,PC_POP
"Y15-74,PC_POP,T,BE",4.7 ,5.0 ,4.2 ,4.5 ,5.1 ,5.1,5.1,4.7,4.2,3.6,3.2,3.3,Y15-74,BE,PC_POP
"Y15-74,PC_POP,T,BG",4.0 ,6.1,6.6,7.2 ,7.7 ,6.9,5.5,4.5,3.8,3.2,2.7,3.2,Y15-74,BG,PC_POP
"Y15-74,PC_POP,T,CH", ,3.6,3.3 ,3.3 ,3.5 ,3.6,3.6,3.7,3.7,3.6,3.4,3.7,Y15-74,CH,PC_POP
"Y15-74,PC_POP,T,CY",3.6 ,4.3 ,5.3 ,8.0 ,10.7 ,11.0,10.0,8.6,7.4,5.7,4.9,5.2 ,Y15-74,CY,PC_POP
"Y15-74,PC_POP,T,CZ",4.2 ,4.6 ,4.2 ,4.4 ,4.5 ,3.9,3.3,2.6,1.9,1.5,1.3,1.7,Y15-74,CZ,PC_POP
"Y15-74,PC_POP,T,DE",5.1 ,4.6 ,3.9 ,3.6 ,3.6 ,3.4,3.2,2.9,2.6,2.4,2.2,2.7,Y15-74,DE,PC_POP
"Y15-74,PC_POP,T,DK",4.5 ,5.4 ,5.4 ,5.3 ,5.0 ,4.7,4.2,4.1,4.0,3.5,3.5,3.9,Y15-74,DK,PC_POP
"Y15-74,PC_POP,T,EA19",6.1 ,6.5 ,6.5 ,7.3 ,7.7 ,7.4,7.0,6.5,5.9,5.3,4.9,5.0 ,Y15-74,EA19,PC_POP
"Y15-74,PC_POP,T,EE",9.0 ,11.1 ,8.3 ,6.8 ,5.9 ,5.0,4.3,4.8,4.1,3.9,3.2,4.9 ,Y15-74,EE,PC_POP
"Y15-74,PC_POP,T,EL",5.8 ,7.8 ,10.7 ,14.6 ,16.4 ,15.7,14.8,14.2,13.0,11.7,10.7,10.0 ,Y15-74,EL,PC_POP
"Y15-74,PC_POP,T,ES",11.7 ,13.1 ,14.2 ,16.5 ,17.3 ,16.0,14.5,12.8,11.2,9.9,9.1,9.9 ,Y15-74,ES,PC_POP
"Y15-74,PC_POP,T,EU27_2020",5.8 ,6.2 ,6.2 ,6.9 ,7.2 ,6.9,6.4,5.8,5.2,4.7,4.3,4.5 ,Y15-74,EU27_2020,PC_POP
"Y15-74,PC_POP,T,FI",5.5 ,5.6 ,5.2 ,5.1 ,5.4 ,5.7,6.2,5.8,5.7,4.9,4.5,5.2 ,Y15-74,FI,PC_POP
"Y15-74,PC_POP,T,FR",5.8 ,5.9 ,5.8 ,6.2 ,6.6 ,6.5,6.5,6.3,5.9,5.7,5.3,5.0 ,Y15-74,FR,PC_POP
"Y15-74,PC_POP,T,HR",5.4 ,6.7 ,7.8 ,9.1 ,9.8 ,10.1,9.5,7.5,6.5,4.9,3.8,4.3 ,Y15-74,HR,PC_POP
"Y15-74,PC_POP,T,HU",5.4 ,6.1 ,6.1 ,6.2 ,5.8 ,4.5,4.1,3.1,2.6,2.3,2.1,2.7 ,Y15-74,HU,PC_POP
"Y15-74,PC_POP,T,IE",8.6 ,9.7 ,10.2 ,10.2 ,9.1 ,7.9,6.6,5.6,4.5,3.9,3.3,3.7 ,Y15-74,IE,PC_POP
"Y15-74,PC_POP,T,IS",5.8 ,6.1 ,5.6 ,4.8 ,4.3 ,4.0,3.3,2.5,2.3,2.2,2.8,4.3,Y15-74,IS,PC_POP
"Y15-74,PC_POP,T,IT",4.2 ,4.6 ,4.6 ,5.9 ,6.7 ,7.1,6.7,6.6,6.4,6.1,5.7,5.1 ,Y15-74,IT,PC_POP
"Y15-74,PC_POP,T,LT",8.6 ,11.1 ,9.8 ,8.6 ,7.6 ,7.1,6.1,5.3,4.8,4.3,4.4,6.0 ,Y15-74,LT,PC_POP
"Y15-74,PC_POP,T,LU",3.1 ,2.7 ,3.0 ,3.2 ,3.7 ,3.7,4.3,4.0,3.5,3.6,3.7,4.4,Y15-74,LU,PC_POP
"Y15-74,PC_POP,T,LV",11.6 ,12.7 ,10.5 ,10.0 ,7.9 ,7.2,6.7,6.6,6.0,5.2,4.4,5.6 ,Y15-74,LV,PC_POP
"Y15-74,PC_POP,T,ME", , ,10.2 ,10.7 ,10.4 ,10.1,10.1,10.3,9.4,9.1,9.3,10.2 ,Y15-74,ME,PC_POP
"Y15-74,PC_POP,T,MK",18.8 ,18.8 ,18.4 ,18.1 ,17.1 ,16.6,15.3,13.8,13.1,12.2,10.2,9.6 ,Y15-74,MK,PC_POP
"Y15-74,PC_POP,T,MT",3.7 ,3.7 ,3.5 ,3.5 ,3.6 ,3.4,3.2,2.9,2.5,2.4,2.4,2.9 ,Y15-74,MT,PC_POP
