"age,unit,sex,geo\time",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,age,country,sex
"Y15-24,PC_ACT,F,AT",: ,: ,: ,: ,10.5 ,9.8 ,9.5 ,9.6 ,10.4,10.4,10.4,10.7,9.1,9.8,8.1,10.6,Y15-24,AT,F
"Y15-24,PC_ACT,F,BE",: ,: ,: ,: ,22.5 ,22.4 ,18.7 ,18.9 ,22.5,22.3,20.0,18.2,18.0,15.3,12.3,15.1,Y15-24,BE,F
"Y15-24,PC_ACT,F,BG",: ,: ,: ,: ,17.0 ,23.4 b,27.0 b,29.4 ,29.1,27.1,25.6,20.2,15.6,15.0,11.3,16.8,Y15-24,BG,F
"Y15-24,PC_ACT,F,CH",: ,: ,: ,: ,: ,8.7 b,7.9 ,8.0 ,8.8,8.6,8.4,8.4,8.0,7.5,7.2,8.0,Y15-24,CH,F
"Y15-24,PC_ACT,F,CY",: ,: ,: ,: ,14.0 ,17.2 ,21.5 ,26.7 ,36.8,34.6,31.1,31.8,22.9,16.2,14.3,12.3,Y15-24,CY,F
"Y15-24,PC_ACT,F,CZ",: ,: ,: ,: ,16.7 ,18.5 ,18.0 b,19.0 ,19.4,17.1,14.4,11.4,8.7,7.2,6.0,9.2,Y15-24,CZ,F
"Y15-24,PC_ACT,F,DE",: ,: ,: ,: ,9.8 ,8.8 b,7.8 b,7.3 ,7.1,7.1,6.5,6.1,5.8,5.1,4.8,6.7,Y15-24,DE,F
"Y15-24,PC_ACT,F,DK",: ,: ,: ,: ,11.6 ,13.2 ,14.4 ,14.8 ,13.3,12.9,11.1,10.8,11.9,9.2,9.7,10.6,Y15-24,DK,F
"Y15-24,PC_ACT,F,EA19",: ,: ,: ,: ,20.4 ,21.5 ,21.8 ,23.9 ,24.8,24.0,22.5,21.2,18.9,17.0,16.0,18.0,Y15-24,EA19,F
"Y15-24,PC_ACT,F,EE",: ,: ,: ,: ,21.8 ,29.5 ,20.6 ,18.5 ,19.7,10.0,12.2,10.6,10.0,11.4,11.7,18.4,Y15-24,EE,F
"Y15-24,PC_ACT,F,EL",: ,: ,: ,: ,33.6 ,41.1 ,52.1 ,63.4 ,64.6,58.5,54.8,52.1,49.0,45.4,41.0,42.8,Y15-24,EL,F
"Y15-24,PC_ACT,F,ES",: ,: ,: ,: ,36.1 ,39.6 ,44.0 ,51.4 ,54.6,52.9,48.0,44.9,37.4,33.3,34.5,39.7,Y15-24,ES,F
"Y15-24,PC_ACT,F,EU27_2020",: ,: ,: ,: ,20.3 ,21.8 ,22.3 ,24.2 ,24.9,23.8,21.9,20.3,18.1,16.3,15.4,17.4,Y15-24,EU27_2020,F
"Y15-24,PC_ACT,F,FI",: ,: ,: ,: ,19.0 ,19.0 ,18.4 ,18.0 ,17.1,18.4,19.7,18.6,19.3,16.8,15.6,19.4,Y15-24,FI,F
"Y15-24,PC_ACT,F,FR",25.7 ,27.2 ,23.8 ,22.3 ,26.5 ,27.8 ,27.3 ,27.9 ,29.5,27.2,27.4,28.0,24.9,23.5,21.6,23.5,Y15-24,FR,F
"Y15-24,PC_ACT,F,HR",: ,: ,: ,: ,27.5 ,33.6 ,36.1 ,42.0 ,50.2,46.4,43.7,31.3,27.7,29.4,19.8,25.0,Y15-24,HR,F
"Y15-24,PC_ACT,F,HU",: ,: ,: ,: ,23.3 ,23.5 ,23.5 ,26.3 ,26.8,20.2,15.5,12.4,11.5,9.9,10.2,13.3,Y15-24,HU,F
"Y15-24,PC_ACT,F,IE",: ,: ,: ,: ,16.8 ,20.9 ,22.3 ,23.6 ,22.8,19.8,16.3,13.6,12.6,12.6,10.6,15.3,Y15-24,IE,F
